Genome	sample01_sorted Variance	sample02_sorted Variance	sample03_sorted Variance	sample04_sorted Variance	sample06_sorted Variance	sample10_sorted Variance	sample13_sorted Variance
concoct_sample13.txt.052	2.9028566	15.400639	1.8526781	0	120.14976	0	903.5049
concoct_sample13.txt.051	123.99571	104.51052	49.093113	2931.2554	0	0	1747.0503
concoct_sample10.txt.017	23.057594	32.796204	42.487976	1446.4357	10543.771	857.9163	202.44972
binsanity_sample06.txt.002	141.36258	564.6851	1046.1105	24986.502	10106762	3339529.3	1154.0212
concoct_sample03.txt.011	3935.6377	2964.3655	1068.4382	10705.635	687.26874	87.76847	956.28326
metabat_sample03.txt.002	489.37106	1547.0101	195.2617	8302.447	54.15879	0	95.94375
metabat_sample03.txt.027	1672.0046	358.28592	181.63995	19586.984	2020.865	204.3597	38.835445
concoct_sample01.txt.041	697.3724	127.97955	278.2965	4488.142	0	0	2912.0015
metabat_sample13.txt.008	0	0	0	0	0	0	1190.4631
maxbin_sample10.txt.007	0	0	0	0	0	5223.851	11.223039
maxbin_sample01.txt.002	854.80237	69.63628	12.45991	709.14557	66.876175	0	0
metabat_sample02.txt.020	468.44647	232.89067	76.84459	841.38074	39.751373	0	0
maxbin_sample03.txt.003	310.97653	89.223236	1129.341	5062.2104	40.413242	0	1886.887
concoct_sample13.txt.041	281.41653	70.01526	88.33066	933.50903	17.822523	0	465.42026
concoct_sample10.txt.012	0	0	0	0	0	1264.6145	0
metabat_sample03.txt.020	357.2424	42.457916	192.13014	141.7511	0	0	0
concoct_sample03.txt.012	194.84137	334.84775	3056.009	3793.9783	25.186668	17.835789	3656.2441
maxbin_sample02.txt.001	9037.631	1397.7101	17743.545	31632.754	60.492664	19.397083	6581.358
metabat_sample02.txt.007	7684.502	2474.64	26974.412	23830.309	1734.769	121.662674	22772.824
maxbin_sample13.txt.006	128.1728	23.113262	354.64212	1160.4327	11.552304	18.37417	5854.169
metabat_sample01.txt.019	3326.2168	2183.1655	1222.3816	7899.9863	355.1072	61.520752	24129.602
concoct_sample01.txt.034	550.183	234.12321	6993.4204	15277.822	46.364906	51.00458	1243.6117
maxbin_sample13.txt.004	2.2432768	2.7555726	2.5732648	0	0	0	2114.442
metabat_sample03.txt.019	52.836685	43.87075	78.71824	3513.03	0	0	0
metabat_sample13.txt.014_sub	211.95596	71.3137	185.26767	1652.9064	1.317407	22.255894	44785.16
metabat_sample02.txt.018	385.93356	320.37802	410.71655	2318.7373	0	0	4373.166
metabat_sample03.txt.026	513.43665	132.01631	320.36115	4118.9634	0	0	804.2759
concoct_sample03.txt.038	44.10051	11.9607525	87.04073	5389.7656	0	0	90.44144
maxbin_sample01.txt.012	222.1009	0	6.752603	2454.6035	0	0	0
binsanity_sample01.txt.014	745.07275	37.675526	14.883984	264.84546	0	0	0
concoct_sample10.txt.016	24.491938	29.977013	24.906284	280.45145	11.233792	12573.678	218573.5
metabat_sample13.txt.004	71.83213	75.39662	105.33412	736.8825	6715.623	21567.459	1941.2178
