Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	78	47
OG0000001	56	33
OG0000002	41	16
OG0000003	93	75
OG0000004	63	37
OG0000005	52	25
OG0000006	47	22
OG0000007	17	8
OG0000008	15	6
OG0000009	23	10
OG0000010	22	8
OG0000011	21	9
OG0000012	15	6
OG0000013	19	13
OG0000014	18	8
OG0000015	15	8
OG0000016	21	7
OG0000017	24	14
OG0000018	19	6
OG0000019	14	6
OG0000020	15	8
OG0000021	16	6
OG0000022	19	13
OG0000023	17	11
OG0000024	13	6
OG0000025	19	13
OG0000026	10	7
OG0000027	14	7
OG0000028	11	8
OG0000029	11	4
OG0000030	9	3
OG0000031	10	5
OG0000032	13	3
OG0000033	8	4
OG0000034	11	5
OG0000035	13	8
OG0000036	14	6
OG0000037	20	15
OG0000038	7	5
OG0000039	13	7
OG0000040	9	4
OG0000041	9	5
OG0000042	3	3
OG0000043	9	1
OG0000044	28	27
OG0000045	9	5
OG0000046	10	2
OG0000047	11	6
OG0000048	5	3
OG0000049	13	8
OG0000050	9	2
OG0000051	10	6
OG0000052	12	8
OG0000053	4	3
OG0000054	10	6
OG0000055	10	6
OG0000056	17	6
OG0000057	13	7
OG0000058	5	4
OG0000059	14	6
OG0000060	6	4
OG0000061	8	3
OG0000062	8	3
OG0000063	10	9
OG0000064	7	3
OG0000065	7	5
OG0000066	8	3
OG0000067	8	3
OG0000068	12	8
OG0000069	7	2
OG0000070	7	3
OG0000071	6	2
OG0000072	6	3
OG0000073	14	9
OG0000074	8	1
OG0000075	7	2
OG0000076	11	8
OG0000077	6	2
OG0000078	6	3
OG0000079	6	4
OG0000080	7	3
OG0000081	12	4
OG0000082	8	7
OG0000083	12	4
OG0000084	9	3
OG0000085	7	6
OG0000086	5	4
OG0000087	4	1
OG0000088	10	3
OG0000089	15	7
OG0000090	25	25
OG0000091	4	2
OG0000092	4	3
OG0000093	9	7
OG0000094	5	1
OG0000095	3	1
OG0000096	7	2
OG0000097	6	3
OG0000098	4	2
OG0000099	13	6
OG0000100	9	6
OG0000101	4	2
OG0000102	6	2
OG0000103	6	5
OG0000104	7	3
OG0000105	3	2
OG0000106	5	4
OG0000107	5	3
OG0000108	6	4
OG0000109	18	17
OG0000110	7	3
OG0000111	9	1
OG0000112	4	2
OG0000113	5	1
OG0000114	2	1
OG0000115	4	2
OG0000116	4	2
OG0000117	4	2
OG0000118	4	2
OG0000119	7	3
OG0000120	8	4
OG0000121	8	3
OG0000122	7	2
OG0000123	6	1
OG0000124	18	18
OG0000125	8	6
OG0000126	3	1
OG0000127	3	1
OG0000128	1	1
OG0000129	5	4
OG0000130	6	2
OG0000131	3	2
OG0000132	5	3
OG0000133	3	1
OG0000134	2	2
OG0000135	5	3
OG0000136	2	2
OG0000137	7	4
OG0000138	7	3
OG0000139	14	9
OG0000140	20	20
OG0000141	10	6
OG0000142	3	2
OG0000143	5	4
OG0000144	3	3
OG0000145	6	2
OG0000146	6	1
OG0000147	2	1
OG0000148	5	1
OG0000149	7	1
OG0000150	2	2
OG0000151	6	2
OG0000152	2	1
OG0000153	5	2
