Number of species	12
Number of genes	45194
Number of genes in orthogroups	38735
Number of unassigned genes	6459
Percentage of genes in orthogroups	85.7
Percentage of unassigned genes	14.3
Number of orthogroups	5936
Number of species-specific orthogroups	580
Number of genes in species-specific orthogroups	1533
Percentage of genes in species-specific orthogroups	3.4
Mean orthogroup size	6.5
Median orthogroup size	4.0
G50 (assigned genes)	10
G50 (all genes)	9
O50 (assigned genes)	1212
O50 (all genes)	1558
Number of orthogroups with all species present	505
Number of single-copy orthogroups	270
Date	2023-06-16
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	4975	83.8	22057	56.9
'1	849	14.3	12054	31.1
'2	71	1.2	1988	5.1
'3	22	0.4	898	2.3
'4	7	0.1	378	1.0
'5	4	0.1	255	0.7
'6	0	0.0	0	0.0
'7	2	0.0	176	0.5
'8	0	0.0	0	0.0
'9	1	0.0	115	0.3
'10	2	0.0	256	0.7
11-15	2	0.0	293	0.8
16-20	0	0.0	0	0.0
21-50	1	0.0	265	0.7
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	580
2	1603
3	819
4	458
5	358
6	360
7	308
8	249
9	262
10	219
11	215
12	505
