Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1	Total
OG0000000	11	22	27	28	16	36	35	12	16	27	25	10	265
OG0000001	1	10	11	10	10	13	7	14	25	17	15	23	156
OG0000002	6	7	6	9	11	18	20	12	13	13	10	12	137
OG0000003	0	1	9	3	0	13	1	2	22	28	24	26	129
OG0000004	0	20	22	16	10	29	7	9	4	3	5	2	127
OG0000005	0	7	12	13	5	24	9	4	12	15	8	6	115
OG0000006	2	6	8	9	4	7	1	2	14	8	9	22	92
OG0000007	4	13	8	6	5	9	9	5	5	5	10	5	84
OG0000008	7	4	6	5	4	6	7	2	5	6	6	9	67
OG0000009	0	2	7	7	3	14	4	5	6	5	8	5	66
OG0000010	3	7	6	3	1	12	2	2	10	8	7	1	62
OG0000011	0	1	1	5	7	12	18	6	5	3	1	1	60
OG0000012	2	5	6	6	3	5	5	4	4	5	11	3	59
OG0000013	1	4	6	4	4	7	5	2	9	6	5	3	56
OG0000014	6	5	3	5	3	9	7	1	2	1	6	7	55
OG0000015	7	3	5	3	2	5	4	3	4	3	5	9	53
OG0000016	0	2	3	3	0	5	8	3	7	3	12	7	53
OG0000017	2	1	4	5	6	10	4	3	2	0	4	10	51
OG0000018	1	5	3	4	2	8	6	3	3	5	10	1	51
OG0000019	4	2	4	5	3	7	5	1	3	1	4	8	47
OG0000020	1	5	6	6	1	5	8	2	2	1	4	6	47
OG0000021	2	1	1	1	4	6	12	5	6	5	2	2	47
OG0000022	1	2	3	4	2	8	7	7	0	2	5	5	46
OG0000023	3	3	4	3	1	12	4	1	3	4	6	1	45
OG0000024	2	4	3	2	2	4	4	4	3	3	3	11	45
OG0000025	0	6	13	12	0	9	4	1	0	0	0	0	45
OG0000026	7	4	4	2	3	4	4	2	4	2	4	4	44
OG0000027	2	4	6	7	1	4	4	4	2	3	2	4	43
OG0000028	0	3	5	5	3	7	5	2	5	6	1	0	42
OG0000029	4	4	2	2	1	5	4	3	4	3	3	4	39
OG0000030	1	2	2	3	3	3	5	5	6	5	3	1	39
OG0000031	1	3	5	4	1	8	8	2	4	2	1	0	39
OG0000032	0	5	2	4	0	7	5	1	3	2	4	5	38
OG0000033	6	1	2	2	3	6	5	2	2	2	4	2	37
OG0000034	4	2	2	3	1	3	4	2	1	4	4	7	37
OG0000035	0	4	4	5	0	4	1	1	4	5	6	3	37
OG0000036	0	0	0	3	2	8	12	5	3	3	0	1	37
OG0000037	7	2	5	9	6	2	0	2	0	1	1	1	36
OG0000038	3	3	3	3	3	3	4	3	2	3	4	2	36
OG0000039	5	1	1	3	3	5	4	1	3	3	2	5	36
OG0000040	0	4	3	5	2	4	4	3	2	4	1	4	36
OG0000041	2	3	3	3	5	5	4	4	1	3	1	1	35
OG0000042	2	4	4	3	3	4	4	2	2	3	3	1	35
OG0000043	0	2	6	5	1	4	3	4	5	1	2	2	35
OG0000044	0	1	2	0	1	1	0	0	0	0	29	1	35
OG0000045	1	4	5	0	2	3	5	2	3	1	5	3	34
OG0000046	1	6	3	5	1	4	6	0	3	2	1	1	33
OG0000047	3	2	4	3	2	5	4	2	2	3	2	1	33
OG0000048	2	1	2	2	3	6	4	3	3	3	2	1	32
OG0000049	2	3	2	1	0	3	5	2	1	1	3	9	32
OG0000050	4	3	0	6	3	3	3	7	0	1	1	1	32
OG0000051	0	3	6	5	0	8	6	1	2	0	1	0	32
OG0000052	0	1	4	6	1	3	6	6	1	2	0	2	32
OG0000053	2	3	4	3	2	4	3	0	2	3	2	3	31
OG0000054	6	1	4	0	3	5	0	6	0	1	3	2	31
OG0000055	2	2	5	1	4	1	2	2	3	7	1	1	31
OG0000056	0	1	1	1	0	1	0	1	14	11	0	1	31
OG0000057	0	2	6	5	2	8	5	1	1	0	1	0	31
OG0000058	1	5	6	5	2	3	2	1	1	1	2	1	30
OG0000059	7	2	3	2	1	3	5	3	1	1	1	1	30
OG0000060	1	2	3	5	2	3	3	2	2	1	3	3	30
OG0000061	1	1	2	2	4	6	4	3	2	2	2	1	30
OG0000062	1	1	2	1	2	5	7	3	3	3	1	1	30
OG0000063	8	2	2	2	2	3	2	2	1	1	2	2	29
OG0000064	1	3	2	2	2	3	2	2	2	2	6	2	29
OG0000065	2	3	4	2	2	1	1	1	2	2	6	3	29
OG0000066	1	0	1	2	1	8	6	2	2	2	1	3	29
OG0000067	1	1	2	1	2	5	7	2	3	3	1	1	29
OG0000068	9	0	3	0	0	3	3	1	2	3	1	3	28
OG0000069	2	4	3	2	1	3	3	1	2	2	4	1	28
OG0000070	2	4	2	2	1	0	1	0	4	5	6	1	28
OG0000071	0	2	3	4	1	4	1	2	5	3	3	0	28
OG0000072	0	2	3	3	1	4	2	2	5	3	3	0	28
OG0000073	0	14	7	4	1	1	0	0	0	0	1	0	28
OG0000074	0	1	2	0	2	6	6	2	3	2	3	1	28
OG0000075	0	1	1	3	2	2	4	3	6	3	2	1	28
OG0000076	0	1	2	4	0	1	0	1	4	3	9	3	28
OG0000077	2	3	1	2	2	2	4	0	3	2	2	4	27
OG0000078	2	5	3	4	1	3	3	0	3	2	1	0	27
OG0000079	4	3	4	3	2	2	2	1	3	1	1	1	27
OG0000080	3	4	3	0	2	2	0	2	3	2	1	5	27
OG0000081	0	2	2	0	0	7	1	1	7	1	5	1	27
OG0000082	0	2	2	2	1	3	0	1	6	6	2	2	27
OG0000083	0	1	0	0	0	5	1	0	6	8	0	6	27
OG0000084	0	0	0	1	1	9	7	3	2	1	1	2	27
OG0000085	3	4	1	2	1	3	2	2	2	2	2	2	26
OG0000086	1	2	2	1	1	4	3	4	3	3	0	2	26
OG0000087	0	3	3	3	2	3	2	2	3	2	1	2	26
OG0000088	0	1	3	5	0	2	1	1	2	3	4	4	26
OG0000089	0	0	2	0	10	9	2	0	0	0	3	0	26
OG0000090	0	0	0	0	26	0	0	0	0	0	0	0	26
OG0000091	4	2	2	2	2	2	3	2	1	1	2	2	25
OG0000092	1	3	3	1	1	3	3	2	1	1	3	3	25
OG0000093	1	1	1	1	2	4	7	2	2	2	1	1	25
OG0000094	2	2	3	2	4	2	4	0	1	2	2	1	25
OG0000095	2	2	2	2	4	2	2	2	1	1	2	3	25
OG0000096	2	1	1	1	1	5	3	2	1	1	2	5	25
OG0000097	1	4	5	3	2	2	2	2	2	1	1	0	25
OG0000098	0	2	2	3	1	2	2	2	5	3	3	0	25
OG0000099	0	3	6	3	0	7	1	0	2	1	0	2	25
