Orthogroup	Desulfocapsa_13_biocide	Shewanella oneidensis MR-1
OG0000000	Utg860814_23	WP_011073030.1
OG0000000	Utg859236_95, Utg857152_211	WP_011074304.1
OG0000000	Utg863716_60, Utg857046_66	WP_011074101.1
OG0000000	Utg861744_76	WP_011074107.1
OG0000000	Utg857076_7	WP_011072957.1
OG0000001	Utg863716_50	WP_011074067.1, WP_011073330.1
OG0000001	Utg861448_49	WP_011071093.1
OG0000001	Utg860814_100	WP_011070909.1
OG0000001	Utg857300_46	WP_011072190.1
OG0000001	Utg857300_26	WP_011073890.1
OG0000001	Utg857994_39	WP_011073536.1, WP_011072697.1
OG0000002	Utg862138_35	WP_011071850.1
OG0000002	Utg860006_9	WP_011071977.1, WP_011070837.1
OG0000002	Utg859076_23	WP_011071490.1
OG0000002	Utg862138_47	WP_011071049.1
OG0000002	Utg861744_15, Utg857994_102	WP_011071300.1
OG0000003	Utg861744_3	WP_011073164.1
OG0000004	Utg859236_110, Utg859098_372, Utg857682_27, Utg861744_9, Utg860814_122, Utg857152_136, Utg857682_26, Utg860814_35, Utg860814_38, Utg858494_71, Utg857994_41, Utg858432_88, Utg860814_202, Utg859236_73, Utg857994_124, Utg859982_119	WP_011073049.1, WP_011073640.1
OG0000005	Utg857152_208	WP_011072501.1
OG0000005	Utg859982_207	WP_011071458.1
OG0000005	Utg858432_84	WP_164925775.1
OG0000006	Utg860006_155	WP_011071478.1
OG0000006	Utg863716_8	WP_011072496.1, WP_011073589.1, WP_011073842.1, WP_238560533.1
OG0000006	Utg863716_120	WP_011072409.1
OG0000006	Utg858494_73	WP_011070785.1, WP_011070706.1, WP_011072981.1
OG0000007	Utg858432_132	WP_011074183.1
OG0000007	Utg862138_39	WP_164925702.1
OG0000007	Utg857076_16	WP_011071147.1
OG0000008	Utg861744_12, Utg857076_45	WP_011072998.1
OG0000008	Utg857152_123	WP_011072024.1
OG0000008	Utg859388_41	WP_011073334.1
OG0000008	Utg859098_370	WP_011074282.1
OG0000009	Utg860814_183, Utg858432_86	WP_011071150.1, WP_011073726.1
OG0000009	Utg864866_20	WP_164925773.1
OG0000011	Utg860814_134, Utg857046_16, Utg859982_61, Utg859236_66, Utg857682_167	WP_011073029.1
OG0000012	Utg864866_48, Utg864866_49	WP_011073115.1
OG0000012	Utg857046_150	WP_011074303.1
OG0000013	Utg864866_75	WP_011073862.1
OG0000013	Utg863716_117	WP_011073853.1, WP_011071620.1
OG0000014	Utg859076_41	WP_011074106.1
OG0000014	Utg857994_28	WP_011073413.1
OG0000014	Utg861744_121, Utg861744_120	WP_011074069.1
OG0000015	Utg859388_25, Utg862138_18	WP_011072514.1
OG0000016	Utg859236_123	WP_011072313.1, WP_011072183.1
OG0000016	Utg857152_131	WP_011072497.1
OG0000017	Utg860006_13, Utg860006_18	WP_011071143.1
OG0000017	Utg860006_11	WP_011070777.1, WP_011071144.1, WP_011073357.1
OG0000017	Utg859388_110, Utg859388_121	WP_011073454.1, WP_011073854.1, WP_011073556.1, WP_011073807.1, WP_011071407.1, WP_011073808.1
OG0000018	Utg859098_213, Utg860006_167, Utg859098_43, Utg860006_169	WP_011073068.1
OG0000019	Utg864866_31	WP_011071727.1
OG0000019	Utg859076_43	WP_011074105.1
OG0000019	Utg859076_49	WP_011072402.1, WP_011073412.1
OG0000020	Utg859098_133, Utg866558_48, Utg859098_147	WP_011070833.1
OG0000020	Utg857300_36	WP_011074129.1, WP_011074133.1
OG0000021	Utg859098_363	WP_011071923.1
OG0000022	Utg859098_220, Utg863716_101, Utg859236_119, Utg859388_124	WP_011071803.1, WP_011072720.1
OG0000024	Utg863716_104	WP_011073749.1
OG0000026	Utg857152_94	WP_006084975.1, WP_011070442.1
OG0000027	Utg857300_34	WP_011074132.1, WP_011074128.1
OG0000027	Utg857046_153	WP_011070509.1
OG0000027	Utg859388_156, Utg863716_16	WP_011071257.1
OG0000029	Utg859750_95	WP_011074043.1, WP_011073001.1
OG0000030	Utg861744_16, Utg857994_103	WP_011071301.1
OG0000032	Utg857300_30	WP_011074076.1
OG0000033	Utg857682_66	WP_011070784.1
OG0000033	Utg860814_171	WP_011074290.1
OG0000034	Utg859388_40, Utg859388_39	WP_011073333.1
OG0000034	Utg859098_369	WP_011074281.1
OG0000035	Utg859388_146	WP_011071477.1
OG0000035	Utg863716_35, Utg861448_17, Utg857076_40, Utg857152_33	WP_011074169.1, WP_011070429.1
OG0000036	Utg857682_165, Utg859982_60, Utg859236_64	WP_011073027.1
OG0000037	Utg857994_225, Utg859098_26, Utg857300_65, Utg857490_34, Utg857300_66, Utg858494_24, Utg858494_27, Utg858494_13, Utg858494_23	WP_238560573.1
OG0000038	Utg860006_50, Utg860814_278, Utg860814_277	WP_011073885.1, WP_011073886.1
OG0000039	Utg860006_93	WP_011071747.1
OG0000040	Utg859098_48, Utg860006_147	WP_011071891.1, WP_011073960.1
OG0000040	Utg857046_175	WP_011072056.1
OG0000041	Utg857682_137	WP_011071116.1
OG0000043	Utg857300_6, Utg859236_121, Utg860814_118, Utg859750_58, Utg860814_180	WP_011073456.1
OG0000047	Utg858432_158, Utg857046_163, Utg857994_168	WP_164925892.1
OG0000049	Utg857152_93	WP_011073706.1, WP_011073980.1, WP_164925751.1, WP_011073209.1
OG0000052	Utg859982_225, Utg857076_61, Utg857682_28, Utg857046_241, Utg857994_129, Utg857152_135	WP_011074450.1, WP_011071675.1
OG0000053	Utg859388_13	WP_164925924.1
OG0000053	Utg859432_19	WP_011073632.1
OG0000053	Utg857046_30	WP_011071230.1
OG0000056	Utg859098_380	WP_011072681.1
OG0000058	Utg860814_210, Utg859098_128, Utg866558_45, Utg859098_142, Utg860814_129	WP_164925641.1
OG0000060	Utg859388_118	WP_011073811.1
OG0000060	Utg857300_57, Utg866558_9	WP_011070564.1
OG0000062	Utg859388_55	WP_011071925.1
OG0000063	Utg857992_35	WP_011071975.1
OG0000063	Utg859388_77	WP_011072151.1
OG0000065	Utg864866_69	WP_011071952.1, WP_011070961.1
OG0000065	Utg859750_21	WP_011071919.1
OG0000070	Utg860006_144	WP_011074269.1
OG0000075	Utg861744_17, Utg857152_236, Utg857994_104	WP_011071302.1
OG0000076	Utg861744_5	WP_202950651.1
OG0000076	Utg859076_57, Utg860814_43, Utg859098_152	WP_011073088.1
OG0000077	Utg857994_161	WP_011071152.1
OG0000077	Utg858432_66	WP_011072969.1
OG0000082	Utg859388_21, Utg859098_98	WP_011071708.1, WP_011073949.1
OG0000084	Utg859236_68	WP_011070711.1
OG0000085	Utg860814_319, Utg860814_167	WP_011073684.1
OG0000086	Utg860006_109	WP_011071335.1
OG0000087	Utg864866_67, Utg859982_51, Utg858432_79	WP_011071464.1
OG0000088	Utg859236_115, Utg859236_116	WP_274544479.1
OG0000088	Utg859076_58, Utg859098_154, Utg859098_153	WP_011073093.1
OG0000091	Utg860814_64	WP_011074036.1
OG0000091	Utg859388_68	WP_011072711.1
OG0000092	Utg860814_99	WP_011071174.1
OG0000093	Utg859750_86	WP_011073475.1
OG0000094	Utg858494_66	WP_011074278.1
OG0000095	Utg857152_143	WP_011071060.1
OG0000095	Utg860006_150	WP_011072735.1
OG0000096	Utg858498_18	WP_011071494.1
OG0000099	Utg860006_97, Utg860814_91, Utg860814_85	WP_011072500.1, WP_165443312.1
OG0000101	Utg865370_31, Utg859750_57	WP_011072328.1, WP_011072538.1
OG0000103	Utg857046_198, Utg857152_173	WP_011073353.1, WP_011071066.1, WP_011073588.1
OG0000105	Utg859388_70	WP_011072710.1
OG0000105	Utg860814_77	WP_011074037.1
OG0000106	Utg857076_51, Utg857300_18, Utg857046_214	WP_011074309.1, WP_011070542.1
OG0000107	Utg857682_17, Utg857682_16	WP_011070960.1
OG0000110	Utg861744_6	WP_011072317.1, WP_164925686.1
OG0000110	Utg859076_54, Utg859098_150	WP_164925741.1
OG0000112	Utg857152_85, Utg857682_172	WP_011070877.1
OG0000113	Utg857046_73	WP_011070488.1, WP_193378422.1
OG0000114	Utg858494_132, Utg863716_30	WP_011071132.1
OG0000115	Utg857152_65	WP_011070766.1
OG0000115	Utg860006_127	WP_011070806.1
OG0000117	Utg857046_88	WP_238560518.1
OG0000118	Utg864866_34	WP_011071863.1
OG0000121	Utg858432_161	WP_011072704.1
OG0000121	Utg857994_195	WP_011073062.1
OG0000122	Utg859982_24, Utg860814_103, Utg857076_48	WP_011073479.1
OG0000123	Utg861744_8	WP_011072319.1
OG0000123	Utg859098_151, Utg859076_55, Utg859236_117	WP_011072189.1
OG0000124	Utg860814_41, Utg860814_178	WP_011072315.1
OG0000126	Utg859388_82	WP_011073889.1, WP_011071224.1, WP_011072559.1
OG0000127	Utg857490_17	WP_011070937.1, WP_011070936.1
OG0000128	Utg863716_100	WP_011072719.1
OG0000128	Utg859098_212	WP_164925918.1
OG0000129	Utg860814_286	WP_011074177.1, WP_011072325.1, WP_011072531.1, WP_011072068.1
OG0000129	Utg857682_35	WP_011074222.1, WP_011072440.1
OG0000130	Utg864866_91, Utg857992_39	WP_011073813.1, WP_011071510.1
OG0000131	Utg857994_138	WP_011074276.1
OG0000131	Utg859236_14	WP_011073076.1
OG0000133	Utg864866_36	WP_011071864.1
OG0000133	Utg857046_90	WP_011073952.1
OG0000134	Utg864866_54	WP_011072921.1
OG0000134	Utg859098_168	WP_011070453.1
OG0000135	Utg857152_96	WP_011072682.1
OG0000136	Utg859098_181	WP_011070754.1
OG0000136	Utg858498_14	WP_011072090.1, WP_011073658.1
OG0000137	Utg857046_87, Utg860814_175, Utg858432_69, Utg857994_122, Utg860814_174, Utg859982_120	WP_011073955.1
OG0000138	Utg859388_169	WP_011072065.1
OG0000141	Utg859750_50	WP_172966568.1
OG0000143	Utg864866_105	WP_011070641.1
OG0000143	Utg859750_71	WP_011070643.1, WP_011070826.1, WP_011072164.1
OG0000144	Utg859388_58	WP_011073693.1
OG0000145	Utg860814_102, Utg860814_101	WP_011072293.1, WP_274544323.1
OG0000147	Utg859388_78	WP_011070775.1
OG0000147	Utg857992_40	WP_011070565.1
OG0000147	Utg859388_119	WP_011073810.1
OG0000148	Utg859236_120	WP_011073571.1, WP_011074172.1
OG0000150	Utg859982_197, Utg857046_26, Utg857152_38	WP_011071499.1
OG0000151	Utg860814_299, Utg857046_167	WP_164925895.1
OG0000154	Utg865370_5	WP_011071098.1, WP_011072297.1
OG0000155	Utg859098_381, Utg859098_382	WP_011071290.1
OG0000156	Utg859982_64, Utg857046_46	WP_011072753.1, WP_172966557.1
OG0000158	Utg859098_391	WP_011072993.1, WP_011073603.1, WP_164925679.1
OG0000158	Utg863716_72	WP_011071551.1
OG0000160	Utg863716_47	WP_011072083.1, WP_011073275.1
OG0000163	Utg861744_18, Utg857076_25	WP_011072686.1
OG0000164	Utg857300_2	WP_011070705.1
OG0000165	Utg859432_36	WP_011074254.1
OG0000166	Utg858432_139	WP_011072678.1
OG0000166	Utg861744_93	WP_011074265.1
OG0000169	Utg859982_43	WP_011072289.1
OG0000169	Utg859098_429	WP_164925791.1
OG0000170	Utg857152_75, Utg857152_74	WP_164925722.1
OG0000172	Utg860006_25	WP_011071837.1
OG0000173	Utg861744_119	WP_011074070.1
OG0000176	Utg859982_112	WP_011072162.1
OG0000178	Utg857046_4, Utg861744_102	WP_011071538.1
OG0000179	Utg859098_69, Utg859098_70	WP_011073121.1, WP_011073122.1
OG0000183	Utg859982_223, Utg862138_16	WP_011071285.1
OG0000184	Utg859388_167	WP_011073828.1
OG0000184	Utg859236_54	WP_011073827.1
OG0000185	Utg859098_331	WP_011071291.1
OG0000187	Utg858494_144, Utg858494_131	WP_011070604.1, WP_011070615.1
OG0000188	Utg857152_35	WP_011072672.1
OG0000189	Utg860006_69	WP_011073743.1
OG0000190	Utg864866_78	WP_011074103.1
OG0000191	Utg857152_179	WP_011073796.1
OG0000193	Utg859388_6, Utg861448_64, Utg859388_5, Utg859750_20	WP_011071804.1
OG0000195	Utg859098_286, Utg860814_283	WP_011072959.1
OG0000196	Utg859982_222	WP_011071284.1
OG0000197	Utg857490_20	WP_011072025.1
OG0000198	Utg857046_189	WP_011071934.1
