Orthogroup	Desulfocapsa_06_corrosive	Desulfosediminicola ganghwensis IMCC35004
OG0000000	Utg323632_218	WP_136797951.1
OG0000000	Utg323180_444	WP_228721414.1, WP_136796704.1
OG0000000	Utg323262_151	WP_136798610.1
OG0000000	Utg323180_138	WP_136798351.1
OG0000000	Utg323990_62	WP_217907585.1
OG0000000	Utg323074_126	WP_136797758.1
OG0000000	Utg323262_146	WP_136799830.1
OG0000000	Utg323152_90	WP_136795330.1
OG0000000	Utg323180_238, Utg323316_173	WP_136796659.1
OG0000000	Utg323140_46	WP_136797600.1, WP_136796723.1
OG0000000	Utg323632_66	WP_275942930.1
OG0000000	Utg323990_84	WP_136795862.1
OG0000000	Utg323152_286, Utg323632_278, Utg323152_278	WP_136798339.1, WP_136796441.1
OG0000000	Utg323140_222	WP_136797028.1, WP_136799931.1
OG0000000	Utg323392_13	WP_136795637.1
OG0000000	Utg323180_69	WP_136796539.1
OG0000000	Utg323180_151	WP_217907626.1
OG0000000	Utg323152_529	WP_136799754.1, WP_136799532.1
OG0000000	Utg323262_120	WP_176360009.1, WP_228721410.1
OG0000000	Utg323990_174	WP_136798421.1
OG0000000	Utg323152_412	WP_136798981.1
OG0000001	Utg323180_225	WP_136796374.1
OG0000001	Utg323180_136	WP_136799195.1
OG0000001	Utg323300_105	WP_136799410.1
OG0000002	Utg323300_181	WP_136795378.1
OG0000002	Utg323316_94	WP_136796360.1
OG0000002	Utg323300_202	WP_275942949.1, WP_167495633.1
OG0000003	Utg325220_107	WP_136795949.1
OG0000004	Utg323632_135	WP_167495840.1
OG0000004	Utg323180_613, Utg323180_419, Utg323262_186	WP_136798338.1
OG0000004	Utg323300_14	WP_136795716.1
OG0000005	Utg323140_36, Utg323632_133, Utg323262_94, Utg323392_93	WP_136799362.1
OG0000005	Utg323316_116	WP_167495679.1
OG0000006	Utg323632_356	WP_136797886.1
OG0000007	Utg323632_239	WP_228721345.1
OG0000007	Utg323180_86	WP_136796943.1
OG0000007	Utg323632_51	WP_136796543.1
OG0000007	Utg323152_106	WP_136795639.1
OG0000007	Utg323316_118	WP_136795569.1
OG0000007	Utg323180_130	WP_217907574.1, WP_136796830.1
OG0000007	Utg323632_81	WP_136796500.1
OG0000008	Utg323632_80	WP_136796499.1
OG0000008	Utg323160_91	WP_167495786.1
OG0000008	Utg323300_399	WP_136796821.1
OG0000008	Utg323392_185	WP_136798618.1
OG0000009	Utg323632_134	WP_136799743.1
OG0000009	Utg323140_138, Utg323392_3	WP_136796828.1
OG0000011	Utg323180_549	WP_136796520.1, WP_136796063.1
OG0000012	Utg323392_111	WP_136799858.1
OG0000012	Utg323632_113	WP_228721381.1
OG0000013	Utg323140_219	WP_228721392.1, WP_136799928.1
OG0000013	Utg323140_226	WP_136797029.1, WP_136799932.1, WP_136797031.1
OG0000014	Utg323392_110	WP_176360024.1, WP_136795895.1
OG0000014	Utg323262_128	WP_167495771.1
OG0000014	Utg324810_58	WP_136795451.1
OG0000015	Utg323392_212, Utg323632_27	WP_136798539.1
OG0000015	Utg323140_90	WP_228721502.1
OG0000015	Utg325220_80	WP_136798430.1
OG0000016	Utg323300_407	WP_136799049.1, WP_136797826.1
OG0000016	Utg323300_334	WP_136795956.1, WP_167495613.1
OG0000017	Utg323990_193	WP_275942934.1
OG0000018	Utg323152_201	WP_136795787.1
OG0000019	Utg323140_131	WP_136796978.1
OG0000019	Utg323262_127	WP_136797551.1
OG0000020	Utg323152_283, Utg323632_271, Utg323152_268	WP_136796993.1
OG0000020	Utg323180_155	WP_136798358.1
OG0000020	Utg323300_116	WP_267314022.1
OG0000021	Utg323152_38	WP_136799193.1
OG0000022	Utg323152_194	WP_136799291.1
OG0000022	Utg323392_113	WP_136798804.1, WP_136796834.1
OG0000023	Utg323180_594	WP_136798831.1
OG0000023	Utg323180_595	WP_136798830.1
OG0000023	Utg323392_65, Utg323180_593	WP_073616346.1
OG0000024	Utg323180_286	WP_136796326.1
OG0000024	Utg323074_45	WP_136797387.1
OG0000024	Utg323152_134	WP_136798855.1
OG0000025	Utg323392_180, Utg323316_342, Utg323316_341	WP_136796934.1
OG0000025	Utg323392_70	WP_136796860.1
OG0000026	Utg323140_43	WP_136795497.1
OG0000026	Utg323300_169	WP_136799106.1
OG0000026	Utg323300_371	WP_136795158.1
OG0000027	Utg323300_117	WP_136795589.1
OG0000027	Utg323300_118	WP_136796842.1
OG0000027	Utg323392_79, Utg323180_188	WP_136797362.1
OG0000028	Utg323262_65	WP_136798974.1
OG0000028	Utg323990_173, Utg323140_52	WP_136798422.1
OG0000028	Utg323140_220	WP_136799929.1, WP_136797026.1
