Orthogroup	Desulfocapsa_13_biocide	Geobacter sulfurreducens PCA
OG0000000	Utg858432_110	WP_010941477.1
OG0000000	Utg860814_23, Utg859236_95, Utg857152_211	WP_010943217.1
OG0000000	Utg860006_151	WP_010942684.1
OG0000000	Utg857994_144	WP_010942141.1
OG0000000	Utg857046_151	WP_010941440.1
OG0000000	Utg863716_60, Utg857046_66	WP_164930426.1
OG0000000	Utg864866_108	WP_010942633.1
OG0000000	Utg859098_130, Utg866558_41, Utg859098_137	WP_010943144.1, WP_010941701.1
OG0000000	Utg859098_426	WP_010941027.1
OG0000000	Utg859750_35	WP_010943112.1, WP_232008971.1
OG0000000	Utg857076_7	WP_010943974.1
OG0000001	Utg863716_50	WP_010942201.1
OG0000001	Utg857152_206	WP_010942515.1, WP_235044972.1
OG0000001	Utg857300_46	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1
OG0000001	Utg857994_39	WP_238525143.1
OG0000002	Utg862138_35	WP_010943324.1, WP_010943450.1, WP_010943451.1
OG0000002	Utg860006_9	WP_010942147.1
OG0000003	Utg861744_3	WP_010941702.1
OG0000004	Utg859098_372	WP_010941506.1
OG0000004	Utg857994_124, Utg859982_119	WP_010942299.1, WP_081461260.1, WP_235044997.1
OG0000005	Utg858432_84, Utg863716_116, Utg857076_41, Utg857994_89, Utg859388_141, Utg863716_9	WP_010943211.1, WP_010941570.1
OG0000005	Utg857152_2, Utg859388_48	WP_235044858.1
OG0000006	Utg859388_140	WP_235044977.1, WP_010942572.1
OG0000006	Utg863716_22	WP_010942659.1, WP_010942687.1, WP_010943149.1, WP_010941142.1, WP_010941614.1, WP_010941205.1
OG0000006	Utg858432_72	WP_010943170.1
OG0000007	Utg858432_132	WP_010942419.1
OG0000007	Utg859750_38	WP_010941916.1
OG0000007	Utg862138_39	WP_010942909.1
OG0000007	Utg857076_16	WP_010941823.1, WP_010942828.1
OG0000007	Utg857152_200	WP_010941994.1
OG0000008	Utg861744_12, Utg857076_45	WP_010941060.1
OG0000008	Utg857152_123	WP_010943303.1
OG0000008	Utg859098_370	WP_010943335.1
OG0000009	Utg860006_74	WP_010942536.1
OG0000009	Utg860814_183, Utg858432_86, Utg864866_20, Utg857152_209	WP_010943210.1
