"","Ortholog Group","ORF","bin","max_annot_lvl","Preferred_name","COG_category","PFAMs","Description","genome.assembly","category","HMM.x","clusterID","cell","reaction","substrate","HMM.y","cluster"
"1","OG0002356","Utg857046_267","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","L","DDE_Tnp_1","IMG reference gene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","OG0002356","Utg857152_257","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","L","DDE_Tnp_1","IMG reference gene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","OG0002356","Utg858494_14","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","L","DDE_Tnp_1","IMG reference gene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","OG0002356","Utg858494_21","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","L","DDE_Tnp_1","IMG reference gene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","OG0002356","Utg859098_400","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","L","DDE_Tnp_1","IMG reference gene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","OG0002356","Utg861448_36","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","L","DDE_Tnp_1","IMG reference gene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","OG0003143","Utg858432_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","OG0003143","Utg858432_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","OG0003143","Utg864866_117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","OG0003143","Utg865370_37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","OG0003155","Utg860814_181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","OG0003155","Utg860814_185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","OG0003155","Utg860814_214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","OG0003155","Utg860814_215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","OG0003792","Utg857152_234","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","G","DUF1566,Kelch_1,Kelch_3,Kelch_4,Kelch_6,PKD,REJ","Galactose oxidase, central domain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","OG0003792","Utg857994_9","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","G","Kelch_1,Kelch_4,PKD","Galactose oxidase, central domain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","OG0003792","Utg860814_245","metabat_sample13.txt.004.emapper.annotations","2|Bacteria","pnlA","S","Alginate_lyase,BBE,FAD_binding_4,Pec_lyase_C,RicinB_lectin_2","chitin catabolic process",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","OG0003798","Utg857992_3","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","OG0003798","Utg861448_1","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","OG0003798","Utg862138_1","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","OG0003813","Utg859432_31","metabat_sample13.txt.004.emapper.annotations","1236|Gammaproteobacteria","nohB","L","Phage_Nu1","DNA Packaging",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","OG0003813","Utg859432_32","metabat_sample13.txt.004.emapper.annotations","1236|Gammaproteobacteria","nohB","L","Phage_Nu1","DNA Packaging",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","OG0003813","Utg859432_33","metabat_sample13.txt.004.emapper.annotations","1236|Gammaproteobacteria","-","L","Phage_Nu1","to SP P31061 (percent identity 27 query alignment coverage 86.5 subject alignment coverage 88.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","OG0004865","Utg857994_238","metabat_sample13.txt.004.emapper.annotations","1117|Cyanobacteria","-","P","DUF1565,SLH","S-layer homology domain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","OG0004865","Utg860006_176","metabat_sample13.txt.004.emapper.annotations","1117|Cyanobacteria","-","P","DUF1565,SLH","S-layer homology domain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","OG0004866","Utg857994_241","metabat_sample13.txt.004.emapper.annotations","976|Bacteroidetes","-","P","CarbopepD_reg_2,Plug,STN,TonB_dep_Rec","PFAM TonB-dependent Receptor Plug",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","OG0004866","Utg860006_174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","OG0004867","Utg857994_243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","OG0004867","Utg860006_173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
