Orthogroup	Geobacter sulfurreducens PCA	Desulfocapsa sulfexigens DSM 10523
OG0000000	WP_010941477.1	WP_015405628.1
OG0000000	WP_010943217.1	WP_015404870.1, WP_015402904.1
OG0000000	WP_010941668.1, WP_010942297.1	WP_015403470.1
OG0000000	WP_010942684.1	WP_015404602.1
OG0000000	WP_010942141.1	WP_015404730.1
OG0000000	WP_010943144.1, WP_010941701.1	WP_015405247.1, WP_015404443.1, WP_015405235.1
OG0000000	WP_010941027.1	WP_015404190.1
OG0000000	WP_010943112.1, WP_232008971.1	WP_228130058.1
OG0000000	WP_010943974.1	WP_015402874.1, WP_052326964.1
OG0000000	WP_010941040.1, WP_010941138.1	WP_015404367.1
OG0000001	WP_010942201.1	WP_015402638.1
OG0000001	WP_010942302.1	WP_015402811.1
OG0000001	WP_010942515.1, WP_235044972.1	WP_167320702.1
OG0000001	WP_010941620.1, WP_010943599.1, WP_010942049.1	WP_015402480.1
OG0000002	WP_010943324.1, WP_010943450.1, WP_010943451.1	WP_015403655.1
OG0000002	WP_010940689.1	WP_015404618.1
OG0000002	WP_010943290.1	WP_015403778.1
OG0000004	WP_010941506.1	WP_015404335.1
OG0000004	WP_010942299.1, WP_081461260.1, WP_235044997.1	WP_015402970.1, WP_015403250.1
OG0000005	WP_010941920.1	WP_015403762.1
OG0000005	WP_010943211.1, WP_010941570.1	WP_015405658.1, WP_015404343.1, WP_015403003.1
OG0000005	WP_235044858.1	WP_015402641.1
OG0000006	WP_235044977.1, WP_010942572.1	WP_015403002.1
OG0000007	WP_010942419.1	WP_015405611.1
OG0000007	WP_010942909.1	WP_015405734.1
OG0000007	WP_010943050.1	WP_041916547.1
OG0000007	WP_010941338.1	WP_015404120.1
OG0000007	WP_010941615.1	WP_015403055.1
OG0000007	WP_010941994.1	WP_015403101.1
OG0000007	WP_010941164.1	WP_015404400.1
OG0000008	WP_010941060.1	WP_015403337.1
OG0000008	WP_010943303.1	WP_015403510.1
OG0000009	WP_010943210.1	WP_015405657.1
OG0000009	WP_010941672.1, WP_010943260.1, WP_010942584.1, WP_010942736.1, WP_010942298.1, WP_010942117.1	WP_015405427.1
OG0000010	WP_010942493.1	WP_015404239.1
OG0000010	WP_010942158.1	WP_153304882.1
OG0000010	WP_010942601.1	WP_015404680.1
OG0000010	WP_235044891.1	WP_015404682.1
OG0000012	WP_010941139.1	WP_015405260.1
OG0000012	WP_010941439.1, WP_010941262.1, WP_010941254.1, WP_144011898.1, WP_010941041.1, WP_010941630.1	WP_015403471.1
OG0000013	WP_235044968.1, WP_010943331.1, WP_010942065.1	WP_015404369.1
OG0000013	WP_010941970.1, WP_010941778.1	WP_015404193.1, WP_015404186.1
OG0000014	WP_010941119.1, WP_010943578.1	WP_015403432.1
OG0000014	WP_010940825.1	WP_015403237.1, WP_015405413.1
OG0000015	WP_010943443.1	WP_015404994.1, WP_015405754.1
OG0000015	WP_010943159.1	WP_015403214.1
OG0000016	WP_010941071.1	WP_015405281.1
OG0000016	WP_010941781.1	WP_015403249.1
OG0000017	WP_010942680.1	WP_015404508.1
OG0000018	WP_010942605.1, WP_235045001.1	WP_015405587.1
OG0000018	WP_010944069.1	WP_228130074.1, WP_015404241.1
OG0000019	WP_010941763.1	WP_015403161.1
OG0000020	WP_010943745.1	WP_015403536.1
OG0000022	WP_010942550.1, WP_010941573.1, WP_010941244.1, WP_010940866.1, WP_010940882.1	WP_015402646.1, WP_015405396.1
OG0000023	WP_010943046.1	WP_015403473.1
OG0000023	WP_045667546.1	WP_015402850.1
OG0000024	WP_010941582.1	WP_015402645.1, WP_015402478.1
OG0000026	WP_010943583.1	WP_015402804.1
OG0000026	WP_010942793.1	WP_015403738.1
OG0000026	WP_010943263.1, WP_010941067.1	WP_015403942.1
OG0000027	WP_010941441.1	WP_083907219.1
OG0000027	WP_010941177.1	WP_228130083.1
OG0000028	WP_010941609.1	WP_015404516.1, WP_015405200.1, WP_015404192.1
OG0000029	WP_010941066.1	WP_015403405.1
OG0000030	WP_010944016.1	WP_015403340.1
OG0000030	WP_010943289.1	WP_228130041.1
OG0000032	WP_010941948.1, WP_010941342.1	WP_015402833.1
OG0000033	WP_010941969.1	WP_015403598.1
OG0000034	WP_010942256.1, WP_010943302.1	WP_015403456.1
OG0000035	WP_010943212.1, WP_010941571.1, WP_010942704.1	WP_015403874.1, WP_015403839.1
OG0000037	WP_164930422.1	WP_015404949.1, WP_015404462.1
OG0000038	WP_010940700.1	WP_015404535.1
OG0000038	WP_010943808.1	WP_015402313.1
OG0000038	WP_010941445.1, WP_010941452.1	WP_015402314.1
OG0000040	WP_010942495.1	WP_015403788.1, WP_015404594.1
OG0000042	WP_010943811.1	WP_041916557.1
OG0000042	WP_010941591.1	WP_015403963.1, WP_015404842.1
OG0000042	WP_010942434.1	WP_015404992.1
OG0000043	WP_010941851.1, WP_010942192.1	WP_015402371.1
