Orthogroup	Desulforhopalus vacuolatus DSM 9700	Desulfocapsa_13_biocide
OG0000000	WP_205218903.1	Utg858432_110
OG0000000	WP_275888964.1	Utg860814_23
OG0000000	WP_205218029.1	Utg857152_211
OG0000000	WP_205220319.1	Utg860006_151
OG0000000	WP_205219819.1	Utg857994_144
OG0000000	WP_205219336.1, WP_205220180.1	Utg859098_309
OG0000000	WP_275888939.1	Utg858432_5
OG0000000	WP_205218170.1	Utg860006_129
OG0000000	WP_240192009.1	Utg859098_426
OG0000000	WP_205220096.1	Utg859982_65
OG0000000	WP_205217973.1	Utg861744_76
OG0000001	WP_205220029.1, WP_205218534.1, WP_205218203.1	Utg863716_50
OG0000001	WP_205220038.1	Utg863716_105
OG0000001	WP_205220390.1	Utg861448_49
OG0000001	WP_205217623.1	Utg860814_100, Utg857152_206, Utg857300_46
OG0000001	WP_205219701.1	Utg859432_61
OG0000001	WP_205217330.1	Utg857994_39
OG0000002	WP_205218052.1, WP_205220147.1	Utg862138_35
OG0000002	WP_205219874.1	Utg862138_47
OG0000002	WP_205220297.1	Utg857994_111
OG0000002	WP_205217849.1	Utg857152_238
OG0000004	WP_240192101.1, WP_205218090.1, WP_205220090.1, WP_205217587.1, WP_205217538.1, WP_240192123.1, WP_205219499.1	Utg860814_35, Utg860814_38
OG0000004	WP_205217688.1	Utg857994_41
OG0000005	WP_205217585.1	Utg864866_21, Utg864866_22
OG0000005	WP_240192106.1	Utg863716_116, Utg857076_41, Utg857994_89, Utg859388_141, Utg863716_9
OG0000006	WP_205218839.1	Utg858494_72, Utg863716_8
OG0000006	WP_205219511.1	Utg859388_140
OG0000007	WP_240192033.1	Utg858432_132
OG0000007	WP_205217665.1	Utg862138_39
OG0000007	WP_205219899.1	Utg857076_16
OG0000008	WP_205219114.1	Utg861744_12, Utg857076_45
OG0000008	WP_205218627.1	Utg859098_370
OG0000009	WP_240192111.1	Utg860814_183
OG0000009	WP_205217584.1	Utg864866_20
OG0000010	WP_205219586.1	Utg857046_180, Utg857046_174, Utg859236_8
OG0000011	WP_205219955.1	Utg860814_134
OG0000011	WP_240191925.1	Utg857046_16
OG0000011	WP_205220094.1	Utg859982_61
OG0000011	WP_205217300.1	Utg857682_167
OG0000012	WP_205218963.1	Utg859388_126
OG0000012	WP_205217637.1	Utg858432_54
OG0000013	WP_240191996.1	Utg860814_26
OG0000013	WP_205218303.1	Utg860814_31
OG0000014	WP_205219172.1	Utg859076_41, Utg857994_28
OG0000014	WP_205218288.1	Utg857682_136
OG0000014	WP_205219411.1	Utg861744_121, Utg861744_120
OG0000015	WP_205217767.1	Utg859388_25, Utg862138_18
OG0000015	WP_205218648.1	Utg864866_65
OG0000017	WP_205220326.1	Utg860006_13, Utg860006_18
OG0000018	WP_205218117.1	Utg859098_213
OG0000018	WP_205219840.1	Utg860006_167
OG0000019	WP_205217874.1	Utg864866_31
OG0000019	WP_205218289.1	Utg857682_135
OG0000020	WP_205217884.1	Utg859098_133, Utg866558_48, Utg859098_147
OG0000022	WP_205218149.1	Utg859236_119
OG0000026	WP_205218231.1	Utg864866_112
OG0000026	WP_240192012.1	Utg857152_94
OG0000027	WP_240192067.1	Utg863716_17, Utg857300_35, Utg857300_34, Utg857046_152, Utg857046_153, Utg859388_156, Utg863716_16
OG0000028	WP_205218835.1	Utg857076_67
OG0000028	WP_205218307.1	Utg860814_34
OG0000030	WP_205217848.1	Utg857152_237
OG0000031	WP_205217958.1	Utg857490_1
OG0000033	WP_205217574.1	Utg857682_66
OG0000033	WP_205219469.1	Utg860814_171
OG0000034	WP_205218628.1	Utg859098_369
OG0000036	WP_205220093.1	Utg859982_60
OG0000037	WP_275889034.1, WP_275889001.1, WP_275889028.1, WP_205220283.1	Utg857994_225, Utg859098_26, Utg857300_65, Utg857490_34, Utg857300_66
OG0000037	WP_240192185.1	Utg858494_23
OG0000038	WP_205218672.1	Utg860006_50
OG0000038	WP_205219654.1	Utg860814_278
OG0000038	WP_205219655.1	Utg860814_277
OG0000039	WP_205217786.1, WP_205219425.1	Utg860006_93
OG0000039	WP_205217373.1	Utg857046_262, Utg859098_367
OG0000040	WP_240192119.1	Utg857994_193
OG0000040	WP_205219588.1	Utg859098_48, Utg860006_147
OG0000041	WP_205218629.1	Utg859098_368
OG0000041	WP_205217528.1, WP_205219357.1	Utg857046_101
OG0000041	WP_205218333.1	Utg857682_137
OG0000042	WP_240192126.1	Utg857152_197
OG0000042	WP_205217331.1	Utg857152_116
OG0000043	WP_205218478.1	Utg857300_6, Utg859236_121, Utg860814_118, Utg859750_58, Utg860814_180
OG0000047	WP_205219188.1	Utg857994_168
OG0000048	WP_205220104.1	Utg857682_54
OG0000050	WP_275888963.1	Utg859076_1, Utg860006_111, Utg859076_7
OG0000050	WP_205218211.1, WP_205218832.1	Utg859076_8
OG0000052	WP_205218833.1	Utg859982_225, Utg857076_61
OG0000053	WP_205219828.1	Utg859388_13
OG0000053	WP_205219575.1	Utg857046_30
OG0000055	WP_205219062.1	Utg859098_163
OG0000057	WP_205217536.1	Utg857682_24
OG0000058	WP_205217357.1	Utg860814_210
OG0000058	WP_205219380.1	Utg859098_128, Utg866558_45, Utg859098_142
OG0000059	WP_205218630.1	Utg859098_365
OG0000060	WP_205219391.1	Utg857300_57
OG0000060	WP_205218162.1	Utg860006_140, Utg860006_141
OG0000061	WP_205220106.1	Utg857682_55
OG0000061	WP_205218219.1	Utg859076_31
OG0000063	WP_205218947.1	Utg857992_35
OG0000063	WP_205217751.1	Utg859388_77
OG0000064	WP_205218680.1	Utg860006_63
OG0000064	WP_205219039.1	Utg859750_77
OG0000065	WP_205217454.1	Utg859750_21
OG0000067	WP_205218467.1	Utg859388_56
OG0000069	WP_240192079.1	Utg857682_89, Utg857076_29
OG0000070	WP_240192170.1	Utg860006_144
OG0000071	WP_205219780.1	Utg859982_10
OG0000072	WP_205219779.1	Utg859982_9
OG0000075	WP_205217847.1	Utg857152_236
OG0000078	WP_205219761.1	Utg859982_201, Utg859982_200
OG0000079	WP_205217405.1	Utg861744_10, Utg859750_81
OG0000084	WP_205217368.1	Utg859236_68
OG0000087	WP_205217731.1	Utg859982_51
OG0000091	WP_205218848.1	Utg860814_64
OG0000091	WP_205217745.1	Utg859388_68
OG0000092	WP_205218658.1	Utg860814_99
OG0000093	WP_240191946.1	Utg859750_86
OG0000094	WP_205218242.1, WP_205219153.1, WP_205218401.1	Utg858494_66
OG0000094	WP_275888993.1	Utg857994_186
OG0000095	WP_205219361.1, WP_205218407.1	Utg857152_143
OG0000095	WP_205218965.1	Utg860006_150
OG0000097	WP_205217730.1	Utg859982_50, Utg859982_49
OG0000097	WP_240191918.1	Utg861744_24
OG0000098	WP_240192130.1	Utg859982_8
OG0000101	WP_240192163.1	Utg865370_31
OG0000101	WP_205219783.1	Utg859750_57
OG0000102	WP_205217638.1	Utg858432_73
OG0000103	WP_205218456.1	Utg857152_173
OG0000104	WP_205219195.1	Utg857994_15
OG0000105	WP_240191944.1	Utg859388_70
OG0000105	WP_240192046.1	Utg860814_77
OG0000106	WP_205218448.1	Utg857046_214
OG0000107	WP_275889021.1	Utg860814_263, Utg860814_264
OG0000108	WP_205220065.1, WP_205220063.1, WP_205220062.1	Utg858498_15
OG0000108	WP_205217815.1	Utg860814_242
