Orthogroup	Species	Desulforhopalus vacuolatus DSM 9700	Orthologs
OG0000000	Geobacter sulfurreducens PCA	WP_205218903.1	WP_010941477.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_205218903.1	WP_009566311.1
OG0000000	Desulfovibrio vulgaris DP4	WP_205218903.1	WP_011791609.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_205218903.1	WP_126376458.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_205218903.1	WP_136797951.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205218903.1	WP_136805244.1
OG0000000	Desulfocapsa_13_biocide	WP_205218903.1	Utg858432_110
OG0000000	Desulfocapsa_06_corrosive	WP_205218903.1	Utg323632_218
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_205218903.1	WP_015405628.1
OG0000000	Desulfotalea psychrophila LSv54	WP_205218903.1	WP_011190064.1
OG0000000	Geobacter sulfurreducens PCA	WP_275888964.1, WP_205218029.1	WP_010943217.1
OG0000000	Shewanella oneidensis MR-1	WP_275888964.1	WP_011073030.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_275888964.1	WP_228721414.1, WP_136796704.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_275888964.1	WP_136809874.1, WP_136808305.1
OG0000000	Desulfocapsa_13_biocide	WP_275888964.1	Utg860814_23
OG0000000	Desulfocapsa_06_corrosive	WP_275888964.1	Utg323180_444
OG0000000	Shewanella oneidensis MR-1	WP_205218029.1	WP_011074304.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205218029.1	WP_136807632.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_205218029.1	WP_136798351.1
OG0000000	Desulfocapsa_06_corrosive	WP_205218029.1	Utg323180_138
OG0000000	Desulfocapsa_13_biocide	WP_205218029.1	Utg857152_211
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_205218029.1	WP_015404870.1, WP_015402904.1
OG0000000	Geobacter sulfurreducens PCA	WP_205219514.1	WP_010943546.1
OG0000000	Geobacter sulfurreducens PCA	WP_205218773.1	WP_275450044.1
OG0000000	Desulfovibrio vulgaris DP4	WP_205219382.1	WP_011793126.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_205219382.1	WP_126379731.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_205219382.1	WP_136798833.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205219382.1	WP_136806855.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_205219382.1	WP_015403470.1
OG0000000	Geobacter sulfurreducens PCA	WP_205219382.1	WP_010941668.1, WP_010942297.1
OG0000000	Geobacter sulfurreducens PCA	WP_205220319.1	WP_010942684.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_205220319.1	WP_015404602.1
OG0000000	Desulfocapsa_06_corrosive	WP_205220319.1	Utg323990_62
OG0000000	Desulfocapsa_13_biocide	WP_205220319.1	Utg860006_151
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205220319.1	WP_136808413.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_205220319.1	WP_217907585.1
OG0000000	Geobacter sulfurreducens PCA	WP_205219819.1	WP_010942141.1
OG0000000	Desulfotalea psychrophila LSv54	WP_205219819.1	WP_011189962.1
OG0000000	Desulfocapsa_13_biocide	WP_205219819.1	Utg857994_144
OG0000000	Desulfocapsa_06_corrosive	WP_205219819.1	Utg323074_126
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_205219819.1	WP_015404730.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_205219819.1	WP_136797758.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205219819.1	WP_136805435.1
OG0000000	Desulfocapsa_06_corrosive	WP_205219336.1, WP_205220180.1	Utg323152_90
OG0000000	Desulfocapsa_13_biocide	WP_205219336.1, WP_205220180.1	Utg859098_309
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205219336.1, WP_205220180.1	WP_136808161.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_205219336.1, WP_205220180.1	WP_136795330.1
OG0000000	Desulfotalea psychrophila LSv54	WP_205219336.1, WP_205220180.1	WP_156792258.1
OG0000000	Desulfovibrio vulgaris DP4	WP_275888939.1	WP_011791326.1
OG0000000	Desulfotalea psychrophila LSv54	WP_275888939.1	WP_041277753.1
OG0000000	Desulfocapsa_13_biocide	WP_275888939.1	Utg858432_5
OG0000000	Desulfocapsa_06_corrosive	WP_275888939.1	Utg323632_66
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_275888939.1	WP_015405714.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_275888939.1	WP_217909566.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_275888939.1	WP_275942930.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_205218170.1	WP_126379473.1, WP_126380421.1
OG0000000	Desulfovibrio vulgaris DP4	WP_205218170.1	WP_010938712.1, WP_011791434.1
OG0000000	Desulfotalea psychrophila LSv54	WP_205218170.1	WP_041278710.1
OG0000000	Desulfocapsa_06_corrosive	WP_205218170.1	Utg323990_84
OG0000000	Desulfocapsa_13_biocide	WP_205218170.1	Utg860006_129
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_205218170.1	WP_015404574.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205218170.1	WP_136806271.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_205218170.1	WP_136795862.1
OG0000000	Geobacter sulfurreducens PCA	WP_205218473.1, WP_240192009.1	WP_010941027.1
OG0000000	Desulfovibrio vulgaris DP4	WP_205218473.1	WP_010940219.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_205218473.1	WP_126377754.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_205218473.1	WP_136797028.1, WP_136799931.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205218473.1	WP_136810261.1, WP_136810305.1, WP_136810299.1
OG0000000	Desulfocapsa_06_corrosive	WP_205218473.1	Utg323140_222
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_205218473.1	WP_015404190.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_240192009.1	WP_126380558.1
OG0000000	Desulfotalea psychrophila LSv54	WP_240192009.1	WP_011187582.1
OG0000000	Desulfovibrio vulgaris DP4	WP_240192009.1	WP_011792079.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_240192009.1	WP_136809765.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_240192009.1	WP_136795637.1
OG0000000	Desulfocapsa_13_biocide	WP_240192009.1	Utg859098_426
OG0000000	Desulfocapsa_06_corrosive	WP_240192009.1	Utg323392_13
OG0000000	Desulfotalea psychrophila LSv54	WP_205220096.1	WP_049785130.1, WP_011187784.1
OG0000000	Desulfovibrio vulgaris DP4	WP_205220096.1	WP_011791645.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_205220096.1	WP_136796349.1, WP_136796152.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205220096.1	WP_136809225.1
OG0000000	Desulfocapsa_13_biocide	WP_205220096.1	Utg859982_65
OG0000000	Shewanella oneidensis MR-1	WP_205217973.1	WP_011071819.1, WP_011074107.1
OG0000000	Desulfovibrio vulgaris DP4	WP_205217973.1	WP_043629547.1, WP_011787377.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_205217973.1	WP_136805595.1
OG0000000	Desulfocapsa_13_biocide	WP_205217973.1	Utg861744_76
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_205217973.1	WP_012606622.1
OG0000001	Acidithiobacillus ferrooxidans YNTRS-40	WP_205220029.1, WP_205218534.1, WP_205218203.1, WP_205220038.1, WP_205220390.1, WP_205217623.1, WP_205219167.1, WP_205219701.1, WP_205217330.1, WP_205217806.1	WP_049756718.1
OG0000001	Desulfocapsa_06_corrosive	WP_205220029.1, WP_205218534.1, WP_205218203.1	Utg323180_225
OG0000001	Desulfocapsa_13_biocide	WP_205220029.1, WP_205218534.1, WP_205218203.1	Utg863716_50
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_205220029.1, WP_205218534.1, WP_205218203.1	WP_136796374.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_205220029.1, WP_205218534.1, WP_205218203.1	WP_126376510.1, WP_172961810.1
OG0000001	Desulfovibrio vulgaris DP4	WP_205220029.1	WP_010937723.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_205220029.1	WP_136806607.1
OG0000001	Shewanella oneidensis MR-1	WP_205220029.1	WP_011074067.1
OG0000001	Geobacter sulfurreducens PCA	WP_205220029.1	WP_010942201.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_205220029.1	WP_015402638.1
OG0000001	Desulfotalea psychrophila LSv54	WP_205218534.1	WP_011188793.1
OG0000001	Desulfotalea psychrophila LSv54	WP_205218203.1	WP_011187475.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_205218203.1	WP_167505925.1
OG0000001	Shewanella oneidensis MR-1	WP_205218203.1	WP_011073330.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_205220038.1	WP_136808786.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_205220038.1	WP_126375555.1
OG0000001	Desulfocapsa_06_corrosive	WP_205220038.1	Utg323180_287
OG0000001	Desulfocapsa_13_biocide	WP_205220038.1	Utg863716_105
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_205220038.1	WP_015402457.1, WP_015402486.1
OG0000001	Desulfocapsa_13_biocide	WP_205220390.1	Utg861448_49
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_205220390.1	WP_136805177.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_205220390.1	WP_136798931.1
OG0000001	Desulfovibrio vulgaris DP4	WP_205220390.1	WP_010938239.1, WP_011791528.1, WP_011791603.1
OG0000001	Shewanella oneidensis MR-1	WP_205220390.1	WP_011071093.1
OG0000001	Desulfotalea psychrophila LSv54	WP_205220390.1	WP_011189956.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_205220390.1	WP_126376875.1, WP_126378261.1, WP_172961567.1, WP_126380896.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_205220390.1	WP_015403644.1
OG0000001	Desulfocapsa_13_biocide	WP_205217623.1	Utg860814_100, Utg857152_206, Utg857300_46
OG0000001	Desulfocapsa_06_corrosive	WP_205217623.1	Utg323180_510, Utg323180_136, Utg323300_105, Utg324810_63
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_205217623.1	WP_015402385.1, WP_015405261.1, WP_015402811.1, WP_167320702.1
OG0000001	Desulfovibrio vulgaris DP4	WP_205217623.1	WP_010939092.1, WP_011792183.1, WP_043629533.1, WP_010937422.1, WP_010939946.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_205217623.1	WP_126377423.1, WP_232034871.1, WP_126377178.1, WP_126375573.1, WP_126379609.1, WP_172961793.1, WP_126380918.1, WP_126377950.1
OG0000001	Shewanella oneidensis MR-1	WP_205217623.1	WP_011070909.1, WP_011071801.1, WP_011072190.1
OG0000001	Geobacter sulfurreducens PCA	WP_205217623.1	WP_010942302.1, WP_010942515.1, WP_235044972.1, WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_205217623.1	WP_136798799.1, WP_136799195.1, WP_136799410.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_205217623.1	WP_136807476.1, WP_136809287.1, WP_136810389.1
OG0000001	Desulfotalea psychrophila LSv54	WP_205217623.1	WP_011187505.1
OG0000001	Desulfovibrio vulgaris DP4	WP_205219167.1	WP_011791763.1
OG0000001	Shewanella oneidensis MR-1	WP_205219167.1	WP_164925657.1, WP_011073617.1
OG0000001	Desulfotalea psychrophila LSv54	WP_205219167.1	WP_041277893.1, WP_011188215.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_205219167.1	WP_136809108.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_205219167.1	WP_015402591.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_205219701.1	WP_136809201.1, WP_136809645.1
OG0000001	Desulfovibrio vulgaris DP4	WP_205219701.1	WP_223294637.1
OG0000001	Desulfotalea psychrophila LSv54	WP_205219701.1	WP_011187559.1
OG0000001	Desulfocapsa_13_biocide	WP_205219701.1	Utg859432_61
OG0000001	Desulfovibrio ferrophilus IS5	WP_205219701.1	WP_172961763.1
OG0000001	Desulfotalea psychrophila LSv54	WP_205217330.1	WP_041277878.1, WP_011187493.1
OG0000001	Desulfovibrio vulgaris DP4	WP_205217330.1	WP_011793088.1
OG0000001	Shewanella oneidensis MR-1	WP_205217330.1	WP_011073385.1, WP_011073536.1, WP_011072697.1
OG0000001	Desulfocapsa_13_biocide	WP_205217330.1	Utg857994_39
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_205217330.1	WP_136796562.1
OG0000001	Geobacter sulfurreducens PCA	WP_205217330.1	WP_238525143.1
OG0000001	Geobacter sulfurreducens PCA	WP_205217806.1	WP_010941210.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_205217806.1	WP_172961701.1
OG0000001	Desulfotalea psychrophila LSv54	WP_205217806.1	WP_011189550.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_205217333.1	WP_009563459.1
OG0000002	Shewanella oneidensis MR-1	WP_205217333.1	WP_011073574.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_205217333.1	WP_136806247.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_205218052.1, WP_205220147.1	WP_015403655.1
OG0000002	Shewanella oneidensis MR-1	WP_205218052.1, WP_205220147.1	WP_011071850.1
OG0000002	Desulfocapsa_06_corrosive	WP_205218052.1, WP_205220147.1	Utg323632_46
OG0000002	Desulfocapsa_13_biocide	WP_205218052.1, WP_205220147.1	Utg862138_35
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_205218052.1, WP_205220147.1	WP_012537438.1
OG0000002	Desulfotalea psychrophila LSv54	WP_205218052.1, WP_205220147.1	WP_011188785.1
OG0000002	Geobacter sulfurreducens PCA	WP_205218052.1	WP_010943324.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_205220147.1	WP_136805222.1
OG0000002	Geobacter sulfurreducens PCA	WP_205220147.1	WP_010943450.1, WP_010943451.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_205220205.1	WP_009567471.1
OG0000002	Shewanella oneidensis MR-1	WP_205220205.1	WP_011074078.1
OG0000002	Desulfovibrio vulgaris DP4	WP_205220205.1	WP_011793091.1
OG0000002	Desulfotalea psychrophila LSv54	WP_205220205.1	WP_041277525.1
OG0000002	Shewanella oneidensis MR-1	WP_205217673.1, WP_205219874.1	WP_011071049.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_205217673.1	WP_136795903.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_205217673.1	WP_136807288.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_205219874.1	WP_136805570.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_205219874.1	WP_136798151.1
OG0000002	Desulfotalea psychrophila LSv54	WP_205219874.1	WP_041277737.1
OG0000002	Desulfocapsa_13_biocide	WP_205219874.1	Utg862138_47
OG0000002	Desulfovibrio vulgaris DP4	WP_205219874.1	WP_011793015.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_205220297.1	WP_136795245.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_205220297.1	WP_136808067.1
OG0000002	Desulfocapsa_13_biocide	WP_205220297.1	Utg857994_111
OG0000002	Shewanella oneidensis MR-1	WP_205217653.1, WP_205218384.1	WP_011071300.1
OG0000002	Desulfovibrio vulgaris DP4	WP_205217653.1	WP_181409370.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_205217653.1	WP_041916771.1
OG0000002	Desulfocapsa_06_corrosive	WP_205217653.1	Utg323300_202
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_205217653.1	WP_217909654.1, WP_136806069.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_205217653.1	WP_275942949.1, WP_167495633.1
OG0000002	Desulfotalea psychrophila LSv54	WP_205217653.1	WP_011188678.1
OG0000002	Desulfovibrio vulgaris DP4	WP_205218384.1	WP_181409380.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_205218384.1	WP_126378796.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_205218384.1	WP_136799606.1, WP_136799805.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_205218384.1	WP_136807684.1, WP_136810832.1, WP_136805614.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_205217849.1	WP_126380628.1
OG0000002	Desulfovibrio vulgaris DP4	WP_205217849.1	WP_011792919.1
OG0000002	Desulfotalea psychrophila LSv54	WP_205217849.1	WP_041277652.1
OG0000002	Desulfocapsa_13_biocide	WP_205217849.1	Utg857152_238
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_205217849.1	WP_136796899.1
OG0000004	Shewanella oneidensis MR-1	WP_205220089.1, WP_240192173.1, WP_240192101.1, WP_205218090.1, WP_205220090.1, WP_205217587.1, WP_205217538.1, WP_240192123.1, WP_205219499.1, WP_205217688.1	WP_011073049.1, WP_011073640.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_205220089.1	WP_015403645.1, WP_015403269.1, WP_015403586.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_240192173.1	WP_015402402.1
OG0000004	Desulfosediminicola ganghwensis IMCC35004	WP_240192173.1	WP_167495700.1
OG0000004	Desulfotalea psychrophila LSv54	WP_240192173.1	WP_011189167.1, WP_011189166.1, WP_011189165.1
OG0000004	Desulfocapsa_06_corrosive	WP_240192101.1, WP_205218090.1, WP_205220090.1, WP_205217587.1, WP_205217538.1, WP_240192123.1, WP_205219499.1	Utg323180_453
OG0000004	Desulfocapsa_13_biocide	WP_240192101.1, WP_205218090.1, WP_205220090.1, WP_205217587.1, WP_205217538.1, WP_240192123.1, WP_205219499.1	Utg860814_35, Utg860814_38
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_240192101.1, WP_205218090.1	WP_176371583.1, WP_136806049.1, WP_136810154.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_205220090.1, WP_205217587.1	WP_267313779.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_205217538.1	WP_136805478.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_240192123.1, WP_205219499.1	WP_167505723.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_205217688.1	WP_136808745.1
OG0000004	Desulfocapsa_13_biocide	WP_205217688.1	Utg857994_41
OG0000004	Desulfocapsa_06_corrosive	WP_205217688.1	Utg323180_416
OG0000005	Desulfotalea psychrophila LSv54	WP_205217585.1	WP_011189533.1, WP_011188126.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_205217585.1	WP_136806687.1, WP_136809485.1, WP_136810251.1
OG0000005	Desulfocapsa_06_corrosive	WP_205217585.1	Utg323152_472, Utg323392_2, Utg323140_137
OG0000005	Desulfocapsa_13_biocide	WP_205217585.1	Utg864866_21, Utg864866_22
OG0000005	Desulfovibrio ferrophilus IS5	WP_205220331.1, WP_205219789.1, WP_275889005.1, WP_240192106.1	WP_172961730.1
OG0000005	Geobacter sulfurreducens PCA	WP_205220331.1, WP_205219789.1, WP_275889005.1, WP_240192106.1	WP_010943211.1, WP_010941570.1
OG0000005	Desulfovibrio vulgaris DP4	WP_205220331.1, WP_205219789.1, WP_275889005.1, WP_240192106.1	WP_011791532.1
OG0000005	Desulfosediminicola ganghwensis IMCC35004	WP_205220331.1, WP_205219789.1, WP_275889005.1, WP_240192106.1	WP_136799362.1
OG0000005	Desulfocapsa_06_corrosive	WP_205220331.1	Utg323140_36
OG0000005	Shewanella oneidensis MR-1	WP_205219789.1, WP_275889005.1	WP_011071149.1
OG0000005	Desulfocapsa_13_biocide	WP_240192106.1	Utg863716_116, Utg857076_41, Utg857994_89, Utg859388_141, Utg863716_9
OG0000005	Desulfocapsa_06_corrosive	WP_240192106.1	Utg323262_94, Utg323392_93
OG0000005	Desulfocapsa sulfexigens DSM 10523	WP_240192106.1	WP_015404343.1, WP_015403003.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_240192106.1	WP_228723321.1, WP_136810234.1, WP_136807296.1, WP_136805496.1, WP_136806590.1
OG0000006	Shewanella oneidensis MR-1	WP_205219109.1	WP_011070957.1, WP_011070793.1
OG0000006	Acidithiobacillus ferrooxidans YNTRS-40	WP_205219109.1	WP_229129724.1, WP_230456343.1
OG0000006	Desulfosediminicola flagellatus IMCC35005	WP_205218839.1	WP_136810272.1
OG0000006	Desulfosediminicola ganghwensis IMCC35004	WP_205218839.1	WP_136797886.1
OG0000006	Shewanella oneidensis MR-1	WP_205218839.1	WP_011072463.1, WP_011072496.1, WP_011073589.1, WP_011073842.1, WP_238560533.1, WP_011070885.1
OG0000006	Desulfocapsa_13_biocide	WP_205218839.1	Utg858494_72, Utg863716_8
OG0000006	Desulfocapsa_06_corrosive	WP_205218839.1	Utg323632_356
