Orthogroup	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide
OG0000000	Utg323632_218	Utg858432_110
OG0000000	Utg323180_444	Utg860814_23
OG0000000	Utg323262_151	Utg859236_95
OG0000000	Utg323180_138	Utg857152_211
OG0000000	Utg323990_62	Utg860006_151
OG0000000	Utg323074_126	Utg857994_144
OG0000000	Utg323262_146	Utg859236_100
OG0000000	Utg323392_244	Utg857994_77
OG0000000	Utg323152_90	Utg859098_309
OG0000000	Utg323180_238	Utg863716_60
OG0000000	Utg323316_173	Utg857046_66
OG0000000	Utg323140_46	Utg864866_108
OG0000000	Utg323140_105	Utg864866_50
OG0000000	Utg323632_66	Utg858432_5
OG0000000	Utg323990_84	Utg860006_129
OG0000000	Utg323152_233	Utg859098_179
OG0000000	Utg323152_286	Utg859098_130
OG0000000	Utg323632_278	Utg866558_41
OG0000000	Utg323152_278	Utg859098_137
OG0000000	Utg323392_13	Utg859098_426
OG0000000	Utg323180_69	Utg859750_35
OG0000000	Utg323152_529	Utg857046_247
OG0000000	Utg323262_120	Utg857076_7
OG0000000	Utg323990_174	Utg860006_29
OG0000001	Utg323180_225	Utg863716_50
OG0000001	Utg323180_287	Utg863716_105
OG0000001	Utg323180_510	Utg860814_100
OG0000001	Utg323180_136	Utg857152_206
OG0000001	Utg323300_105	Utg857300_46
OG0000001	Utg325220_101	Utg859236_118
OG0000001	Utg323316_129	Utg857300_26
OG0000002	Utg323300_31	Utg857046_190
OG0000002	Utg323632_46	Utg862138_35
OG0000002	Utg323316_94	Utg859076_23
OG0000002	Utg323160_86	Utg861744_15
OG0000003	Utg325220_107	Utg859236_111
OG0000003	Utg323632_206	Utg861744_3
OG0000003	Utg323152_11	Utg859098_375
OG0000004	Utg323152_14	Utg859098_372
OG0000004	Utg323074_85, Utg323180_529	Utg857682_27, Utg861744_9, Utg860814_122
OG0000004	Utg323152_27, Utg323300_412	Utg857152_136
OG0000004	Utg323266_76, Utg323266_66	Utg857682_26
OG0000004	Utg323180_453	Utg860814_35, Utg860814_38
OG0000004	Utg323152_104	Utg858494_71
OG0000004	Utg323180_416	Utg857994_41
OG0000004	Utg323632_135	Utg858432_88
OG0000004	Utg323180_613	Utg860814_202
OG0000004	Utg323180_419, Utg323262_186	Utg859236_73
OG0000004	Utg323300_14	Utg857994_124, Utg859982_119
OG0000005	Utg323140_137	Utg864866_21, Utg864866_22
OG0000005	Utg323152_391	Utg859982_207
OG0000005	Utg323632_133	Utg858432_84
OG0000005	Utg323262_94	Utg857076_41
OG0000005	Utg323392_93	Utg859388_141
OG0000005	Utg323300_274	Utg857152_2
OG0000005	Utg323392_174	Utg859388_48
OG0000006	Utg323990_58	Utg860006_155
OG0000006	Utg323632_356	Utg863716_8
OG0000006	Utg323392_94	Utg859388_140
OG0000006	Utg323160_106	Utg863716_22
OG0000006	Utg323392_72	Utg858432_72
OG0000006	Utg323180_218, Utg323180_148	Utg859982_107, Utg863716_120
OG0000007	Utg323632_239	Utg858432_132
OG0000007	Utg323180_86	Utg859750_38
OG0000007	Utg323632_51	Utg862138_39
OG0000007	Utg323262_116	Utg857076_16
OG0000007	Utg323180_130	Utg857152_200
OG0000008	Utg323160_91	Utg861744_12
OG0000008	Utg323262_89	Utg857076_45
OG0000008	Utg323300_399	Utg857152_123
OG0000008	Utg323392_185	Utg859388_41
OG0000009	Utg323990_129	Utg860006_74
OG0000009	Utg323632_134	Utg858432_86
OG0000009	Utg323140_138	Utg864866_20
OG0000009	Utg323180_612	Utg860814_199, Utg860814_198
OG0000010	Utg323316_272, Utg323316_267	Utg857046_180
OG0000011	Utg323180_549	Utg860814_134
OG0000012	Utg323392_111	Utg859388_126
OG0000012	Utg323140_106	Utg864866_48
OG0000012	Utg323316_174	Utg857046_67
OG0000012	Utg323632_113	Utg858432_54
OG0000013	Utg323140_78	Utg864866_75
OG0000013	Utg323180_446	Utg860814_26
OG0000013	Utg323180_450	Utg860814_31
OG0000014	Utg323392_110	Utg859076_41, Utg857994_28
OG0000014	Utg323262_128	Utg857682_136
OG0000014	Utg324810_58	Utg861744_121, Utg861744_120
OG0000015	Utg323392_212	Utg859388_25
OG0000015	Utg323632_27	Utg862138_18
OG0000015	Utg323140_90	Utg864866_65
OG0000016	Utg323152_301	Utg859098_114
OG0000016	Utg323300_407	Utg857152_131
OG0000017	Utg323990_184	Utg860006_13
OG0000017	Utg323990_193	Utg860006_11
OG0000018	Utg323152_201	Utg859098_213
OG0000019	Utg323140_131	Utg864866_31
OG0000019	Utg323262_129	Utg859076_49
OG0000019	Utg323262_127	Utg857682_135
OG0000020	Utg323266_116	Utg857682_69
OG0000020	Utg323152_283	Utg859098_133
OG0000020	Utg323632_271	Utg866558_48
OG0000020	Utg323152_268	Utg859098_147
OG0000020	Utg323180_155	Utg857152_214
OG0000020	Utg323300_116	Utg857300_36
OG0000021	Utg323152_38	Utg859098_363
OG0000022	Utg323152_194	Utg859098_220
OG0000022	Utg323180_278	Utg863716_101
OG0000022	Utg323392_113	Utg859388_124
OG0000023	Utg323180_594	Utg860814_168
OG0000023	Utg323180_595	Utg860814_169
OG0000023	Utg323392_65, Utg323180_593	Utg859388_168
OG0000024	Utg323180_286	Utg863716_104
OG0000024	Utg323152_134	Utg859098_279
OG0000025	Utg323300_113	Utg857300_39
OG0000025	Utg323140_34	Utg860814_248
OG0000025	Utg323316_176	Utg857046_69, Utg857046_70
OG0000025	Utg323180_632	Utg860814_224
OG0000025	Utg323152_140	Utg859098_275
OG0000025	Utg323140_139	Utg864866_19
OG0000025	Utg323392_180, Utg323316_342, Utg323316_341	Utg857046_255
OG0000025	Utg323180_435	Utg860814_14
OG0000025	Utg323632_121	Utg857994_30
OG0000025	Utg323392_70	Utg858432_70
