Orthogroup	Desulfovibrio vulgaris DP4	Desulfosediminicola ganghwensis IMCC35004
OG0000000	WP_011791609.1	WP_136797951.1
OG0000000	WP_010938245.1, WP_011792839.1	WP_136798610.1
OG0000000	WP_011793126.1	WP_136798833.1
OG0000000	WP_011791385.1	WP_136799830.1
OG0000000	WP_011791326.1	WP_275942930.1
OG0000000	WP_010938712.1, WP_011791434.1	WP_136795862.1
OG0000000	WP_010938045.1	WP_136798339.1, WP_136796441.1
OG0000000	WP_010940219.1	WP_136797028.1, WP_136799931.1
OG0000000	WP_011792079.1	WP_136795637.1, WP_136796984.1
OG0000000	WP_011791966.1, WP_011793108.1	WP_136796539.1
OG0000000	WP_010940215.1	WP_217907626.1
OG0000000	WP_011791645.1	WP_167495805.1, WP_136799754.1, WP_136799532.1, WP_136796349.1, WP_136796152.1
OG0000000	WP_011792800.1	WP_176360009.1, WP_228721410.1
OG0000000	WP_011791917.1	WP_136799495.1
OG0000000	WP_010937429.1	WP_136798421.1
OG0000000	WP_011792072.1	WP_136798981.1
OG0000001	WP_010937723.1	WP_136796374.1
OG0000001	WP_010938239.1, WP_011791528.1, WP_011791603.1	WP_136798931.1
OG0000001	WP_011792985.1	WP_136798261.1
OG0000002	WP_011792861.1	WP_217907664.1
OG0000002	WP_011791473.1	WP_136796812.1, WP_136796360.1
OG0000002	WP_010937409.1	WP_136796249.1
OG0000002	WP_011793015.1	WP_136798151.1
OG0000002	WP_181409382.1	WP_275942957.1
OG0000002	WP_010938054.1	WP_136796313.1
OG0000002	WP_181409370.1	WP_275942949.1, WP_167495633.1
OG0000002	WP_181409380.1	WP_136799606.1, WP_136799805.1
OG0000002	WP_011792919.1	WP_136796899.1
OG0000004	WP_011791556.1	WP_136798650.1
OG0000005	WP_223294572.1	WP_167495701.1, WP_167495890.1
OG0000005	WP_223294640.1	WP_136799321.1
OG0000005	WP_011791751.1, WP_011791759.1	WP_136797798.1
OG0000005	WP_011791532.1	WP_136799362.1
OG0000007	WP_011791331.1	WP_228721345.1
OG0000007	WP_010939647.1	WP_136796543.1
OG0000007	WP_011791362.1	WP_217907574.1
OG0000007	WP_223294679.1	WP_136796830.1
OG0000008	WP_010939710.1	WP_136796499.1
OG0000008	WP_011793161.1	WP_136796821.1
OG0000008	WP_011791419.1	WP_136798618.1
OG0000008	WP_011791653.1	WP_228721405.1
OG0000008	WP_010937371.1	WP_136797473.1
OG0000010	WP_011787335.1	WP_136799911.1
OG0000011	WP_011791648.1	WP_167495681.1
OG0000011	WP_010937320.1	WP_136796266.1
OG0000011	WP_010938006.1	WP_136799595.1
OG0000012	WP_011791325.1	WP_136799858.1
OG0000012	WP_011791433.1	WP_228721381.1
OG0000012	WP_011787301.1	WP_136796722.1
OG0000012	WP_011793127.1	WP_136798832.1
OG0000013	WP_010937451.1	WP_228721392.1, WP_136799928.1
OG0000014	WP_010939857.1	WP_176360024.1, WP_136795895.1
OG0000015	WP_011792453.1	WP_228721502.1
OG0000018	WP_011793148.1	WP_136799912.1
OG0000018	WP_011787361.1	WP_136795787.1, WP_136799915.1
OG0000018	WP_011793112.1	WP_167495927.1
OG0000019	WP_010938382.1	WP_136796978.1
OG0000020	WP_010937483.1	WP_136798358.1
OG0000021	WP_011791398.1	WP_136797283.1, WP_136799171.1
OG0000021	WP_011791863.1	WP_136799193.1, WP_136797562.1
OG0000021	WP_010937477.1, WP_010939846.1	WP_136797285.1, WP_136796275.1
OG0000023	WP_010939713.1, WP_011792776.1	WP_136798830.1
OG0000024	WP_011791375.1	WP_136796326.1
OG0000024	WP_010940347.1	WP_136797387.1
OG0000024	WP_011792124.1	WP_136798855.1
OG0000026	WP_010940054.1	WP_136799106.1
OG0000026	WP_010938934.1	WP_136796894.1
OG0000027	WP_011791819.1, WP_011792816.1, WP_011791657.1	WP_136795589.1, WP_136796842.1
OG0000028	WP_011791856.1	WP_136798974.1
OG0000028	WP_043629613.1	WP_136798422.1
OG0000028	WP_010940221.1	WP_136799929.1, WP_136797026.1
OG0000029	WP_011792424.1	WP_136796505.1
OG0000029	WP_010939259.1	WP_136797658.1
OG0000030	WP_010938266.1	WP_136797137.1
OG0000030	WP_011792766.1	WP_228721452.1
OG0000030	WP_010937694.1	WP_228721479.1
OG0000031	WP_011792678.1	WP_136798099.1
OG0000032	WP_014524547.1	WP_136799837.1
OG0000033	WP_011792395.1	WP_167495906.1
OG0000033	WP_011792568.1	WP_228721439.1
OG0000034	WP_010937372.1	WP_136797474.1
OG0000034	WP_011791418.1	WP_136798619.1
OG0000034	WP_011791654.1	WP_136795709.1
OG0000035	WP_011792514.1, WP_181409361.1, WP_011791918.1, WP_010939346.1, WP_011792644.1	WP_136796974.1
OG0000036	WP_011793195.1	WP_136796268.1
