Orthogroup	Desulfovibrio ferrophilus IS5	Desulfocapsa sulfexigens DSM 10523
OG0000000	WP_126376458.1	WP_015405628.1
OG0000000	WP_126379731.1	WP_015403470.1
OG0000000	WP_126379473.1, WP_126380421.1	WP_015404574.1
OG0000000	WP_126375654.1	WP_015405012.1
OG0000000	WP_172961679.1	WP_015405247.1, WP_015404443.1, WP_015405235.1
OG0000000	WP_126377754.1	WP_015404190.1
OG0000000	WP_172961667.1	WP_228130058.1
OG0000000	WP_126377909.1	WP_015402874.1
OG0000000	WP_126377956.1	WP_015404367.1
OG0000001	WP_126376510.1, WP_172961810.1	WP_015402638.1
OG0000001	WP_126375555.1	WP_015402457.1, WP_015402486.1
OG0000001	WP_126378261.1	WP_015403644.1
OG0000001	WP_126377423.1	WP_015402385.1
OG0000001	WP_232034871.1, WP_126377178.1	WP_015405261.1
OG0000001	WP_126375573.1	WP_167320702.1
OG0000001	WP_197723432.1	WP_015402480.1
OG0000002	WP_126375861.1	WP_153304957.1
OG0000002	WP_126378098.1	WP_015403778.1
OG0000004	WP_172961808.1	WP_015405091.1
OG0000004	WP_126379990.1	WP_015404335.1
OG0000004	WP_126381022.1	WP_015402402.1
OG0000005	WP_126379727.1, WP_172961688.1	WP_015403762.1
OG0000005	WP_172961730.1	WP_015405658.1, WP_015404343.1, WP_015403003.1, WP_015402641.1, WP_167320730.1
OG0000006	WP_126375895.1	WP_015405414.1
OG0000006	WP_172961584.1	WP_015405458.1
OG0000007	WP_126381476.1	WP_015405611.1
OG0000007	WP_126375925.1	WP_015405734.1
OG0000007	WP_126381411.1	WP_041916547.1
OG0000007	WP_126375605.1, WP_126379380.1	WP_015403101.1
OG0000008	WP_126380866.1	WP_015403337.1
OG0000008	WP_126376430.1	WP_015403510.1
OG0000009	WP_126381017.1, WP_126381118.1, WP_126380358.1, WP_197723449.1	WP_015405427.1
OG0000010	WP_126380086.1, WP_172961677.1	WP_015404239.1
OG0000010	WP_232034795.1	WP_015404680.1
OG0000010	WP_126380611.1	WP_167320737.1
OG0000010	WP_126377453.1	WP_015404221.1
OG0000010	WP_172961742.1	WP_015404682.1
OG0000012	WP_126379475.1	WP_015403532.1
OG0000012	WP_232034787.1	WP_228130022.1
OG0000012	WP_126380912.1	WP_015403471.1
OG0000013	WP_126376628.1	WP_015402979.1, WP_015404369.1
OG0000013	WP_126376569.1, WP_126379729.1	WP_015404193.1
OG0000013	WP_126376573.1	WP_015404186.1
OG0000014	WP_126377105.1	WP_015403048.1
OG0000015	WP_126376089.1	WP_015403214.1
OG0000018	WP_126378455.1	WP_228130074.1, WP_015404241.1
OG0000019	WP_126380934.1	WP_015403161.1
OG0000019	WP_232034874.1	WP_015403047.1
OG0000020	WP_126375608.1	WP_015405231.1, WP_015404437.1, WP_015405244.1
OG0000020	WP_126375676.1	WP_015404863.1
OG0000023	WP_126379216.1	WP_015403474.1
OG0000024	WP_126375630.1	WP_015405350.1
OG0000024	WP_126380860.1	WP_015402645.1, WP_015402478.1
OG0000026	WP_126380892.1	WP_015402804.1
OG0000026	WP_126379565.1	WP_015403738.1
OG0000027	WP_126376537.1, WP_126377878.1	WP_083907219.1
OG0000028	WP_126381116.1	WP_015404516.1, WP_015405200.1
OG0000028	WP_126376567.1	WP_015404192.1
OG0000029	WP_126377624.1	WP_167320727.1
OG0000030	WP_126375863.1	WP_015403340.1
OG0000030	WP_232034763.1	WP_228130041.1
OG0000031	WP_126379174.1	WP_015404265.1
OG0000031	WP_126380000.1	WP_015405368.1, WP_015403311.1
OG0000032	WP_126380669.1, WP_126380997.1	WP_015403801.1
OG0000033	WP_126380666.1	WP_015403598.1
OG0000035	WP_232034774.1, WP_126381133.1, WP_172961635.1, WP_126376101.1	WP_015403874.1, WP_015403839.1
OG0000038	WP_232034908.1	WP_015404535.1
OG0000038	WP_126376738.1	WP_015402313.1
OG0000039	WP_126379639.1	WP_015405087.1
OG0000040	WP_126380168.1	WP_015404696.1
OG0000041	WP_172961587.1	WP_015403613.1
OG0000042	WP_126379529.1	WP_041916557.1
