Orthogroup	Species	Geobacter sulfurreducens PCA	Orthologs
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_010941477.1	WP_205218903.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010941477.1	WP_136797951.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010941477.1	WP_136805244.1
OG0000000	Desulfocapsa_13_biocide	WP_010941477.1	Utg858432_110
OG0000000	Desulfocapsa_06_corrosive	WP_010941477.1	Utg323632_218
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010941477.1	WP_015405628.1
OG0000000	Desulfotalea psychrophila LSv54	WP_010941477.1	WP_011190064.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010941477.1	WP_011791609.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010941477.1	WP_126376458.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_010941477.1	WP_009566311.1
OG0000000	Desulfocapsa_13_biocide	WP_010943217.1	Utg860814_23, Utg859236_95, Utg857152_211
OG0000000	Desulfocapsa_06_corrosive	WP_010943217.1	Utg323180_444, Utg323262_151, Utg323180_138
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_010943217.1	WP_275888964.1, WP_205218029.1
OG0000000	Shewanella oneidensis MR-1	WP_010943217.1	WP_011073030.1, WP_011074304.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010943217.1	WP_228721414.1, WP_136796704.1, WP_136798610.1, WP_136798351.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010943217.1	WP_136809874.1, WP_136808305.1, WP_136806168.1, WP_136807632.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010943217.1	WP_126376149.1, WP_126379949.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010943217.1	WP_011792763.1, WP_010938245.1, WP_011792839.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010943217.1	WP_015404870.1, WP_015402904.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_010943546.1	WP_205219514.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_275450044.1	WP_205218773.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010943160.1, WP_010940953.1	WP_011791354.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010943160.1, WP_010940953.1	WP_167505846.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_010941668.1, WP_010942297.1	WP_205219382.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010941668.1, WP_010942297.1	WP_011793126.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010941668.1, WP_010942297.1	WP_126379731.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010941668.1, WP_010942297.1	WP_136798833.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010941668.1, WP_010942297.1	WP_136806855.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010941668.1, WP_010942297.1	WP_015403470.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010942684.1	WP_015404602.1
OG0000000	Desulfocapsa_06_corrosive	WP_010942684.1	Utg323990_62
OG0000000	Desulfocapsa_13_biocide	WP_010942684.1	Utg860006_151
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010942684.1	WP_136808413.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010942684.1	WP_217907585.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_010942684.1	WP_205220319.1
OG0000000	Desulfotalea psychrophila LSv54	WP_010942141.1	WP_011189962.1
OG0000000	Desulfocapsa_13_biocide	WP_010942141.1	Utg857994_144
OG0000000	Desulfocapsa_06_corrosive	WP_010942141.1	Utg323074_126
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010942141.1	WP_015404730.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010942141.1	WP_136797758.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010942141.1	WP_136805435.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_010942141.1	WP_205219819.1
OG0000000	Desulfocapsa_13_biocide	WP_010941440.1	Utg857046_151
OG0000000	Desulfotalea psychrophila LSv54	WP_010941631.1	WP_011187715.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010941261.1	WP_136796388.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_164930426.1	WP_136796659.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_164930426.1	WP_136808356.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_164930426.1	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1
OG0000000	Shewanella oneidensis MR-1	WP_164930426.1	WP_011074101.1
OG0000000	Desulfocapsa_06_corrosive	WP_164930426.1	Utg323180_238, Utg323316_173
OG0000000	Desulfocapsa_13_biocide	WP_164930426.1	Utg863716_60, Utg857046_66
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010942633.1	WP_136809937.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010942633.1	WP_136797600.1, WP_136796723.1
OG0000000	Desulfotalea psychrophila LSv54	WP_010942633.1	WP_011188283.1
OG0000000	Desulfocapsa_06_corrosive	WP_010942633.1	Utg323140_46
OG0000000	Desulfocapsa_13_biocide	WP_010942633.1	Utg864866_108
OG0000000	Desulfovibrio ferrophilus IS5	WP_010943144.1, WP_010941701.1	WP_172961679.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010943144.1, WP_010941701.1	WP_010938045.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010943144.1, WP_010941701.1	WP_015405247.1, WP_015404443.1, WP_015405235.1
OG0000000	Desulfocapsa_13_biocide	WP_010943144.1, WP_010941701.1	Utg859098_130, Utg866558_41, Utg859098_137
OG0000000	Desulfocapsa_06_corrosive	WP_010943144.1, WP_010941701.1	Utg323152_286, Utg323632_278, Utg323152_278
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010943144.1, WP_010941701.1	WP_136807046.1, WP_136810243.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010943144.1, WP_010941701.1	WP_136798339.1, WP_136796441.1
OG0000000	Desulfocapsa_06_corrosive	WP_010941027.1	Utg323140_222, Utg323392_13
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010941027.1	WP_015404190.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_010941027.1	WP_205218473.1, WP_240192009.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010941027.1	WP_136797028.1, WP_136799931.1, WP_136795637.1, WP_136796984.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010941027.1	WP_136810261.1, WP_136810305.1, WP_136810299.1, WP_136809765.1, WP_167506066.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010941027.1	WP_010940219.1, WP_011792079.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010941027.1	WP_126377754.1, WP_126380558.1
OG0000000	Desulfocapsa_13_biocide	WP_010941027.1	Utg859098_426
OG0000000	Desulfotalea psychrophila LSv54	WP_010941027.1	WP_011187582.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_010943112.1, WP_232008971.1	WP_012537338.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010943112.1, WP_232008971.1	WP_172961667.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010943112.1, WP_232008971.1	WP_011791966.1, WP_011793108.1
OG0000000	Desulfocapsa_13_biocide	WP_010943112.1, WP_232008971.1	Utg859750_35
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010943112.1, WP_232008971.1	WP_228130058.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010943112.1, WP_232008971.1	WP_136810094.1, WP_136807718.1, WP_136805463.1
OG0000000	Desulfocapsa_06_corrosive	WP_010943112.1, WP_232008971.1	Utg323180_69
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010943112.1, WP_232008971.1	WP_136796539.1
OG0000000	Desulfotalea psychrophila LSv54	WP_010943112.1, WP_232008971.1	WP_011188526.1
OG0000000	Shewanella oneidensis MR-1	WP_010943974.1	WP_011072957.1, WP_011073458.1
