Orthogroup	Desulfocapsa_06_corrosive	Geobacter sulfurreducens PCA
OG0000000	Utg323632_218	WP_010941477.1
OG0000000	Utg323180_444, Utg323262_151, Utg323180_138	WP_010943217.1
OG0000000	Utg323990_62	WP_010942684.1
OG0000000	Utg323074_126	WP_010942141.1
OG0000000	Utg323180_238, Utg323316_173	WP_164930426.1
OG0000000	Utg323140_46	WP_010942633.1
OG0000000	Utg323152_286, Utg323632_278, Utg323152_278	WP_010943144.1, WP_010941701.1
OG0000000	Utg323140_222, Utg323392_13	WP_010941027.1
OG0000000	Utg323180_69	WP_010943112.1, WP_232008971.1
OG0000000	Utg323262_120	WP_010943974.1
OG0000000	Utg323152_412	WP_010941040.1, WP_010941138.1
OG0000001	Utg323180_225	WP_010942201.1
OG0000001	Utg323180_136	WP_010942515.1, WP_235044972.1
OG0000001	Utg323300_105, Utg324810_63	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1
OG0000001	Utg323180_418, Utg323074_106	WP_010941620.1
OG0000001	Utg323180_183	WP_010943599.1, WP_010942049.1
OG0000002	Utg323632_46	WP_010943324.1, WP_010943450.1, WP_010943451.1
OG0000002	Utg323300_181	WP_010940689.1
OG0000004	Utg323316_191, Utg323152_14	WP_010941506.1
OG0000004	Utg323300_14	WP_010942299.1, WP_081461260.1, WP_235044997.1
OG0000005	Utg323300_198	WP_010941920.1
OG0000005	Utg323140_36, Utg323632_133, Utg323262_94, Utg323392_93	WP_010943211.1, WP_010941570.1
OG0000005	Utg323300_274, Utg323392_174	WP_235044858.1
OG0000006	Utg323392_94	WP_235044977.1, WP_010942572.1
OG0000006	Utg323160_106	WP_010942659.1, WP_010942687.1, WP_010943149.1, WP_010941142.1, WP_010941614.1, WP_010941205.1
OG0000006	Utg323392_72	WP_010943170.1
OG0000007	Utg323632_239	WP_010942419.1
OG0000007	Utg323180_86	WP_010941916.1
OG0000007	Utg323632_51	WP_010942909.1
OG0000007	Utg323152_106	WP_010943050.1
OG0000007	Utg323262_116	WP_010941823.1, WP_010942828.1
OG0000007	Utg323316_118	WP_010941338.1
OG0000007	Utg323180_130	WP_010941994.1
OG0000007	Utg323632_81	WP_010941164.1
OG0000008	Utg323632_80	WP_010941163.1
OG0000008	Utg323160_91, Utg323262_89	WP_010941060.1
OG0000008	Utg323300_399	WP_010943303.1
OG0000009	Utg323990_129	WP_010942536.1
OG0000009	Utg323632_134, Utg323140_138, Utg323392_3	WP_010943210.1
OG0000009	Utg323180_612	WP_010941672.1
OG0000009	Utg323152_586	WP_010942117.1
OG0000010	Utg323316_272, Utg323316_267, Utg323316_264	WP_010942493.1
