Orthogroup	Geobacter sulfurreducens PCA	Desulfotalea psychrophila LSv54
OG0000000	WP_010941477.1	WP_011190064.1
OG0000000	WP_010942141.1	WP_011189962.1
OG0000000	WP_010941631.1	WP_011187715.1
OG0000000	WP_010942633.1	WP_011188283.1
OG0000000	WP_010941027.1	WP_011187582.1
OG0000000	WP_010943112.1, WP_232008971.1	WP_011188526.1
OG0000001	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_011187505.1
OG0000001	WP_010941620.1, WP_010943599.1, WP_010942049.1	WP_049785109.1
OG0000001	WP_238525143.1	WP_011187493.1
OG0000001	WP_010941210.1	WP_011189550.1
OG0000002	WP_010943324.1, WP_010943450.1, WP_010943451.1	WP_011188785.1
OG0000002	WP_010943582.1	WP_011188604.1
OG0000002	WP_165443456.1	WP_011188232.1
OG0000005	WP_010941940.1, WP_010941379.1, WP_010941920.1	WP_011189533.1, WP_011188126.1
OG0000007	WP_010942419.1	WP_011189794.1
OG0000007	WP_010942909.1	WP_011188868.1
OG0000007	WP_010941338.1	WP_011188995.1
OG0000007	WP_010941994.1	WP_011187745.1
OG0000008	WP_010943408.1	WP_049785079.1
OG0000008	WP_010943335.1	WP_049785046.1
OG0000009	WP_010943210.1	WP_011188127.1, WP_049785091.1
OG0000009	WP_010943260.1, WP_010942584.1	WP_156792224.1
OG0000009	WP_010942298.1	WP_011189354.1
OG0000012	WP_010941439.1, WP_010941262.1, WP_010941254.1, WP_144011898.1, WP_010941041.1, WP_010941630.1	WP_011188284.1
OG0000013	WP_010941970.1, WP_010941778.1	WP_011188729.1, WP_011188732.1
OG0000014	WP_010941119.1, WP_010943578.1	WP_083818925.1
OG0000015	WP_010943443.1	WP_041277718.1
OG0000015	WP_010943159.1	WP_228130190.1
OG0000015	WP_010940939.1, WP_010943414.1	WP_011187538.1
OG0000016	WP_010941071.1	WP_011189892.1
OG0000016	WP_010942859.1, WP_010942689.1	WP_049785056.1
OG0000017	WP_010942680.1	WP_011188709.1, WP_011188698.1
OG0000018	WP_010944069.1	WP_011187258.1
OG0000019	WP_010941763.1	WP_011189126.1
OG0000020	WP_010943745.1	WP_011189009.1, WP_011190228.1
OG0000021	WP_010943261.1	WP_011187395.1
OG0000022	WP_010942550.1, WP_010941573.1, WP_010941244.1, WP_010940866.1, WP_010940882.1	WP_011189113.1, WP_011188176.1, WP_011188178.1, WP_011187607.1, WP_011188203.1, WP_011189441.1
OG0000023	WP_010941206.1	WP_041277852.1
OG0000024	WP_010940864.1	WP_011189217.1
OG0000026	WP_010943263.1, WP_010941067.1	WP_041278328.1, WP_041277628.1
OG0000027	WP_010941441.1	WP_011189010.1, WP_011190227.1
OG0000027	WP_010941177.1	WP_011187927.1
OG0000028	WP_010941609.1	WP_041277631.1, WP_162096634.1
OG0000030	WP_010943289.1	WP_011188233.1, WP_011187333.1
OG0000033	WP_010943225.1	WP_041277486.1
OG0000033	WP_010941969.1	WP_011187749.1
OG0000034	WP_010943409.1	WP_011189363.1
OG0000034	WP_010943334.1	WP_011188938.1
OG0000038	WP_010940700.1	WP_083818947.1
OG0000038	WP_010943808.1	WP_011189861.1
OG0000038	WP_010941445.1, WP_010941452.1	WP_011189862.1
OG0000040	WP_010942495.1	WP_011187264.1, WP_041277819.1
OG0000041	WP_153304094.1	WP_011188937.1
OG0000042	WP_010941591.1	WP_011187375.1
OG0000042	WP_010942434.1	WP_011189777.1
OG0000043	WP_010941851.1, WP_010942192.1	WP_228130175.1
OG0000045	WP_010942993.1, WP_010942278.1, WP_010942368.1	WP_011190203.1
OG0000045	WP_010942204.1	WP_011188148.1
OG0000047	WP_262421271.1	WP_011190450.1
OG0000048	WP_010942268.1	WP_011188265.1
OG0000049	WP_010941476.1, WP_010941028.1	WP_049785016.1
OG0000050	WP_010940875.1	WP_041278771.1
OG0000051	WP_010940766.1	WP_011188254.1
OG0000054	WP_010942040.1	WP_265588549.1
OG0000054	WP_010940843.1	WP_041278585.1, WP_011189292.1
OG0000055	WP_010942902.1	WP_011189432.1
OG0000057	WP_010943773.1	WP_011189027.1
OG0000058	WP_010942454.1	WP_011190338.1
OG0000060	WP_041913993.1	WP_011187768.1
OG0000060	WP_010942427.1	WP_011189467.1
OG0000061	WP_010942269.1	WP_011188264.1
OG0000061	WP_010943909.1	WP_011189049.1
OG0000062	WP_010942081.1	WP_011188420.1, WP_041277693.1, WP_011187393.1
OG0000063	WP_010942168.1, WP_010942767.1	WP_011190024.1
OG0000064	WP_010941276.1	WP_011188922.1
OG0000064	WP_010943894.1	WP_011190321.1
OG0000065	WP_010942732.1	WP_041277642.1
OG0000067	WP_010942082.1	WP_011187394.1, WP_011188448.1
OG0000071	WP_010942652.1	WP_041277992.1
OG0000071	WP_010942375.1	WP_011188512.1
OG0000072	WP_010942376.1	WP_011188511.1
OG0000072	WP_010944003.1	WP_011189728.1
OG0000074	WP_010940892.1	WP_011187327.1, WP_011188124.1
OG0000075	WP_010941466.1	WP_041277654.1
OG0000076	WP_010942860.1, WP_010942858.1	WP_011189884.1
OG0000079	WP_010942999.1	WP_041278114.1
OG0000080	WP_010940950.1	WP_011187758.1, WP_011189349.1
OG0000081	WP_010940930.1	WP_011189028.1
OG0000082	WP_010941678.1, WP_010943655.1	WP_011189907.1
OG0000084	WP_010943981.1	WP_011189588.1, WP_049785027.1, WP_011188741.1
OG0000085	WP_010940999.1, WP_010940757.1	WP_011188000.1
OG0000087	WP_010942653.1	WP_041278432.1, WP_011190071.1
OG0000088	WP_010940968.1, WP_010942862.1, WP_010943817.1	WP_041278034.1
OG0000091	WP_010941129.1	WP_011189088.1
OG0000092	WP_010941590.1	WP_011189765.1
OG0000093	WP_010941779.1	WP_011187627.1, WP_041277722.1
OG0000095	WP_010940777.1	WP_011187326.1
OG0000095	WP_010942900.1	WP_011189875.1
OG0000096	WP_010941484.1, WP_010941769.1	WP_041277947.1, WP_011189156.1
OG0000097	WP_010941879.1	WP_011190072.1, WP_011189603.1
OG0000098	WP_010942377.1	WP_011188510.1
OG0000098	WP_010942650.1	WP_011189729.1
OG0000101	WP_010943782.1, WP_010943090.1	WP_011188468.1, WP_011187560.1
OG0000102	WP_010941577.1, WP_010941893.1	WP_041277775.1
OG0000102	WP_010941507.1	WP_011187795.1, WP_011190131.1
