Orthogroup	Shewanella oneidensis MR-1	Desulfocapsa sulfexigens DSM 10523
OG0000000	WP_011074304.1	WP_015404870.1, WP_015402904.1
OG0000000	WP_011072957.1	WP_015402874.1
OG0000000	WP_011073458.1	WP_052326964.1
OG0000001	WP_011074067.1	WP_015402638.1
OG0000001	WP_011071093.1	WP_015403644.1
OG0000001	WP_011070909.1	WP_015402385.1
OG0000001	WP_011071801.1	WP_015405261.1
OG0000001	WP_164925657.1, WP_011073617.1	WP_015402591.1
OG0000001	WP_011071723.1	WP_015402480.1
OG0000002	WP_011071850.1	WP_015403655.1
OG0000002	WP_011071300.1	WP_041916771.1, WP_153304957.1
OG0000003	WP_011074095.1	WP_015403648.1
OG0000004	WP_011073049.1, WP_011073640.1	WP_015402639.1, WP_015405091.1, WP_015404335.1, WP_015403645.1, WP_015403269.1, WP_015403586.1, WP_015402402.1, WP_015403270.1, WP_015405428.1, WP_015403551.1, WP_015403268.1, WP_015405656.1, WP_015405739.1, WP_015402401.1, WP_015402421.1, WP_052326944.1, WP_015403175.1, WP_015402868.1, WP_015402970.1, WP_015403250.1
OG0000005	WP_011071458.1	WP_015404965.1
OG0000005	WP_164925775.1	WP_015405658.1
OG0000006	WP_011072409.1	WP_015403820.1
OG0000006	WP_011070785.1, WP_011070706.1, WP_011072981.1	WP_015404882.1
OG0000006	WP_011073256.1	WP_015405458.1
OG0000006	WP_011072240.1, WP_011071683.1, WP_011070544.1	WP_015403650.1
OG0000007	WP_011074183.1	WP_015405611.1
OG0000007	WP_164925702.1	WP_015405734.1
OG0000007	WP_011072831.1	WP_041916547.1
OG0000007	WP_011073487.1	WP_015404400.1
OG0000008	WP_011072998.1	WP_015403337.1
OG0000008	WP_011073161.1	WP_015405644.1
OG0000008	WP_011072024.1	WP_015403510.1
OG0000008	WP_011073334.1	WP_015404768.1
OG0000009	WP_011071150.1, WP_011073726.1	WP_015405657.1
OG0000009	WP_011071594.1	WP_015405427.1
OG0000011	WP_011073029.1	WP_015403675.1
OG0000012	WP_011073115.1	WP_015403532.1
OG0000012	WP_011074303.1	WP_015403471.1
OG0000013	WP_011073862.1	WP_015402979.1
OG0000013	WP_011073853.1, WP_011071620.1	WP_015404369.1
OG0000014	WP_011074106.1	WP_015403048.1
OG0000014	WP_011074069.1	WP_015403432.1
OG0000015	WP_011072514.1	WP_015404994.1, WP_015405754.1
OG0000016	WP_011072497.1	WP_015403249.1
OG0000017	WP_011071143.1	WP_015404508.1
OG0000018	WP_011073068.1	WP_015405040.1, WP_015405587.1, WP_015404684.1, WP_228130074.1, WP_015404241.1
OG0000019	WP_011071727.1	WP_015403161.1
OG0000019	WP_011074105.1	WP_015403047.1
OG0000020	WP_011070833.1	WP_015405231.1, WP_015404437.1, WP_015405244.1
OG0000020	WP_011074129.1, WP_011074133.1	WP_015403536.1
OG0000021	WP_011071923.1	WP_015405210.1
OG0000022	WP_011071803.1, WP_011072720.1	WP_015402646.1, WP_015405396.1
OG0000024	WP_011073749.1	WP_015405350.1
OG0000024	WP_011073558.1	WP_015403732.1
OG0000026	WP_011070872.1	WP_015402804.1
OG0000026	WP_006084975.1, WP_011070442.1	WP_015403942.1
OG0000027	WP_011071257.1	WP_265588650.1, WP_228130054.1
OG0000030	WP_011071301.1	WP_015403340.1, WP_228130041.1
OG0000032	WP_011073713.1, WP_011070716.1	WP_015403801.1
OG0000032	WP_011074076.1	WP_015403541.1
OG0000033	WP_011074290.1	WP_015403598.1
OG0000034	WP_011073333.1	WP_015404767.1
OG0000034	WP_011072022.1	WP_015403456.1
OG0000035	WP_011074169.1, WP_011070429.1	WP_015402576.1, WP_015404344.1, WP_015403874.1, WP_015403839.1
OG0000037	WP_238560573.1	WP_015404949.1, WP_015404462.1
OG0000038	WP_011073885.1, WP_011073886.1	WP_015404535.1, WP_015402313.1, WP_015402314.1
OG0000040	WP_011071891.1, WP_011073960.1	WP_015403788.1, WP_015404594.1
OG0000042	WP_011071918.1	WP_015404992.1
OG0000043	WP_011073456.1	WP_015402371.1, WP_015402367.1
OG0000044	WP_011070883.1	WP_015404161.1
OG0000045	WP_011070924.1	WP_015402866.1, WP_015402879.1
OG0000045	WP_011071240.1	WP_015404579.1
OG0000045	WP_011073210.1	WP_228130035.1
OG0000047	WP_164925892.1	WP_015405593.1, WP_015404707.1
OG0000049	WP_011073706.1, WP_011073980.1, WP_164925751.1, WP_011073209.1	WP_015404873.1
OG0000049	WP_011072693.1, WP_238560579.1, WP_011073580.1	WP_015402942.1
OG0000052	WP_011074450.1, WP_011071675.1	WP_015405485.1
OG0000053	WP_164925924.1	WP_015404739.1
