HOG	OG	Gene Tree Parent Clade	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
N1.HOG0000000	OG0000000	n2	WP_009566311.1											
N1.HOG0000001	OG0000000	n14												WP_011073030.1
N1.HOG0000002	OG0000000	n21												WP_011074304.1
N1.HOG0000003	OG0000000	n92	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1											WP_011074101.1
N1.HOG0000004	OG0000000	n140												WP_011073116.1
N1.HOG0000005	OG0000000	n187	WP_012536296.1											
N1.HOG0000006	OG0000000	n190	WP_012537338.1											
N1.HOG0000007	OG0000000	n204	WP_009560941.1, WP_009567366.1											
N1.HOG0000008	OG0000000	n227												WP_011071819.1
N1.HOG0000009	OG0000000	n229	WP_012606622.1											WP_011074107.1
N1.HOG0000010	OG0000000	n235												WP_011072957.1
N1.HOG0000011	OG0000000	n242												WP_011073458.1
N1.HOG0000012	OG0000000	n248												WP_011073114.1, WP_011073484.1
N1.HOG0000013	OG0000001	n8												WP_011074067.1
N1.HOG0000014	OG0000001	n13												WP_011073330.1
N1.HOG0000015	OG0000001	n28												WP_011071093.1
N1.HOG0000016	OG0000001	n43												WP_011070909.1
N1.HOG0000017	OG0000001	n49												WP_011071801.1
N1.HOG0000018	OG0000001	n53												WP_011072190.1
N1.HOG0000019	OG0000001	n84												WP_164925657.1, WP_011073617.1
N1.HOG0000020	OG0000001	n99												WP_011074055.1, WP_011071208.1
N1.HOG0000021	OG0000001	n101												WP_011073204.1
N1.HOG0000022	OG0000001	n112												WP_011073890.1
N1.HOG0000023	OG0000001	n117												WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1
N1.HOG0000024	OG0000001	n126												WP_011071723.1
N1.HOG0000025	OG0000001	n139												WP_011073385.1
N1.HOG0000026	OG0000001	n141												WP_011073536.1, WP_011072697.1
N1.HOG0000027	OG0000001	n146												WP_011071311.1
N1.HOG0000028	OG0000002	n3	WP_225487194.1											WP_011070486.1
N1.HOG0000029	OG0000002	n13	WP_009563459.1											WP_011071881.1, WP_011073574.1
N1.HOG0000030	OG0000002	n18	WP_012537438.1											WP_011071850.1
N1.HOG0000031	OG0000002	n29	WP_012537671.1											
N1.HOG0000032	OG0000002	n34												WP_011071977.1, WP_011070837.1
N1.HOG0000033	OG0000002	n45	WP_009567471.1											WP_011074078.1
N1.HOG0000034	OG0000002	n53												WP_011071490.1
N1.HOG0000035	OG0000002	n64												WP_011073420.1, WP_011074249.1
N1.HOG0000036	OG0000002	n68												WP_011071049.1
N1.HOG0000037	OG0000002	n85												WP_011071300.1
N1.HOG0000038	OG0000003	n5												WP_011072148.1, WP_011072951.1, WP_011073602.1, WP_011070920.1, WP_011073263.1, WP_011071593.1
N1.HOG0000039	OG0000003	n11												WP_011073445.1, WP_011073402.1, WP_011071312.1, WP_011074163.1, WP_011071497.1, WP_011074086.1, WP_011072257.1, WP_011071256.1, WP_011073766.1
N1.HOG0000040	OG0000003	n21												WP_011074416.1, WP_011071635.1
N1.HOG0000041	OG0000003	n24												WP_274544340.1
N1.HOG0000042	OG0000003	n92												WP_011071377.1, WP_274544446.1, WP_274544478.1
N1.HOG0000043	OG0000003	n95												WP_011073164.1
N1.HOG0000044	OG0000003	n103												WP_011074095.1
N1.HOG0000045	OG0000003	n122												WP_011072186.1
N1.HOG0000046	OG0000003	n123												WP_011074229.1
N1.HOG0000047	OG0000004	n0												WP_011073049.1, WP_011073640.1
N1.HOG0000048	OG0000005	n45												WP_011072501.1
N1.HOG0000049	OG0000005	n59												WP_011071458.1
N1.HOG0000050	OG0000005	n74												WP_011073304.1, WP_011074077.1
N1.HOG0000051	OG0000005	n79												WP_011071149.1
N1.HOG0000052	OG0000005	n81												WP_164925775.1
N1.HOG0000053	OG0000006	n1	WP_229129724.1, WP_230456343.1											WP_011070957.1, WP_011070793.1
N1.HOG0000054	OG0000006	n6												WP_011071478.1
N1.HOG0000055	OG0000006	n9												WP_011074159.1, WP_274544485.1
N1.HOG0000056	OG0000006	n12												WP_011072463.1, WP_011072496.1, WP_011073589.1, WP_011073842.1, WP_238560533.1, WP_011070885.1
N1.HOG0000057	OG0000006	n24												WP_011073983.1
N1.HOG0000058	OG0000006	n59												WP_011071438.1
N1.HOG0000059	OG0000006	n62												WP_011072409.1
N1.HOG0000060	OG0000006	n77												WP_011070785.1, WP_011070706.1, WP_011072981.1
N1.HOG0000061	OG0000006	n83												WP_011073256.1
N1.HOG0000062	OG0000006	n87												WP_238560531.1, WP_011072240.1, WP_011071683.1, WP_011070544.1
N1.HOG0000063	OG0000007	n1	WP_009568266.1											WP_011074183.1
N1.HOG0000064	OG0000007	n23	WP_009566877.1											WP_164925702.1
N1.HOG0000065	OG0000007	n35												WP_011072831.1
N1.HOG0000066	OG0000007	n42	WP_012606613.1											WP_011071147.1
N1.HOG0000067	OG0000007	n56	WP_012535788.1											
N1.HOG0000068	OG0000007	n60												WP_011073487.1
N1.HOG0000069	OG0000008	n4												WP_011071114.1
N1.HOG0000070	OG0000008	n13	WP_012537153.1											WP_011072998.1
N1.HOG0000071	OG0000008	n24												WP_011073161.1
N1.HOG0000072	OG0000008	n26	WP_012536928.1											
N1.HOG0000073	OG0000008	n31	WP_012536818.1, WP_012535792.1											WP_011073986.1
N1.HOG0000074	OG0000008	n33												WP_011073326.1, WP_011071990.1
N1.HOG0000075	OG0000008	n36	WP_009566498.1											WP_011072024.1
N1.HOG0000076	OG0000008	n46	WP_012536971.1, WP_009566514.1											
N1.HOG0000077	OG0000008	n49												WP_011073334.1
N1.HOG0000078	OG0000008	n55												WP_011074282.1
