Orthogroup	Desulfosediminicola flagellatus IMCC35005	Desulfovibrio vulgaris DP4
OG0000000	WP_136805244.1	WP_011791609.1
OG0000000	WP_136806168.1	WP_010938245.1, WP_011792839.1
OG0000000	WP_167505846.1	WP_011791354.1
OG0000000	WP_136806855.1	WP_011793126.1
OG0000000	WP_136809847.1	WP_011791385.1
OG0000000	WP_136808232.1, WP_217909566.1	WP_011791326.1
OG0000000	WP_136806271.1	WP_010938712.1, WP_011791434.1
OG0000000	WP_136807046.1, WP_136810243.1	WP_010938045.1
OG0000000	WP_136810261.1, WP_136810305.1, WP_136810299.1	WP_010940219.1
OG0000000	WP_136809765.1, WP_167506066.1	WP_011792079.1
OG0000000	WP_136808675.1, WP_136810094.1, WP_136807718.1, WP_136805463.1	WP_011791966.1, WP_011793108.1
OG0000000	WP_136806758.1	WP_010940215.1
OG0000000	WP_217909594.1, WP_167505720.1, WP_136809225.1	WP_011791645.1
OG0000000	WP_136805595.1	WP_043629547.1
OG0000000	WP_275942845.1	WP_011791917.1
OG0000000	WP_136808658.1	WP_010937429.1
OG0000000	WP_136805922.1	WP_011792072.1
OG0000001	WP_136806607.1	WP_010937723.1
OG0000001	WP_136805177.1	WP_010938239.1, WP_011791528.1, WP_011791603.1
OG0000001	WP_136810389.1	WP_043629533.1, WP_010937422.1, WP_010939946.1
OG0000001	WP_136809108.1	WP_011791763.1
OG0000001	WP_136809201.1, WP_136809645.1	WP_223294637.1
OG0000001	WP_136807061.1	WP_010939074.1
OG0000001	WP_136807017.1	WP_010940213.1, WP_010938064.1
OG0000001	WP_136806467.1	WP_011792985.1
OG0000002	WP_136806603.1, WP_136807752.1	WP_011791473.1
OG0000002	WP_136805570.1	WP_011793015.1
OG0000002	WP_275942839.1	WP_181409382.1
OG0000002	WP_136810386.1	WP_010938054.1
OG0000002	WP_217909654.1, WP_136806069.1	WP_181409370.1
OG0000002	WP_136807684.1, WP_136810832.1, WP_136805614.1	WP_181409380.1
OG0000002	WP_136808992.1	WP_010939222.1
OG0000003	WP_136810764.1	WP_011793047.1
OG0000004	WP_136809328.1, WP_136805168.1, WP_167505721.1, WP_136809428.1	WP_011791556.1
OG0000005	WP_136806188.1, WP_136810073.1	WP_223294572.1
OG0000005	WP_167505954.1	WP_223294640.1
OG0000005	WP_136806805.1	WP_011791751.1, WP_011791759.1
OG0000005	WP_167505797.1, WP_167505775.1, WP_136808058.1, WP_136809942.1, WP_136807023.1, WP_228723321.1, WP_136810234.1, WP_136807296.1, WP_136805496.1, WP_136806590.1	WP_011791532.1
