Orthogroup	Shewanella oneidensis MR-1	Acidithiobacillus ferrooxidans YNTRS-40
OG0000000	WP_011074101.1	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1
OG0000000	WP_011074107.1	WP_012606622.1
OG0000001	WP_011074067.1, WP_011073330.1, WP_011071093.1, WP_011070909.1, WP_011071801.1, WP_011072190.1, WP_164925657.1, WP_011073617.1, WP_011071842.1, WP_011074055.1, WP_011071208.1, WP_011073204.1, WP_011073890.1, WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1, WP_011071723.1, WP_011073385.1, WP_011073536.1, WP_011072697.1, WP_011071311.1	WP_049756718.1
OG0000002	WP_011070486.1	WP_225487194.1
OG0000002	WP_011073574.1	WP_009563459.1
OG0000002	WP_011071850.1	WP_012537438.1
OG0000002	WP_011074078.1	WP_009567471.1
OG0000006	WP_011070957.1, WP_011070793.1	WP_229129724.1, WP_230456343.1
OG0000007	WP_011074183.1	WP_009568266.1
OG0000007	WP_164925702.1	WP_009566877.1
OG0000007	WP_011071147.1	WP_012606613.1
OG0000008	WP_011072998.1	WP_012537153.1
OG0000008	WP_011073986.1	WP_012536818.1, WP_012535792.1
OG0000008	WP_011072024.1	WP_009566498.1
OG0000008	WP_011073334.1, WP_011074282.1	WP_012536971.1, WP_009566514.1
OG0000010	WP_011073061.1	WP_009563479.1
OG0000012	WP_011074100.1	WP_012537465.1
OG0000012	WP_011074303.1	WP_233459585.1
OG0000013	WP_011073862.1	WP_049756730.1
OG0000014	WP_011074106.1, WP_011073413.1, WP_011074228.1	WP_012607383.1, WP_009567373.1, WP_012535790.1
OG0000014	WP_011074069.1, WP_011072169.1, WP_202950644.1, WP_011070474.1	WP_012536921.1
OG0000015	WP_011072514.1	WP_009564938.1
OG0000015	WP_011073534.1	WP_012537015.1, WP_233459575.1
OG0000015	WP_011071111.1	WP_012535969.1
OG0000017	WP_011071143.1	WP_012536473.1
OG0000017	WP_011070777.1, WP_011071144.1, WP_011073357.1	WP_012536124.1
OG0000018	WP_011073068.1	WP_012536801.1
OG0000019	WP_011071727.1	WP_012536513.1
OG0000019	WP_011074227.1	WP_012535791.1, WP_012537688.1
OG0000019	WP_011071456.1, WP_007644695.1	WP_009566809.1
OG0000020	WP_011070833.1	WP_012537033.1
OG0000021	WP_011071922.1	WP_012537525.1
