Orthogroup	Species	Desulfosediminicola ganghwensis IMCC35004	Orthologs
OG0000000	Geobacter sulfurreducens PCA	WP_136797951.1	WP_010941477.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_136797951.1	WP_009566311.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136797951.1	WP_011791609.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_136797951.1	WP_126376458.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_136797951.1	WP_205218903.1
OG0000000	Desulfotalea psychrophila LSv54	WP_136797951.1	WP_011190064.1
OG0000000	Desulfocapsa_13_biocide	WP_136797951.1	Utg858432_110
OG0000000	Desulfocapsa_06_corrosive	WP_136797951.1	Utg323632_218
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136797951.1	WP_015405628.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136797951.1	WP_136805244.1
OG0000000	Geobacter sulfurreducens PCA	WP_228721414.1, WP_136796704.1, WP_136798610.1, WP_136798351.1	WP_010943217.1
OG0000000	Desulfocapsa_13_biocide	WP_228721414.1, WP_136796704.1	Utg860814_23
OG0000000	Desulfocapsa_06_corrosive	WP_228721414.1, WP_136796704.1	Utg323180_444
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_228721414.1, WP_136796704.1	WP_275888964.1
OG0000000	Shewanella oneidensis MR-1	WP_228721414.1, WP_136796704.1	WP_011073030.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_228721414.1	WP_136809874.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136796704.1	WP_136808305.1
OG0000000	Shewanella oneidensis MR-1	WP_136798610.1, WP_136798351.1	WP_011074304.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136798610.1	WP_136806168.1
OG0000000	Desulfocapsa_13_biocide	WP_136798610.1	Utg859236_95
OG0000000	Desulfocapsa_06_corrosive	WP_136798610.1	Utg323262_151
OG0000000	Desulfovibrio ferrophilus IS5	WP_136798610.1	WP_126379949.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136798610.1	WP_010938245.1, WP_011792839.1
