Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfotalea psychrophila LSv54
OG0000000	WP_009566311.1	WP_011190064.1
OG0000000	WP_012537338.1	WP_011188526.1
OG0000001	WP_049756718.1	WP_011188793.1, WP_011187475.1, WP_011189956.1, WP_011187505.1, WP_041277893.1, WP_011188215.1, WP_011189761.1, WP_011189031.1, WP_011187559.1, WP_011189221.1, WP_049785109.1, WP_041277878.1, WP_011187493.1, WP_011189550.1
OG0000002	WP_012537438.1	WP_011188785.1
OG0000002	WP_009567471.1	WP_041277525.1
OG0000007	WP_009568266.1	WP_011189794.1
OG0000007	WP_009566877.1	WP_011188868.1
OG0000008	WP_012536818.1, WP_012535792.1	WP_049785079.1
OG0000008	WP_012536971.1, WP_009566514.1	WP_049785046.1
OG0000010	WP_009563479.1	WP_011187276.1
OG0000012	WP_233459585.1	WP_011188284.1
OG0000014	WP_012536921.1	WP_083818925.1
OG0000015	WP_009564938.1	WP_041277718.1
OG0000017	WP_012536473.1	WP_011188709.1, WP_011188698.1
OG0000017	WP_012536124.1	WP_011188693.1
OG0000018	WP_012536801.1	WP_011189821.1
OG0000019	WP_012536513.1	WP_011189126.1
OG0000021	WP_012537526.1	WP_011188419.1
OG0000022	WP_009564993.1	WP_011189113.1, WP_011188176.1, WP_011188178.1, WP_011187607.1, WP_011188203.1, WP_011189441.1, WP_011187482.1
OG0000023	WP_009567699.1	WP_041277852.1
OG0000024	WP_012536221.1	WP_011188931.1
OG0000024	WP_012536512.1	WP_011188654.1, WP_011188179.1
OG0000026	WP_012536917.1, WP_012537155.1	WP_041278328.1
OG0000026	WP_012537308.1, WP_054608741.1	WP_041277628.1
OG0000027	WP_012536289.1, WP_012536670.1	WP_011189010.1, WP_011190227.1
OG0000029	WP_012537258.1	WP_011189114.1
OG0000029	WP_012536184.1	WP_265588603.1, WP_049785031.1
OG0000030	WP_012536529.1	WP_011188233.1, WP_011187333.1, WP_011189224.1, WP_011188801.1, WP_041277653.1
OG0000031	WP_054608952.1	WP_041277675.1, WP_011188253.1
OG0000033	WP_009565875.1	WP_041277486.1
OG0000033	WP_012536110.1	WP_011187749.1
OG0000034	WP_012536817.1, WP_012535793.1	WP_011189363.1
OG0000034	WP_012536972.1, WP_009566515.1	WP_011188938.1
OG0000037	WP_111122549.1	WP_228130148.1, WP_011190364.1
OG0000038	WP_012537610.1, WP_009566921.1, WP_009566923.1	WP_083818947.1, WP_011189861.1, WP_011189862.1
OG0000039	WP_051984662.1, WP_180830451.1	WP_011188738.1
OG0000041	WP_009564623.1, WP_009565495.1	WP_011188937.1, WP_011189362.1, WP_011190076.1, WP_041277450.1
OG0000042	WP_012536408.1	WP_011187375.1
OG0000042	WP_012536431.1	WP_011189777.1
OG0000047	WP_257246645.1, WP_225487355.1, WP_252725196.1	WP_011187275.1, WP_011190450.1
OG0000048	WP_012536680.1	WP_011188265.1
OG0000048	WP_009566815.1	WP_041277948.1
OG0000049	WP_009567000.1, WP_009567335.1	WP_011187473.1, WP_049785016.1
OG0000050	WP_012536375.1	WP_011188967.1
OG0000050	WP_012536348.1	WP_041278771.1
OG0000050	WP_012536374.1	WP_011189772.1, WP_041277820.1, WP_011190307.1
OG0000054	WP_009567105.1	WP_228130174.1, WP_011188415.1, WP_011187605.1
OG0000054	WP_012537181.1	WP_265588549.1
OG0000054	WP_009566294.1	WP_041278585.1, WP_011189292.1
OG0000055	WP_012536534.1	WP_011189432.1
OG0000058	WP_009564125.1	WP_011190338.1
OG0000059	WP_012535998.1, WP_012535759.1	WP_011187400.1
OG0000061	WP_012536678.1	WP_011188264.1
OG0000062	WP_012537528.1	WP_011188420.1, WP_041277693.1
OG0000063	WP_009560828.1, WP_151528215.1, WP_180830446.1, WP_151528213.1, WP_054608640.1, WP_257257267.1, WP_054608824.1, WP_012537288.1	WP_011190024.1
OG0000064	WP_009566490.1	WP_011188922.1
OG0000065	WP_012536434.1	WP_041277642.1
OG0000068	WP_054608827.1	WP_011188845.1
OG0000069	WP_009567370.1	WP_041278071.1
OG0000079	WP_012536378.1, WP_229129778.1, WP_012536377.1	WP_041278114.1
OG0000085	WP_054609046.1, WP_012537430.1, WP_230456338.1	WP_011188000.1
OG0000086	WP_054608841.1	WP_011188968.1, WP_041277821.1, WP_228130156.1, WP_011187364.1
OG0000091	WP_012536362.1	WP_011189088.1
OG0000091	WP_009561353.1	WP_265588615.1
OG0000093	WP_009564668.1	WP_011187627.1, WP_041277722.1
OG0000095	WP_226834132.1	WP_011187326.1
OG0000095	WP_012536481.1	WP_011189875.1
OG0000097	WP_012607461.1	WP_011190072.1, WP_011189603.1
OG0000101	WP_009560846.1, WP_012537491.1	WP_011188468.1, WP_011187560.1
OG0000102	WP_009568931.1	WP_041277775.1
OG0000103	WP_009566205.1, WP_054608900.1, WP_009567505.1	WP_041277624.1, WP_011187572.1
OG0000105	WP_012536834.1	WP_011190029.1
OG0000106	WP_012536953.1	WP_011190231.1, WP_011189715.1, WP_011188105.1
OG0000107	WP_012537062.1	WP_011189658.1
OG0000112	WP_009567621.1	WP_011188067.1, WP_041277874.1
OG0000116	WP_225487351.1	WP_011187877.1
OG0000117	WP_012536516.1, WP_012536851.1	WP_011188472.1
