Orthogroup	Desulfotalea psychrophila LSv54	Desulfocapsa_13_biocide
OG0000000	WP_011190064.1	Utg858432_110
OG0000000	WP_011189962.1	Utg857994_144
OG0000000	WP_156792258.1	Utg859098_309
OG0000000	WP_011188283.1	Utg864866_108
OG0000000	WP_011187621.1	Utg864866_50
OG0000000	WP_041277753.1	Utg858432_5
OG0000000	WP_041278710.1	Utg860006_129
OG0000000	WP_011187582.1	Utg859098_426
OG0000000	WP_011188526.1	Utg859750_35
OG0000000	WP_049785130.1, WP_011187784.1	Utg860006_108, Utg857046_247, Utg859982_65
OG0000001	WP_011188793.1, WP_011187475.1	Utg863716_50
OG0000001	WP_011189956.1	Utg861448_49
OG0000001	WP_011187505.1	Utg857300_46
OG0000001	WP_011189031.1	Utg859236_118
OG0000001	WP_011187559.1	Utg859432_61
OG0000001	WP_011187493.1	Utg857994_39
OG0000002	WP_041277844.1	Utg857046_190
OG0000002	WP_011188785.1	Utg862138_35
OG0000002	WP_041277737.1	Utg862138_47
OG0000002	WP_011189225.1	Utg857994_102
OG0000002	WP_041277652.1	Utg857152_238
OG0000003	WP_011188222.1	Utg861744_3
OG0000004	WP_162096622.1	Utg859236_110
OG0000004	WP_162096666.1	Utg858432_88
OG0000005	WP_011189533.1, WP_011188126.1	Utg860814_182, Utg864866_21, Utg864866_22, Utg857152_208, Utg859982_207
OG0000007	WP_011189794.1	Utg858432_132
OG0000007	WP_011188868.1	Utg862138_39
OG0000007	WP_011189025.1	Utg859432_67
OG0000007	WP_011187745.1	Utg857152_200
OG0000008	WP_049785046.1	Utg859098_370
OG0000009	WP_011188127.1	Utg860814_183
OG0000009	WP_049785091.1	Utg864866_20
OG0000011	WP_011188428.1, WP_011187691.1	Utg860814_134
OG0000011	WP_011190294.1	Utg859982_61
OG0000011	WP_011188753.1	Utg859236_66
OG0000012	WP_041278033.1	Utg859388_126
OG0000012	WP_041277505.1	Utg864866_48
OG0000012	WP_156792326.1	Utg858432_54
OG0000012	WP_011188284.1	Utg857046_150
OG0000014	WP_083818925.1	Utg861744_121, Utg861744_120
OG0000015	WP_041277718.1	Utg859388_25, Utg862138_18
OG0000015	WP_228130190.1	Utg864866_65
OG0000016	WP_011189892.1	Utg859098_114
OG0000017	WP_011188698.1	Utg860006_13, Utg860006_18
OG0000018	WP_011189821.1	Utg859098_213
OG0000019	WP_011189126.1	Utg864866_31
OG0000020	WP_011189009.1	Utg857300_36
OG0000021	WP_011188449.1	Utg859098_363
OG0000022	WP_011189441.1	Utg859236_119
OG0000023	WP_041277852.1	Utg859388_168
OG0000024	WP_011188931.1	Utg863716_104
OG0000025	WP_162096631.1	Utg857300_39, Utg860814_248, Utg857046_69, Utg857046_70, Utg860814_224, Utg859098_288, Utg859098_275, Utg864866_19, Utg857046_255, Utg860814_14, Utg857994_30, Utg858432_70
OG0000026	WP_041278328.1	Utg857152_94
OG0000027	WP_011189010.1	Utg857300_35
OG0000027	WP_011190227.1	Utg857300_34
OG0000027	WP_011187726.1	Utg859388_156, Utg863716_16
OG0000028	WP_041277631.1	Utg857076_67
OG0000029	WP_011189114.1	Utg859982_26
OG0000030	WP_011189224.1	Utg857994_103
OG0000030	WP_041277653.1	Utg857152_237
OG0000031	WP_041277675.1	Utg857490_1
OG0000031	WP_011188253.1	Utg857152_167
OG0000032	WP_011189014.1	Utg857300_30
OG0000033	WP_011187749.1	Utg860814_171
OG0000034	WP_011188938.1	Utg859098_369
OG0000035	WP_011187249.1	Utg863716_35
OG0000036	WP_011190296.1, WP_083819006.1	Utg859982_60
OG0000036	WP_011188751.1	Utg859236_64
OG0000038	WP_083818947.1	Utg860006_50
OG0000038	WP_011189861.1	Utg860814_278
OG0000038	WP_011189862.1	Utg860814_277
