Orthogroup	Desulfocapsa_13_biocide	Desulfocapsa_06_corrosive
OG0000000	Utg858432_110	Utg323632_218
OG0000000	Utg860814_23	Utg323180_444
OG0000000	Utg859236_95	Utg323262_151
OG0000000	Utg857152_211	Utg323180_138
OG0000000	Utg860006_151	Utg323990_62
OG0000000	Utg857994_144	Utg323074_126
OG0000000	Utg859236_100	Utg323262_146
OG0000000	Utg857994_77	Utg323392_244
OG0000000	Utg859098_309	Utg323152_90
OG0000000	Utg863716_60	Utg323180_238
OG0000000	Utg857046_66	Utg323316_173
OG0000000	Utg864866_108	Utg323140_46
OG0000000	Utg864866_50	Utg323140_105
OG0000000	Utg858432_5	Utg323632_66
OG0000000	Utg860006_129	Utg323990_84
OG0000000	Utg859098_179	Utg323152_233
OG0000000	Utg859098_130	Utg323152_286
OG0000000	Utg866558_41	Utg323632_278
OG0000000	Utg859098_137	Utg323152_278
OG0000000	Utg859098_426	Utg323392_13
OG0000000	Utg859750_35	Utg323180_69
OG0000000	Utg857046_247	Utg323152_529
OG0000000	Utg857076_7	Utg323262_120
OG0000000	Utg860006_29	Utg323990_174
OG0000001	Utg863716_50	Utg323180_225
OG0000001	Utg863716_105	Utg323180_287
OG0000001	Utg860814_100	Utg323180_510
OG0000001	Utg857152_206	Utg323180_136
OG0000001	Utg857300_46	Utg323300_105
OG0000001	Utg859236_118	Utg325220_101
OG0000001	Utg857300_26	Utg323316_129
OG0000002	Utg857046_190	Utg323300_31
OG0000002	Utg862138_35	Utg323632_46
OG0000002	Utg859076_23	Utg323316_94
OG0000002	Utg861744_15	Utg323160_86
OG0000003	Utg859236_111	Utg325220_107
OG0000003	Utg861744_3	Utg323632_206
OG0000003	Utg859098_375	Utg323152_11
OG0000004	Utg859098_372	Utg323152_14
OG0000004	Utg857682_27, Utg861744_9, Utg860814_122	Utg323074_85, Utg323180_529
OG0000004	Utg857152_136	Utg323152_27, Utg323300_412
OG0000004	Utg857682_26	Utg323266_76, Utg323266_66
OG0000004	Utg860814_35, Utg860814_38	Utg323180_453
OG0000004	Utg858494_71	Utg323152_104
OG0000004	Utg857994_41	Utg323180_416
OG0000004	Utg858432_88	Utg323632_135
OG0000004	Utg860814_202	Utg323180_613
OG0000004	Utg859236_73	Utg323180_419, Utg323262_186
OG0000004	Utg857994_124, Utg859982_119	Utg323300_14
OG0000005	Utg864866_21, Utg864866_22	Utg323140_137
