Orthogroup	Desulfocapsa_06_corrosive	Desulfosediminicola flagellatus IMCC35005
OG0000000	Utg323632_218	WP_136805244.1
OG0000000	Utg323180_444	WP_136809874.1, WP_136808305.1
OG0000000	Utg323262_151	WP_136806168.1
OG0000000	Utg323180_138	WP_136807632.1
OG0000000	Utg323990_62	WP_136808413.1
OG0000000	Utg323074_126	WP_136805435.1
OG0000000	Utg323262_146	WP_136809847.1
OG0000000	Utg323152_90	WP_136808161.1
OG0000000	Utg323180_238, Utg323316_173	WP_136808356.1
OG0000000	Utg323140_46	WP_136809937.1
OG0000000	Utg323140_105	WP_136808232.1
OG0000000	Utg323632_66	WP_217909566.1
OG0000000	Utg323990_84	WP_136806271.1
OG0000000	Utg323152_286	WP_136807046.1
OG0000000	Utg323632_278, Utg323152_278	WP_136810243.1
OG0000000	Utg323140_222	WP_136810261.1, WP_136810305.1, WP_136810299.1
OG0000000	Utg323392_13	WP_136809765.1
OG0000000	Utg323180_69	WP_136807718.1, WP_136805463.1
OG0000000	Utg323180_151	WP_136806758.1
OG0000000	Utg323152_529	WP_217909594.1, WP_167505720.1
OG0000000	Utg323990_174	WP_136808658.1
OG0000000	Utg323152_412	WP_136805922.1
OG0000001	Utg323180_225	WP_136806607.1, WP_167505925.1
OG0000001	Utg323180_287	WP_136808786.1
OG0000001	Utg323180_136	WP_136807476.1
OG0000001	Utg323300_105	WP_136809287.1
OG0000001	Utg324810_63	WP_136810389.1
OG0000001	Utg325220_101	WP_136809201.1, WP_136809645.1
OG0000001	Utg323316_129	WP_136807061.1
OG0000002	Utg323632_46	WP_136805222.1
OG0000002	Utg323300_181	WP_176371628.1
OG0000002	Utg323316_94	WP_136807752.1
OG0000002	Utg323300_202	WP_217909654.1, WP_136806069.1
OG0000003	Utg325220_107	WP_136806109.1
OG0000003	Utg323632_206	WP_136810764.1
OG0000003	Utg323300_45	WP_136806600.1, WP_136805594.1
OG0000003	Utg323140_167, Utg323140_166	WP_136807522.1
OG0000003	Utg323180_464	WP_136807708.1, WP_136805154.1
OG0000003	Utg323180_430	WP_136809723.1
OG0000004	Utg323316_191, Utg323152_14	WP_136810396.1
OG0000004	Utg323300_52	WP_136810348.1, WP_136808197.1
OG0000004	Utg323152_27, Utg323300_412, Utg323266_76, Utg323266_66	WP_136805692.1
OG0000004	Utg323180_453	WP_176371583.1, WP_136806049.1, WP_136810154.1, WP_267313779.1, WP_136805478.1, WP_167505723.1
OG0000004	Utg323180_502	WP_136810487.1
OG0000004	Utg323180_462	WP_136805944.1
OG0000004	Utg323152_104, Utg323180_416	WP_136808745.1
OG0000004	Utg323632_135	WP_167505718.1
OG0000004	Utg323180_613, Utg323180_419, Utg323262_186	WP_136808192.1
OG0000004	Utg323300_14	WP_136805197.1, WP_136807033.1, WP_136806447.1
OG0000005	Utg323152_472, Utg323392_2, Utg323140_137	WP_136806687.1, WP_136809485.1, WP_136810251.1
OG0000005	Utg323632_133	WP_136807023.1
OG0000005	Utg323262_94	WP_228723321.1
OG0000005	Utg323392_93	WP_136805496.1
OG0000005	Utg323300_274, Utg323392_174	WP_136810322.1
OG0000005	Utg323316_116	WP_136809159.1
OG0000006	Utg323632_356	WP_136810272.1
OG0000006	Utg323392_94	WP_136805497.1
OG0000006	Utg323180_218, Utg323180_148	WP_136809441.1, WP_136806566.1
OG0000007	Utg323632_239	WP_228723385.1
OG0000007	Utg323180_86	WP_176371586.1
OG0000007	Utg323632_51	WP_136805469.1
OG0000007	Utg323152_106	WP_136809767.1
OG0000007	Utg323316_118	WP_136809687.1
OG0000007	Utg323180_130	WP_136806719.1, WP_136806549.1
OG0000007	Utg323632_81	WP_136809210.1
OG0000008	Utg323632_80	WP_136809211.1
OG0000008	Utg323160_91	WP_136805538.1
OG0000008	Utg323300_399	WP_136806594.1
OG0000008	Utg323392_185	WP_136808272.1
OG0000009	Utg323990_129	WP_217909495.1
OG0000009	Utg323632_134	WP_136810250.1
OG0000009	Utg323140_138	WP_136806688.1
OG0000009	Utg323392_3	WP_136809487.1
OG0000009	Utg323180_612	WP_136807801.1
OG0000009	Utg323180_288	WP_167506082.1, WP_136810412.1
OG0000009	Utg323152_586	WP_136806587.1
OG0000010	Utg323316_272, Utg323316_267	WP_136809831.1
OG0000010	Utg323316_270, Utg323074_203	WP_136810734.1
OG0000011	Utg323180_549	WP_136806782.1, WP_136810628.1
OG0000012	Utg323392_111	WP_167506099.1
OG0000012	Utg323140_106	WP_167505807.1
OG0000012	Utg323632_113	WP_136805114.1
OG0000013	Utg323180_446	WP_136806862.1
OG0000013	Utg323180_450	WP_136806858.1
OG0000013	Utg323140_219	WP_217909556.1, WP_136810308.1
OG0000013	Utg323140_226	WP_136810262.1, WP_136810302.1, WP_136810264.1
OG0000014	Utg323262_128	WP_136808979.1
OG0000014	Utg324810_58	WP_136808641.1
OG0000015	Utg323392_212, Utg323632_27	WP_136806902.1
OG0000015	Utg323140_90	WP_228723428.1
OG0000015	Utg325220_80	WP_167506080.1
OG0000016	Utg323152_301	WP_136807902.1
OG0000016	Utg323300_407	WP_136807829.1, WP_136807338.1
OG0000017	Utg323990_193	WP_136808425.1
OG0000017	Utg323990_194	WP_136808428.1
OG0000017	Utg323180_486	WP_136809551.1, WP_136805229.1
OG0000018	Utg323152_201	WP_136806347.1
OG0000019	Utg323140_131	WP_136810058.1
OG0000019	Utg323300_146	WP_136806103.1, WP_136810512.1, WP_136810372.1
OG0000019	Utg323262_127	WP_217909488.1
OG0000020	Utg323152_283, Utg323632_271, Utg323152_268	WP_136810213.1
OG0000020	Utg323180_155	WP_136807644.1
OG0000020	Utg323300_116	WP_136809851.1
OG0000021	Utg323152_38	WP_136807472.1
OG0000022	Utg323152_194	WP_136806354.1
OG0000022	Utg323180_278	WP_136810853.1
OG0000022	Utg323392_113	WP_136806018.1, WP_136805502.1
OG0000023	Utg323180_594	WP_136809090.1, WP_136808183.1, WP_136806771.1
OG0000023	Utg323180_595	WP_136808184.1, WP_136809091.1, WP_136806772.1, WP_136808959.1
OG0000023	Utg323392_65, Utg323180_593	WP_136808182.1, WP_136809089.1, WP_136808678.1
OG0000024	Utg323180_286	WP_136810505.1
OG0000024	Utg323074_45	WP_136810309.1
OG0000024	Utg323152_134	WP_136806526.1
OG0000025	Utg323300_113	WP_136810240.1
OG0000025	Utg323316_176, Utg323180_632	WP_136807670.1
OG0000025	Utg323392_180, Utg323316_342, Utg323316_341	WP_136810013.1
OG0000025	Utg323632_121	WP_136806231.1, WP_167505784.1
OG0000026	Utg323140_43	WP_217909501.1
OG0000026	Utg323300_169	WP_136806848.1
OG0000026	Utg323300_371	WP_136807998.1
OG0000027	Utg323300_117	WP_136809850.1, WP_136809710.1
OG0000028	Utg323262_65	WP_136805931.1
OG0000028	Utg323990_173	WP_136808657.1
OG0000028	Utg323140_52	WP_136809938.1
OG0000028	Utg323140_220	WP_136810259.1, WP_136810307.1
OG0000028	Utg323180_452	WP_136806863.1
OG0000029	Utg323300_179	WP_136805378.1
OG0000029	Utg323300_178	WP_136805379.1
OG0000030	Utg323160_112	WP_136805937.1
OG0000031	Utg323448_44	WP_136810558.1
OG0000031	Utg323180_78	WP_153307109.1
OG0000031	Utg323392_77, Utg323262_179	WP_275942860.1
OG0000032	Utg323316_338	WP_136807976.1
OG0000032	Utg323300_122	WP_167506015.1
OG0000033	Utg323140_147, Utg323140_146	WP_136809276.1
OG0000034	Utg323392_186, Utg323392_187	WP_136808271.1
OG0000035	Utg323180_199	WP_136810508.1
OG0000035	Utg323262_95	WP_136810054.1
OG0000035	Utg323300_305	WP_136808043.1
OG0000035	Utg323300_236	WP_136809230.1
OG0000038	Utg323990_153	WP_136808396.1
OG0000038	Utg323180_685	WP_136805514.1
OG0000038	Utg323180_684	WP_136805513.1
OG0000039	Utg323316_349	WP_136805748.1
OG0000040	Utg323074_178	WP_136808531.1
OG0000040	Utg323990_200, Utg323990_66	WP_136805340.1
OG0000041	Utg323300_84	WP_217909485.1
OG0000041	Utg323316_196	WP_136808147.1
OG0000042	Utg323180_126	WP_217909626.1
OG0000042	Utg323300_393	WP_136808551.1
OG0000042	Utg323262_141	WP_136809846.1
OG0000042	Utg323152_383	WP_275942834.1
OG0000043	Utg323990_243	WP_136808860.1
OG0000043	Utg323160_116	WP_136807664.1
OG0000044	Utg323316_69	WP_136810153.1
OG0000045	Utg323180_405, Utg323180_245	WP_136810787.1
OG0000045	Utg324810_80, Utg323990_79	WP_136805182.1
OG0000045	Utg323300_218	WP_136806030.1
OG0000046	Utg324810_8	WP_136809898.1, WP_136805573.1
OG0000046	Utg323152_235	WP_136808334.1
OG0000046	Utg323180_156	WP_136807646.1
OG0000047	Utg323990_19	WP_167505894.1
OG0000047	Utg323316_238	WP_136809825.1
OG0000047	Utg323074_155	WP_136808498.1
OG0000048	Utg323266_109	WP_136808633.1, WP_136808926.1, WP_136810226.1
OG0000048	Utg323316_142	WP_136809719.1
OG0000049	Utg323300_370	WP_136810189.1, WP_136809400.1, WP_167505764.1
OG0000051	Utg323316_319	WP_136805575.1, WP_275942859.1
OG0000051	Utg323180_77	WP_136810515.1, WP_153307106.1
OG0000051	Utg323392_76, Utg323262_180, Utg323392_75	WP_267313722.1
OG0000052	Utg323262_71	WP_136805929.1
OG0000052	Utg323300_411	WP_136810349.1
OG0000053	Utg323392_224	WP_136805444.1
OG0000053	Utg323180_371, Utg323316_65	WP_136808276.1, WP_136808277.1
OG0000053	Utg323316_144	WP_228723307.1
OG0000054	Utg323316_271, Utg323316_253	WP_217909503.1, WP_217909506.1
OG0000054	Utg323316_275	WP_136810850.1
OG0000054	Utg323990_236	WP_217909504.1, WP_217909507.1
OG0000055	Utg323152_253	WP_136808343.1
OG0000057	Utg323152_465	WP_136809365.1, WP_136807233.1
OG0000057	Utg323300_441, Utg323632_324, Utg323392_16, Utg323140_160	WP_167506003.1
OG0000058	Utg323180_619	WP_136806611.1
OG0000058	Utg323152_288, Utg323632_274, Utg323152_273, Utg323180_393	WP_136810256.1
OG0000058	Utg323180_545	WP_136806778.1
OG0000059	Utg323316_107	WP_136809677.1
OG0000060	Utg323300_75	WP_136809295.1
OG0000060	Utg323632_306	WP_136806703.1
OG0000060	Utg323990_72	WP_136806279.1
OG0000061	Utg323266_110	WP_136810227.1, WP_136808925.1, WP_136808634.1
OG0000061	Utg323180_315	WP_136805763.1
OG0000062	Utg323392_166	WP_228723330.1
OG0000062	Utg323140_118	WP_136810821.1
OG0000063	Utg323632_334	WP_136806830.1
OG0000063	Utg323392_142	WP_136807527.1, WP_136805302.1
OG0000064	Utg323990_139	WP_136808385.1
OG0000064	Utg323180_38	WP_136806628.1
OG0000065	Utg323140_2, Utg323180_2	WP_136805814.1
OG0000066	Utg323266_106	WP_136808571.1
OG0000067	Utg323392_165	WP_136805282.1
OG0000067	Utg323140_119	WP_217909512.1
OG0000068	Utg323180_344	WP_136810010.1
OG0000068	Utg325220_60	WP_167506095.1
OG0000069	Utg323300_182	WP_167505940.1
OG0000069	Utg323262_103	WP_136810048.1
OG0000071	Utg323152_536	WP_136810775.1
OG0000071	Utg323152_559	WP_136806381.1
OG0000072	Utg323152_535	WP_136808180.1, WP_136810774.1
OG0000072	Utg323152_560	WP_136806380.1
OG0000073	Utg323160_62, Utg323180_197, Utg323632_357, Utg323180_298, Utg323180_233, Utg324548_6, Utg323140_124	WP_136809807.1
OG0000074	Utg323180_421	WP_136809795.1
OG0000074	Utg325220_79	WP_136808865.1
OG0000076	Utg323180_458, Utg323152_263	WP_136810692.1
OG0000077	Utg323074_141	WP_136805418.1
OG0000078	Utg323180_686	WP_136805515.1
OG0000078	Utg323300_294	WP_136808055.1
OG0000079	Utg323160_93, Utg323180_41	WP_228723251.1
OG0000079	Utg323990_42	WP_136805063.1
OG0000080	Utg323140_241	WP_136808832.1
OG0000081	Utg323180_392	WP_136805255.1
OG0000081	Utg323266_79	WP_136808827.1
OG0000082	Utg323392_216	WP_136806792.1
OG0000082	Utg323152_318	WP_136807887.1
OG0000085	Utg323180_592	WP_136809115.1
OG0000086	Utg323392_34	WP_136806960.1
OG0000086	Utg323180_528	WP_136808581.1
OG0000087	Utg323140_87	WP_136805195.1
OG0000087	Utg323152_497	WP_136807110.1
OG0000088	Utg325220_103	WP_136806105.1
OG0000088	Utg323180_457, Utg323152_262	WP_136810693.1
OG0000089	Utg324548_40	WP_136806975.1
OG0000089	Utg323140_37	WP_136810798.1, WP_167505835.1, WP_136809298.1
OG0000091	Utg323180_478	WP_136809462.1
OG0000091	Utg323392_150	WP_136805623.1
OG0000092	Utg323300_130	WP_136806534.1
OG0000092	Utg323180_509	WP_136806715.1
OG0000093	Utg323180_45	WP_136806918.1
OG0000094	Utg323990_23	WP_136810866.1
OG0000094	Utg323074_170	WP_136808502.1
OG0000095	Utg323300_425	WP_136809769.1
OG0000095	Utg323990_63	WP_136810701.1
OG0000097	Utg323152_498	WP_136807108.1
OG0000097	Utg323160_75, Utg323266_3, Utg323160_123	WP_136807121.1
OG0000098	Utg323152_561	WP_176371599.1
OG0000099	Utg323140_213	WP_136805946.1
OG0000099	Utg324810_13, Utg323180_500	WP_136808098.1
OG0000100	Utg323316_117	WP_136809686.1
OG0000101	Utg323266_38	WP_275942865.1
OG0000102	Utg323632_122	WP_136805120.1
OG0000103	Utg323316_301	WP_136807934.1
OG0000104	Utg323074_23	WP_136808313.1
OG0000104	Utg323316_337	WP_136807975.1
OG0000105	Utg323392_148	WP_136805297.1
OG0000105	Utg323180_490	WP_136809443.1
OG0000106	Utg323300_138	WP_136807483.1
OG0000106	Utg323300_125, Utg323316_317	WP_136809270.1
OG0000107	Utg323266_55	WP_136810209.1
OG0000107	Utg323180_669	WP_136805501.1
OG0000108	Utg323180_244	WP_136808097.1
OG0000108	Utg323392_40	WP_136806312.1
OG0000108	Utg323180_650	WP_136805490.1
OG0000110	Utg323140_35	WP_136807030.1
OG0000110	Utg323152_265	WP_136810690.1
OG0000112	Utg323300_361	WP_136808002.1
OG0000113	Utg323180_560	WP_136808953.1
OG0000113	Utg323316_179	WP_136809724.1
OG0000114	Utg323448_59	WP_136810572.1
OG0000114	Utg323180_193	WP_136810511.1
OG0000115	Utg323300_341	WP_136808017.1
OG0000115	Utg323990_86	WP_136806745.1
OG0000116	Utg323300_39	WP_136805779.1
OG0000117	Utg323140_129	WP_136810060.1
OG0000118	Utg323140_128	WP_136810061.1
OG0000119	Utg323180_425	WP_136806532.1
OG0000120	Utg323140_117	WP_176371624.1
OG0000121	Utg323316_251, Utg323316_295, Utg323316_290	WP_136808693.1
OG0000121	Utg323074_180	WP_136808681.1, WP_136808529.1
OG0000122	Utg323300_431, Utg323262_85	WP_217909611.1
OG0000123	Utg323152_264	WP_136810691.1
OG0000123	Utg325220_102	WP_136807032.1
OG0000124	Utg323180_456	WP_136810093.1
OG0000125	Utg323316_156	WP_217909486.1, WP_136809889.1, WP_228723249.1, WP_136806029.1
OG0000126	Utg323392_137	WP_136805307.1
OG0000126	Utg323140_162	WP_136805571.1
OG0000127	Utg323448_31	WP_136810542.1, WP_136810543.1
OG0000128	Utg323180_277	WP_136806650.1
OG0000128	Utg323152_202	WP_136806346.1
OG0000129	Utg323180_691	WP_136805236.1
OG0000130	Utg323140_62, Utg323632_319	WP_217909449.1
OG0000131	Utg323074_120	WP_136805439.1
OG0000131	Utg323990_32	WP_136805333.1
OG0000133	Utg323140_126	WP_267313775.1
OG0000134	Utg323140_101	WP_136805898.1
OG0000134	Utg323152_247	WP_167505926.1
OG0000135	Utg323300_373	WP_136807997.1, WP_136809233.1
OG0000135	Utg323300_234	WP_136806993.1
OG0000136	Utg323152_230	WP_136806325.1
OG0000136	Utg323392_39	WP_136806313.1
OG0000137	Utg323632_120, Utg323074_21, Utg323300_15	WP_167506064.1
OG0000138	Utg323392_64	WP_136807292.1
OG0000138	Utg323180_280	WP_228723396.1
OG0000142	Utg323180_616	WP_267313776.1
OG0000142	Utg323392_262	WP_167505871.1
OG0000143	Utg323180_33	WP_136806623.1
OG0000144	Utg323392_195	WP_136806979.1
OG0000144	Utg323392_160	WP_136805284.1
OG0000145	Utg323180_511	WP_136807978.1
OG0000145	Utg323074_35, Utg323074_36	WP_136809855.1
OG0000147	Utg323392_141	WP_136805303.1
OG0000147	Utg323632_318	WP_136806691.1
OG0000149	Utg323300_144	WP_136809474.1
OG0000149	Utg325220_75	WP_167505875.1
OG0000149	Utg323152_363	WP_136806556.1
OG0000150	Utg323152_400	WP_136806150.1
OG0000150	Utg323300_310	WP_136808039.1
OG0000151	Utg323316_242	WP_228723304.1, WP_228723332.1
OG0000152	Utg323180_516	WP_275942862.1
OG0000152	Utg323180_523	WP_136806728.1
OG0000153	Utg323180_413	WP_136806137.1
OG0000153	Utg323300_187	WP_136809779.1, WP_275942867.1
OG0000154	Utg323160_129, Utg323266_10	WP_167506086.1
OG0000156	Utg323316_158	WP_136808996.1, WP_167505956.1, WP_136809224.1, WP_136805651.1
OG0000158	Utg323180_251	WP_136806037.1
OG0000159	Utg324810_14	WP_136810252.1, WP_136808151.1
OG0000160	Utg323180_213	WP_136810489.1
OG0000162	Utg323316_178	WP_176371613.1, WP_136810357.1
