user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
binsanity_sample01.txt.014	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__JAFGVF01;g__JAEKNW01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016838885.1	95.0	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__JAFGVF01;g__JAEKNW01;s__JAEKNW01 sp016838885	80.07	0.42	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__JAFGVF01;g__JAEKNW01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	90.73	11	0.9431467423083331	N/A
binsanity_sample02.txt.013	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__Syntrophotalea_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_001887775.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__Syntrophotalea_A;s__Syntrophotalea_A acetylenivorans	84.83	0.65	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__Syntrophotalea_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001751225.1, s__Syntrophotalea_A sp001751225, 95.0, 82.61, 0.32; GCA_013619105.1, s__Syntrophotalea_A sp013619105, 95.0, 81.89, 0.54	29.25	11	0.9597838787871608	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
binsanity_sample02.txt.024	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000331025.1, s__Maridesulfovibrio hydrothermalis, 95.0, 80.68, 0.51; GCF_000425265.1, s__Maridesulfovibrio zosterae, 95.0, 80.3, 0.44; GCF_000023445.1, s__Maridesulfovibrio salexigens, 95.0, 80.27, 0.47; GCF_010470675.1, s__Maridesulfovibrio sp010470675, 95.0, 80.27, 0.46; GCF_010470665.1, s__Maridesulfovibrio sp010470665, 95.0, 80.11, 0.47; GCF_004923195.1, s__Maridesulfovibrio sp004923195, 95.0, 79.97, 0.47; GCA_002340305.1, s__Maridesulfovibrio sp002340305, 95.0, 79.85, 0.33; GCF_900177375.1, s__Maridesulfovibrio gilichinskyi, 95.0, 78.29, 0.25; GCA_006210265.1, s__Maridesulfovibrio sp006210265, 95.0, 78.17, 0.23; GCF_900101105.1, s__Maridesulfovibrio ferrireducens, 95.0, 78.13, 0.29; GCF_000711735.1, s__Maridesulfovibrio frigidus, 95.0, 78.0, 0.23; GCF_000429985.1, s__Maridesulfovibrio bastinii, 95.0, 77.76, 0.14	69.32	11	0.9598008358208955	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
binsanity_sample02.txt.027	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__Syntrophotalea_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_001887775.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__Syntrophotalea_A;s__Syntrophotalea_A acetylenivorans	84.24	0.61	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__Syntrophotalea_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013619105.1, s__Syntrophotalea_A sp013619105, 95.0, 81.43, 0.48; GCA_001751225.1, s__Syntrophotalea_A sp001751225, 95.0, 81.19, 0.37	17.45	11	0.968369521781354	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
binsanity_sample06.txt.002	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018820855.1, s__Desulfocapsa sp018820855, 95.0, 82.62, 0.71; GCA_018817385.1, s__Desulfocapsa sp018817385, 95.0, 81.57, 0.59; GCF_000341395.1, s__Desulfocapsa sulfexigens, 95.0, 77.74, 0.13; GCA_015662865.1, s__Desulfocapsa sulfexigens_B, 95.0, 77.14, 0.16; GCA_016765495.1, s__Desulfocapsa sp016765495, 95.0, 77.03, 0.13; GCA_015661935.1, s__Desulfocapsa sulfexigens_A, 95.0, 76.61, 0.19	89.81	11	0.9565649053625214	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
binsanity_sample06.txt.003	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.9%)
binsanity_sample06.txt.004	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.65	11	0.8096998499679484	N/A
binsanity_sample06.txt.009	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	ANI	classification based on placement in class-level tree	GCF_001874525.1, s__Pseudodesulfovibrio hydrargyri, 95.0, 80.36, 0.28; GCF_009762795.1, s__Pseudodesulfovibrio cashew, 95.0, 80.07, 0.31; GCF_001563225.1, s__Pseudodesulfovibrio indicus, 95.0, 79.97, 0.34; GCF_000189295.2, s__Pseudodesulfovibrio mercurii, 95.0, 79.96, 0.3; GCF_004025585.1, s__Pseudodesulfovibrio sp004025585, 95.0, 79.69, 0.3; GCA_015709315.1, s__Pseudodesulfovibrio sp015709315, 95.0, 79.61, 0.29; GCF_017351175.1, s__Pseudodesulfovibrio sp017351175, 95.0, 79.53, 0.29; GCF_000176915.2, s__Pseudodesulfovibrio aespoeensis, 95.0, 79.27, 0.3; GCF_900217235.1, s__Pseudodesulfovibrio profundus, 95.0, 79.26, 0.33; GCF_012516435.1, s__Pseudodesulfovibrio sp012516435, 95.0, 79.14, 0.33; GCA_016342345.1, s__Pseudodesulfovibrio sp016342345, 95.0, 78.72, 0.18; GCF_009729555.1, s__Pseudodesulfovibrio sp009729555, 95.0, 78.66, 0.25; GCF_008001235.1, s__Pseudodesulfovibrio sp008001235, 95.0, 78.49, 0.19; GCA_016744135.1, s__Pseudodesulfovibrio sp016744135, 95.0, 78.48, 0.21; GCF_010468615.1, s__Pseudodesulfovibrio sp010468615, 95.0, 77.93, 0.17; GCF_001311825.1, s__Pseudodesulfovibrio brasiliensis, 95.0, 77.84, 0.16; GCF_000341895.1, s__Pseudodesulfovibrio piezophilus, 95.0, 77.6, 0.16; GCF_008830225.1, s__Pseudodesulfovibrio senegalensis, 95.0, 77.55, 0.14; GCF_000375485.1, s__Pseudodesulfovibrio oxyclinae, 95.0, 77.31, 0.13	25.2	11	0.9411359807974481	backbone tree has incongruent class classification
concoct_sample01.txt.034	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__	N/A	N/A	N/A	N/A	N/A	GCA_003249645.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__SZUA-575 sp003249645	79.18	0.35	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002747805.1, s__SZUA-575 sp002747805, 95.0, 76.03, 0.07	87.47	11	0.9544819463411043	N/A
concoct_sample01.txt.040	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Dethiosulfatibacteraceae;g__Dethiosulfatibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_900142005.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Dethiosulfatibacteraceae;g__Dethiosulfatibacter;s__Dethiosulfatibacter aminovorans	84.4	0.77	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Dethiosulfatibacteraceae;g__Dethiosulfatibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	59.43	11	0.9698277340838086	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
concoct_sample01.txt.041	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_014905095.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp014905095	87.25	0.74	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_009192995.1, s__Sulfurimonas indica, 95.0, 79.07, 0.33; GCF_014905135.1, s__Sulfurimonas paralvinellae, 95.0, 79.03, 0.27; GCF_000242915.1, s__Sulfurimonas gotlandica, 95.0, 78.75, 0.25; GCF_009258225.1, s__Sulfurimonas sp009258225, 95.0, 78.74, 0.25; GCF_000147355.1, s__Sulfurimonas autotrophica, 95.0, 78.74, 0.28; GCA_002733945.2, s__Sulfurimonas sp002733945, 95.0, 78.63, 0.22; GCA_013607665.1, s__Sulfurimonas sp013607665, 95.0, 78.57, 0.28; GCA_002335055.1, s__Sulfurimonas sp002335055, 95.0, 78.42, 0.26; GCF_015265475.1, s__Sulfurimonas marisnigri, 95.0, 78.36, 0.23; GCF_009883775.1, s__Sulfurimonas sp002452895, 95.0, 78.33, 0.19; GCF_017357825.1, s__Sulfurimonas sp017357825, 95.0, 78.29, 0.26; GCA_013607635.1, s__Sulfurimonas sp013607635, 95.0, 78.28, 0.31; GCA_013153755.1, s__Sulfurimonas sp013153755, 95.0, 78.27, 0.21; GCA_002732645.1, s__Sulfurimonas sp002732645, 95.0, 78.25, 0.18; GCA_016744025.1, s__Sulfurimonas sp016744025, 95.0, 78.23, 0.22; GCA_015663215.1, s__Sulfurimonas sp015663215, 95.0, 78.23, 0.19; GCA_018698455.1, s__Sulfurimonas sp018698455, 95.0, 78.11, 0.21; GCF_009068765.1, s__Sulfurimonas sp009068765, 95.0, 78.07, 0.22; GCF_015265455.1, s__Sulfurimonas baltica, 95.0, 78.04, 0.23; GCA_002781365.1, s__Sulfurimonas sp002781365, 95.0, 78.03, 0.21; GCA_013791885.1, s__Sulfurimonas sp013791885, 95.0, 78.03, 0.22; GCA_016937915.1, s__Sulfurimonas sp016937915, 95.0, 78.01, 0.2; GCA_016764205.1, s__Sulfurimonas sp016764205, 95.0, 77.99, 0.17; GCA_011391635.1, s__Sulfurimonas sp011391635, 95.0, 77.98, 0.19; GCA_015488615.1, s__Sulfurimonas sp015488615, 95.0, 77.97, 0.24; GCF_014905115.1, s__Sulfurimonas sediminis, 95.0, 77.94, 0.24; GCA_002452425.1, s__Sulfurimonas sp002452425, 95.0, 77.93, 0.13; GCA_016735225.1, s__Sulfurimonas sp016735225, 95.0, 77.92, 0.14; GCA_015487435.1, s__Sulfurimonas sp015487435, 95.0, 77.91, 0.18; GCA_015662405.1, s__Sulfurimonas autotrophica_A, 95.0, 77.87, 0.26; GCF_000012965.1, s__Sulfurimonas denitrificans, 95.0, 77.84, 0.2; GCA_015487265.1, s__Sulfurimonas sp015487265, 95.0, 77.83, 0.17; GCA_016938175.1, s__Sulfurimonas sp016938175, 95.0, 77.81, 0.25; GCA_014381585.1, s__Sulfurimonas ponti, 95.0, 77.77, 0.19; GCF_000445475.1, s__Sulfurimonas hongkongensis, 95.0, 77.75, 0.19; GCA_002733155.1, s__Sulfurimonas sp002733155, 95.0, 77.68, 0.15; GCA_018824795.1, s__Sulfurimonas sp018824795, 95.0, 77.63, 0.27; GCA_001829625.1, s__Sulfurimonas sp001829625, 95.0, 77.63, 0.17; GCA_016744115.1, s__Sulfurimonas sp016744115, 95.0, 77.6, 0.18; GCA_001829675.1, s__Sulfurimonas sp001829675, 95.0, 77.59, 0.17; GCA_002899765.1, s__Sulfurimonas sp002899765, 95.0, 77.51, 0.16; GCA_001873135.1, s__Sulfurimonas sp001873135, 95.0, 77.42, 0.17; GCA_015488855.1, s__Sulfurimonas sp015488855, 95.0, 77.41, 0.16; GCA_002428085.1, s__Sulfurimonas sp002428085, 95.0, 77.41, 0.16; GCF_005217605.1, s__Sulfurimonas crateris, 95.0, 77.4, 0.19; GCA_018822665.1, s__Sulfurimonas sp018822665, 95.0, 77.39, 0.18; GCA_018825665.1, s__Sulfurimonas sp018825665, 95.0, 77.37, 0.17; GCA_001829715.1, s__Sulfurimonas sp001829715, 95.0, 77.37, 0.17; GCA_903903705.1, s__Sulfurimonas sp903903705, 95.0, 77.34, 0.19; GCA_014859695.1, s__Sulfurimonas sp014859695, 95.0, 77.29, 0.17; GCA_003978465.1, s__Sulfurimonas sp003978465, 95.0, 77.29, 0.24; GCA_001829785.1, s__Sulfurimonas sp001829785, 95.0, 77.15, 0.18	53.04	11	0.9810524143264202	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
