Orthogroup	Desulfotalea psychrophila LSv54	Desulfocapsa_06_corrosive
OG0000000	WP_011190064.1	Utg323632_218
OG0000000	WP_011189962.1	Utg323074_126
OG0000000	WP_156792258.1	Utg323152_90
OG0000000	WP_011188283.1	Utg323140_46
OG0000000	WP_011187621.1	Utg323140_105
OG0000000	WP_041277753.1	Utg323632_66
OG0000000	WP_041278710.1	Utg323990_84
OG0000000	WP_011187582.1	Utg323392_13
OG0000000	WP_011188526.1	Utg323180_69
OG0000000	WP_049785130.1, WP_011187784.1	Utg323152_529
OG0000001	WP_011188793.1, WP_011187475.1	Utg323180_225
OG0000001	WP_011187505.1	Utg323300_105
OG0000001	WP_011189031.1	Utg325220_101
OG0000001	WP_049785109.1	Utg323180_418, Utg323074_106, Utg323180_183
OG0000002	WP_041277844.1	Utg323300_31
OG0000002	WP_011188785.1	Utg323632_46
OG0000002	WP_011188678.1	Utg323300_202
OG0000003	WP_011188222.1	Utg323632_206
OG0000004	WP_162096636.1	Utg323152_588
OG0000004	WP_011190354.1	Utg323180_502
OG0000004	WP_162096666.1	Utg323632_135
OG0000005	WP_011189533.1, WP_011188126.1	Utg323300_198, Utg323152_472, Utg323392_2, Utg323140_137, Utg323152_391
OG0000005	WP_011187985.1	Utg323316_116
OG0000006	WP_156792195.1	Utg323262_137
OG0000007	WP_011189794.1	Utg323632_239
OG0000007	WP_011188868.1	Utg323632_51
OG0000007	WP_011188995.1	Utg323316_118
OG0000007	WP_011187745.1	Utg323180_130
OG0000009	WP_049785091.1	Utg323140_138, Utg323392_3
OG0000009	WP_011189261.1	Utg323180_288
OG0000011	WP_011188428.1, WP_011187691.1	Utg323180_549
OG0000012	WP_041278033.1	Utg323392_111
OG0000012	WP_041277505.1	Utg323140_106
OG0000012	WP_156792326.1	Utg323632_113
OG0000013	WP_011188729.1	Utg323140_219
OG0000013	WP_011188732.1	Utg323140_226
OG0000014	WP_083818925.1	Utg324810_58
OG0000015	WP_041277718.1	Utg323392_212, Utg323632_27
OG0000015	WP_228130190.1	Utg323140_90
OG0000015	WP_011187538.1	Utg325220_80
OG0000016	WP_011189892.1	Utg323152_301
OG0000016	WP_049785056.1	Utg323300_334
OG0000017	WP_011188698.1	Utg323990_184
OG0000017	WP_011188693.1	Utg323990_194
OG0000018	WP_011189821.1	Utg323152_201
OG0000019	WP_011189126.1	Utg323140_131
OG0000020	WP_011189009.1	Utg323300_116
OG0000021	WP_011188449.1	Utg323152_38
OG0000023	WP_041277852.1	Utg323392_65, Utg323180_593
OG0000024	WP_011188931.1	Utg323180_286
OG0000024	WP_011189217.1	Utg323074_45
OG0000025	WP_162096631.1	Utg323300_113, Utg323140_34, Utg323316_176, Utg323180_632, Utg323180_229, Utg323152_140, Utg323140_139, Utg323392_180, Utg323316_342, Utg323316_341, Utg323180_435, Utg323632_121, Utg323392_70
OG0000026	WP_041278328.1	Utg323300_371
OG0000027	WP_011189010.1	Utg323300_117
OG0000027	WP_011190227.1	Utg323300_118
OG0000027	WP_011187726.1	Utg323392_79, Utg323180_188
OG0000028	WP_041277631.1	Utg323262_65
OG0000028	WP_162096634.1	Utg323140_220
OG0000029	WP_265588603.1	Utg323300_179
OG0000029	WP_049785031.1	Utg323300_178
OG0000030	WP_011187333.1	Utg323160_112
OG0000031	WP_041277675.1	Utg323448_44
OG0000031	WP_011188253.1	Utg323180_78
OG0000032	WP_011189014.1	Utg323300_122
OG0000033	WP_011187749.1	Utg323140_147, Utg323140_146
OG0000035	WP_011187249.1	Utg323180_199
OG0000037	WP_228130148.1, WP_011190364.1	Utg323160_55, Utg323160_54, Utg323180_53, Utg323180_177
OG0000038	WP_083818947.1	Utg323990_153
OG0000038	WP_011189861.1	Utg323180_685
OG0000038	WP_011189862.1	Utg323180_684
OG0000040	WP_011187264.1	Utg323990_200
OG0000040	WP_041277819.1	Utg323990_66
OG0000041	WP_011189362.1	Utg323632_79, Utg323300_84
OG0000041	WP_011190076.1	Utg323316_196
OG0000042	WP_011187375.1	Utg323300_393
OG0000042	WP_011189777.1	Utg323152_383
OG0000043	WP_228130175.1	Utg323140_196, Utg323990_243, Utg323160_116, Utg323180_525
OG0000045	WP_011190203.1	Utg324810_80, Utg323990_79
OG0000045	WP_011188148.1	Utg323300_218
OG0000047	WP_011187275.1	Utg323074_218
OG0000047	WP_011190450.1	Utg323316_238
OG0000048	WP_011188265.1	Utg323266_109
OG0000048	WP_228130155.1	Utg323316_142
OG0000049	WP_011187473.1, WP_049785016.1	Utg323300_370
OG0000051	WP_011188254.1	Utg323180_77
