Genome	sample01_sorted Relative Abundance (%)	sample02_sorted Relative Abundance (%)	sample03_sorted Relative Abundance (%)	sample04_sorted Relative Abundance (%)	sample06_sorted Relative Abundance (%)	sample10_sorted Relative Abundance (%)	sample13_sorted Relative Abundance (%)
unmapped	0.026261806	0.07314682	0.030010939	0.13327599	0.06003976	0.14580488	0.18888116
concoct_sample13.txt.052	0.03262263	0.281628	0.036617693	0	0.24918827	0	1.9823232
concoct_sample13.txt.051	0.60662335	1.7326053	0.7192938	1.9205672	0	0	2.9244552
concoct_sample10.txt.017	0.24259779	0.5845574	0.61882985	0.85959494	6.2223163	2.610803	0.4424753
binsanity_sample06.txt.002	1.3473822	6.6335683	5.7732067	13.84628	86.82862	61.229683	0.47774917
concoct_sample03.txt.011	12.099289	16.317322	4.756922	7.428827	0.8036345	0.13022913	0.9447321
metabat_sample03.txt.002	3.7941463	17.171774	2.215306	4.477078	0.04687578	0	0.049539085
metabat_sample03.txt.027	10.700925	5.21096	2.5242074	9.8818035	3.4243515	0.52170455	0.046273272
concoct_sample01.txt.041	3.5385287	1.215797	1.3042892	2.4318347	0	0	0.45987445
metabat_sample13.txt.008	0	0	0	0	0	0	2.4881241
maxbin_sample10.txt.007	0	0	0	0	0	12.112107	0.027114732
maxbin_sample01.txt.002	9.241428	1.2681793	0.1361447	0.4137039	0.16556226	0	0
metabat_sample02.txt.020	2.3947601	3.627901	0.76460457	0.6734471	0.11802786	0	0
maxbin_sample03.txt.003	1.0412713	0.96293604	3.0092657	2.8902774	0.10192677	0	0.39357546
concoct_sample13.txt.041	1.8221105	0.956371	0.92480826	0.6163075	0.05193123	0	1.1881145
concoct_sample10.txt.012	0	0	0	0	0	1.8064312	0
metabat_sample03.txt.020	1.5365961	0.22869912	2.0476475	0.18027668	0	0	0
concoct_sample03.txt.012	0.58962524	3.6764424	8.098677	2.5520203	0.03674824	0.044726193	2.2901223
maxbin_sample02.txt.001	11.814051	6.467865	24.471859	14.445879	0.14214724	0.057811767	2.448264
metabat_sample02.txt.007	9.792749	11.572872	13.800369	10.918034	1.0571002	0.18863393	3.0427392
maxbin_sample13.txt.006	0.33423588	0.2606153	0.3925525	0.4717437	0.024178503	0.05965409	5.345973
metabat_sample01.txt.019	9.380275	10.22244	4.2854447	5.203676	0.39188796	0.09123892	5.209654
concoct_sample01.txt.034	4.93502	2.837205	16.337679	8.991686	0.09962691	0.085738234	1.8016114
maxbin_sample13.txt.004	0.024049034	0.060427036	0.022179017	0	0	0	4.2386527
metabat_sample03.txt.019	0.42551422	0.8810526	1.5883425	1.6780499	0	0	0
metabat_sample13.txt.014_sub	0.7916947	0.5191765	1.0243175	0.95468277	0.007904078	0.05909502	17.146927
metabat_sample02.txt.018	2.1573284	4.3666444	0.9978993	1.5940883	0	0	0.6239026
metabat_sample03.txt.026	2.358934	1.0467626	1.75628	2.1994033	0	0	0.39175603
concoct_sample03.txt.038	0.2510124	0.18115005	1.514545	2.6353126	0	0	0.100347586
maxbin_sample01.txt.012	2.6127894	0	0.092227146	1.7148457	0	0	0
binsanity_sample01.txt.014	5.5550747	0.65061516	0.27903083	0.17387658	0	0	0
concoct_sample10.txt.016	0.27338395	0.6648541	0.31639987	0.1883239	0.016458467	12.29151	42.09145
metabat_sample13.txt.004	0.2797411	0.3264276	0.16105159	0.5250952	0.1514681	8.564838	3.6553712
