Orthogroup	Desulfocapsa sulfexigens DSM 10523	Desulfovibrio vulgaris DP4
OG0000000	WP_015405628.1	WP_011791609.1
OG0000000	WP_015403470.1	WP_011793126.1
OG0000000	WP_015403104.1, WP_015404836.1	WP_011791385.1
OG0000000	WP_015403526.1, WP_015405714.1	WP_011791326.1
OG0000000	WP_015404574.1	WP_010938712.1, WP_011791434.1
OG0000000	WP_015405012.1	WP_043629113.1
OG0000000	WP_015405247.1, WP_015404443.1, WP_015405235.1	WP_010938045.1
OG0000000	WP_015404190.1	WP_010940219.1
OG0000000	WP_228130058.1	WP_011791966.1, WP_011793108.1
OG0000000	WP_015402874.1	WP_011792800.1
OG0000000	WP_052326964.1	WP_011791917.1
OG0000000	WP_015405199.1, WP_015404515.1	WP_010937429.1
OG0000000	WP_015404367.1	WP_011792072.1
OG0000001	WP_015402638.1	WP_010937723.1
OG0000001	WP_015402385.1	WP_010939092.1
OG0000001	WP_015405261.1	WP_011792183.1
OG0000001	WP_015402591.1	WP_011791763.1
OG0000001	WP_015402480.1	WP_011792933.1
OG0000002	WP_041916771.1	WP_181409370.1
OG0000002	WP_153304957.1	WP_206215584.1
OG0000002	WP_015403778.1	WP_010939222.1
OG0000004	WP_015402402.1	WP_011791556.1
OG0000005	WP_015403762.1	WP_011791849.1, WP_011792761.1
OG0000005	WP_015405658.1, WP_015404343.1, WP_015403003.1	WP_011791532.1
OG0000006	WP_015405458.1	WP_011792901.1
OG0000007	WP_015405611.1	WP_011791331.1
OG0000007	WP_015405734.1	WP_010939647.1
OG0000007	WP_015403055.1	WP_043629999.1
OG0000007	WP_015403101.1	WP_011791362.1, WP_223294679.1
OG0000008	WP_015403510.1	WP_011793161.1
OG0000008	WP_015404768.1	WP_011791419.1
OG0000009	WP_015405427.1	WP_011791502.1
OG0000010	WP_153304882.1	WP_011791455.1, WP_011787338.1
OG0000010	WP_015404221.1	WP_011792554.1
OG0000010	WP_015404682.1	WP_011791544.1
OG0000012	WP_015405394.1	WP_011791325.1
OG0000012	WP_015403532.1	WP_010938711.1
OG0000012	WP_228130022.1	WP_011791433.1
OG0000012	WP_015403471.1	WP_011787301.1
OG0000013	WP_015404193.1	WP_010937451.1
OG0000014	WP_015403048.1	WP_010939857.1
OG0000015	WP_015403214.1	WP_011792453.1
OG0000018	WP_015405040.1, WP_015405587.1	WP_011787361.1
OG0000018	WP_228130074.1, WP_015404241.1	WP_011793112.1
OG0000019	WP_015403161.1	WP_010938382.1
OG0000020	WP_015404863.1	WP_010937483.1
OG0000021	WP_015405210.1	WP_011791863.1
OG0000023	WP_015403474.1	WP_010939713.1, WP_011792776.1
OG0000024	WP_015405350.1	WP_011791375.1
OG0000024	WP_015402645.1, WP_015402478.1	WP_011792124.1
OG0000026	WP_015403738.1	WP_010940054.1
OG0000027	WP_083907219.1	WP_011791819.1, WP_011792816.1, WP_011791657.1
OG0000028	WP_015404516.1, WP_015405200.1	WP_043629613.1
OG0000028	WP_015404192.1	WP_010940221.1
OG0000029	WP_015402451.1	WP_010940296.1
OG0000029	WP_167320727.1	WP_010939259.1
OG0000030	WP_015403340.1	WP_011792490.1
OG0000030	WP_228130041.1	WP_011792766.1
OG0000031	WP_015404265.1	WP_011792678.1
OG0000032	WP_015403801.1	WP_011791761.1, WP_014524547.1
OG0000033	WP_015403598.1	WP_011792568.1
OG0000034	WP_015404767.1	WP_011791418.1
OG0000034	WP_015403456.1	WP_011792893.1
OG0000035	WP_015403874.1, WP_015403839.1	WP_011792514.1, WP_181409361.1, WP_011791918.1, WP_010939346.1, WP_011792644.1
OG0000038	WP_015404535.1	WP_010938341.1
OG0000038	WP_015402313.1	WP_010938662.1
OG0000040	WP_015404697.1	WP_010937647.1
OG0000040	WP_015404696.1	WP_011787337.1
OG0000040	WP_015403788.1, WP_015404594.1	WP_043629357.1
OG0000041	WP_015404769.1	WP_011791420.1
OG0000042	WP_041916557.1	WP_011792510.1
OG0000042	WP_015403963.1, WP_015404842.1	WP_011791387.1
OG0000042	WP_015404992.1	WP_011792450.1
OG0000043	WP_015402371.1, WP_015402367.1	WP_010938268.1
OG0000045	WP_015402866.1, WP_015402879.1	WP_011792363.1
OG0000046	WP_015402438.1	WP_011792325.1
OG0000046	WP_015404864.1	WP_081428943.1
OG0000047	WP_015405593.1, WP_015404707.1	WP_223294624.1
OG0000048	WP_015404100.1	WP_011792687.1
OG0000049	WP_015404873.1	WP_011792396.1
OG0000052	WP_015405485.1	WP_011791785.1
OG0000053	WP_015404739.1	WP_011792107.1
OG0000053	WP_015405788.1	WP_011787362.1
OG0000053	WP_228130071.1	WP_011792251.1
OG0000055	WP_015404642.1	WP_011791568.1
OG0000056	WP_015402552.1	WP_043629981.1, WP_011791784.1
OG0000058	WP_015402352.1	WP_010938574.1
OG0000059	WP_015403273.1	WP_010937832.1
OG0000060	WP_015403496.1	WP_011792468.1
OG0000062	WP_041916419.1	WP_010939658.1
OG0000063	WP_015404799.1	WP_010937703.1
OG0000064	WP_015405262.1, WP_015404547.1, WP_015402710.1	WP_011792376.1
OG0000065	WP_015402775.1, WP_015402615.1	WP_010938763.1
OG0000065	WP_015402731.1	WP_010938364.1
OG0000067	WP_015404777.1	WP_011791864.1
OG0000069	WP_015403151.1, WP_015402608.1, WP_015403747.1, WP_015404352.1	WP_010940354.1
OG0000070	WP_015405051.1	WP_011792560.1, WP_011792594.1
OG0000070	WP_015404487.1, WP_228130013.1	WP_223294581.1
OG0000071	WP_015405451.1	WP_010937857.1
OG0000072	WP_015405452.1	WP_010937856.1
OG0000075	WP_015403341.1	WP_010938534.1
OG0000076	WP_015405226.1	WP_223294670.1
OG0000077	WP_015404654.1	WP_010938705.1
OG0000077	WP_015404715.1, WP_015404669.1	WP_011792992.1
OG0000078	WP_015404958.1	WP_011791625.1
OG0000078	WP_015402312.1, WP_015403864.1	WP_011792202.1
OG0000079	WP_015402977.1, WP_015405417.1, WP_015404623.1	WP_011792883.1
OG0000080	WP_015403975.1	WP_223294589.1
OG0000082	WP_015405296.1	WP_010937942.1, WP_010939878.1, WP_010939503.1, WP_011793168.1, WP_010937359.1
OG0000083	WP_015405472.1	WP_049758075.1
OG0000085	WP_015403009.1, WP_015404908.1, WP_167320721.1	WP_011791400.1
OG0000085	WP_153304855.1	WP_011792371.1
OG0000086	WP_015403683.1	WP_011792617.1
OG0000086	WP_265588649.1	WP_011792911.1
OG0000087	WP_015405668.1	WP_010940040.1
OG0000088	WP_015405225.1	WP_011792102.1
OG0000091	WP_015404791.1	WP_043629736.1
OG0000092	WP_015403008.1, WP_015402386.1	WP_011791541.1
OG0000093	WP_015402704.1	WP_010938329.1
OG0000094	WP_015404703.1	WP_011791565.1
OG0000095	WP_265588636.1	WP_011792244.1
OG0000097	WP_015403348.1, WP_015403223.1	WP_011792054.1
OG0000098	WP_015405453.1	WP_011792837.1
OG0000100	WP_015404401.1, WP_167320752.1, WP_015404701.1, WP_015404229.1, WP_015404121.1	WP_010939709.1, WP_011791837.1
OG0000101	WP_228130039.1, WP_015403666.1	WP_010939270.1, WP_011792822.1
OG0000102	WP_015405674.1	WP_010940470.1
OG0000103	WP_015404021.1, WP_015402491.1	WP_010938528.1
OG0000104	WP_015403990.1	WP_010939083.1, WP_014524275.1
OG0000105	WP_015404793.1, WP_015402408.1, WP_015404215.1	WP_010938500.1
OG0000106	WP_015403625.1, WP_015404007.1	WP_011792615.1
OG0000107	WP_052326938.1	WP_010937936.1
OG0000110	WP_015405228.1	WP_010939354.1
OG0000112	WP_015403936.1	WP_011792830.1, WP_011792050.1
OG0000113	WP_015403318.1, WP_015404088.1	WP_010940378.1
OG0000114	WP_015404279.1	WP_011792216.1
