Orthogroup	Shewanella oneidensis MR-1	Desulfotalea psychrophila LSv54
OG0000001	WP_011073330.1	WP_011187475.1
OG0000001	WP_011071093.1	WP_011189956.1
OG0000001	WP_011072190.1	WP_011187505.1
OG0000001	WP_164925657.1, WP_011073617.1	WP_041277893.1, WP_011188215.1
OG0000001	WP_011073204.1	WP_011189221.1
OG0000001	WP_011071723.1	WP_049785109.1
OG0000001	WP_011073385.1	WP_041277878.1
OG0000001	WP_011073536.1, WP_011072697.1	WP_011187493.1
OG0000002	WP_011071850.1	WP_011188785.1
OG0000002	WP_011074078.1	WP_041277525.1
OG0000002	WP_011071049.1	WP_041277737.1
OG0000002	WP_011071300.1	WP_011188232.1, WP_011188476.1, WP_011188678.1, WP_011189225.1
OG0000003	WP_011073445.1, WP_011073402.1, WP_011071312.1, WP_011074163.1, WP_011071497.1, WP_011074086.1, WP_011072257.1, WP_011071256.1, WP_011073766.1	WP_011188221.1
OG0000003	WP_011073164.1	WP_011188222.1
OG0000004	WP_011073049.1, WP_011073640.1	WP_162096622.1, WP_011188268.1, WP_011189167.1, WP_011189166.1, WP_011189165.1, WP_162096658.1, WP_162096636.1, WP_011190354.1, WP_162096666.1
OG0000005	WP_011072501.1, WP_011071458.1	WP_011189533.1, WP_011188126.1
OG0000007	WP_011074183.1	WP_011189794.1
OG0000007	WP_164925702.1	WP_011188868.1
OG0000008	WP_011073986.1, WP_011073326.1, WP_011071990.1	WP_049785079.1
OG0000008	WP_011074282.1	WP_049785046.1
OG0000009	WP_011071150.1, WP_011073726.1	WP_011188127.1
OG0000009	WP_164925773.1	WP_049785091.1
OG0000009	WP_011071594.1	WP_011189261.1
OG0000010	WP_011073061.1	WP_011187276.1
OG0000011	WP_011073029.1	WP_011188428.1, WP_011187691.1, WP_011188598.1, WP_011190294.1, WP_041277567.1, WP_011188753.1
OG0000012	WP_011073115.1	WP_041277505.1
OG0000012	WP_011074303.1	WP_011188284.1
OG0000014	WP_011074069.1	WP_083818925.1
OG0000015	WP_011072514.1	WP_041277718.1
OG0000015	WP_011072017.1	WP_011187538.1
OG0000016	WP_011072504.1	WP_011188795.1
OG0000016	WP_011072497.1	WP_049785056.1
OG0000017	WP_011071143.1	WP_011188709.1, WP_011188698.1
OG0000017	WP_011070777.1, WP_011071144.1, WP_011073357.1	WP_011188693.1
OG0000018	WP_011073068.1	WP_162096611.1, WP_011189821.1, WP_011187258.1
OG0000019	WP_011071727.1	WP_011189126.1
OG0000020	WP_011074129.1, WP_011074133.1	WP_011189009.1, WP_011190228.1
OG0000021	WP_011071922.1	WP_011187396.1
OG0000021	WP_011071923.1	WP_011188418.1, WP_011188449.1, WP_011187395.1, WP_011188419.1
OG0000022	WP_011071803.1, WP_011072720.1	WP_011189113.1, WP_011188176.1, WP_011188178.1, WP_011187607.1, WP_011188203.1, WP_011189441.1
OG0000022	WP_011071867.1, WP_011071042.1	WP_011187482.1
OG0000024	WP_011073749.1	WP_011188931.1
OG0000024	WP_011071179.1	WP_011189217.1
OG0000024	WP_011073558.1	WP_011188179.1
OG0000026	WP_006084975.1, WP_011070442.1	WP_041278328.1
OG0000027	WP_011074132.1, WP_011074128.1	WP_011190227.1
OG0000027	WP_011071257.1	WP_011187726.1
OG0000030	WP_011071301.1	WP_011188233.1, WP_011187333.1, WP_011189224.1
OG0000032	WP_011074076.1	WP_011189014.1
OG0000033	WP_011074290.1	WP_011187749.1
OG0000034	WP_011073987.1, WP_011073327.1, WP_011071991.1	WP_011189363.1
OG0000034	WP_011074281.1	WP_011188938.1
OG0000035	WP_011074169.1, WP_011070429.1	WP_011187249.1
OG0000036	WP_011073027.1	WP_011190296.1, WP_083819006.1, WP_011188751.1, WP_011187842.1, WP_011188430.1
OG0000037	WP_238560573.1	WP_228130148.1, WP_011190364.1
OG0000038	WP_011073885.1, WP_011073886.1	WP_083818947.1, WP_011189861.1, WP_011189862.1
