Orthogroup	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005
OG0000000	WP_205218903.1	WP_136805244.1
OG0000000	WP_275888964.1	WP_136809874.1, WP_136808305.1
OG0000000	WP_205218029.1	WP_136807632.1
OG0000000	WP_205219382.1	WP_136806855.1
OG0000000	WP_205220319.1	WP_136808413.1
OG0000000	WP_205219819.1	WP_136805435.1
OG0000000	WP_205219336.1, WP_205220180.1	WP_136808161.1
OG0000000	WP_275888939.1	WP_217909566.1
OG0000000	WP_205218170.1	WP_136806271.1
OG0000000	WP_205218473.1	WP_136810261.1, WP_136810305.1, WP_136810299.1
OG0000000	WP_240192009.1	WP_136809765.1
OG0000000	WP_205220096.1	WP_136809225.1
OG0000000	WP_205217973.1	WP_136805595.1
OG0000001	WP_205220029.1	WP_136806607.1
OG0000001	WP_205218203.1	WP_167505925.1
OG0000001	WP_205220038.1	WP_136808786.1
OG0000001	WP_205220390.1	WP_136805177.1
OG0000001	WP_205217623.1	WP_136807476.1, WP_136809287.1, WP_136810389.1
OG0000001	WP_205219167.1	WP_136809108.1
OG0000001	WP_205219701.1	WP_136809201.1, WP_136809645.1
OG0000002	WP_205217333.1	WP_136806247.1
OG0000002	WP_205220147.1	WP_136805222.1
OG0000002	WP_205217673.1	WP_136807288.1
OG0000002	WP_205219874.1	WP_136805570.1
OG0000002	WP_205220297.1	WP_136808067.1
OG0000002	WP_205217653.1	WP_217909654.1, WP_136806069.1
OG0000002	WP_205218384.1	WP_136807684.1, WP_136810832.1, WP_136805614.1
OG0000004	WP_240192101.1, WP_205218090.1	WP_176371583.1, WP_136806049.1, WP_136810154.1
OG0000004	WP_205220090.1, WP_205217587.1	WP_267313779.1
OG0000004	WP_205217538.1	WP_136805478.1
OG0000004	WP_240192123.1, WP_205219499.1	WP_167505723.1
OG0000004	WP_205217688.1	WP_136808745.1
OG0000005	WP_205217585.1	WP_136806687.1, WP_136809485.1, WP_136810251.1
OG0000005	WP_240192106.1	WP_228723321.1, WP_136810234.1, WP_136807296.1, WP_136805496.1, WP_136806590.1
OG0000006	WP_205218839.1	WP_136810272.1
OG0000006	WP_205219511.1	WP_136805497.1
OG0000007	WP_240192033.1	WP_228723385.1
OG0000007	WP_205217665.1	WP_136805469.1
OG0000007	WP_205219793.1	WP_136809767.1
OG0000008	WP_205218335.1	WP_136809211.1
OG0000008	WP_205219114.1	WP_136805538.1
OG0000008	WP_205218627.1	WP_136806200.1
OG0000009	WP_240192111.1	WP_136810250.1
OG0000009	WP_205217584.1	WP_136806688.1, WP_136809487.1
OG0000009	WP_240192132.1	WP_167505902.1
OG0000010	WP_205219586.1	WP_136809831.1, WP_136808438.1, WP_136808682.1, WP_136807956.1, WP_136809828.1, WP_136805073.1, WP_136807955.1, WP_136805343.1, WP_136810734.1, WP_136810733.1, WP_167506104.1, WP_217909528.1
OG0000011	WP_205219955.1	WP_136806782.1, WP_136810628.1
OG0000011	WP_205219705.1, WP_205219709.1	WP_136808936.1
OG0000011	WP_205220094.1	WP_228723280.1
OG0000011	WP_205217300.1	WP_136810666.1, WP_136810070.1, WP_217909606.1
OG0000012	WP_205218963.1	WP_167506099.1
OG0000012	WP_205217637.1	WP_136805114.1
OG0000013	WP_240191996.1	WP_136806862.1
OG0000013	WP_205218303.1	WP_136806858.1
OG0000013	WP_205218476.1	WP_217909556.1, WP_136810308.1
OG0000013	WP_205218471.1	WP_136810262.1, WP_136810302.1, WP_136810264.1
OG0000014	WP_205218288.1	WP_136808146.1, WP_136808979.1
OG0000014	WP_205219411.1	WP_136808641.1
OG0000015	WP_205217767.1	WP_136806902.1
OG0000015	WP_205218648.1	WP_228723428.1
OG0000017	WP_205220326.1	WP_136808412.1, WP_176371602.1, WP_136808421.1, WP_136807419.1, WP_136809354.1
OG0000017	WP_205219770.1	WP_136808420.1
OG0000017	WP_205218243.1, WP_275888989.1, WP_275888990.1	WP_136808428.1
OG0000017	WP_275889003.1	WP_136809551.1, WP_136805229.1
OG0000018	WP_205218117.1	WP_136806347.1
OG0000018	WP_205219840.1	WP_136808506.1
OG0000019	WP_205217874.1	WP_136810058.1
OG0000019	WP_205218289.1	WP_136808145.1, WP_217909488.1
OG0000020	WP_205217884.1	WP_136810213.1
