Orthogroup	Desulfovibrio ferrophilus IS5	Desulforhopalus vacuolatus DSM 9700
OG0000000	WP_126376458.1	WP_205218903.1
OG0000000	WP_126379731.1	WP_205219382.1
OG0000000	WP_126379473.1, WP_126380421.1	WP_205218170.1
OG0000000	WP_126377754.1	WP_205218473.1
OG0000000	WP_126380558.1	WP_240192009.1
OG0000001	WP_126376510.1, WP_172961810.1	WP_205220029.1, WP_205218534.1, WP_205218203.1
OG0000001	WP_126375555.1	WP_205220038.1
OG0000001	WP_126376875.1, WP_126378261.1, WP_172961567.1, WP_126380896.1	WP_205220390.1
OG0000001	WP_126377423.1, WP_232034871.1, WP_126377178.1, WP_126375573.1, WP_126379609.1, WP_172961793.1, WP_126380918.1, WP_126377950.1	WP_205217623.1
OG0000001	WP_172961763.1	WP_205219701.1
OG0000001	WP_172961701.1	WP_205217806.1
OG0000002	WP_126378796.1	WP_205218384.1
OG0000002	WP_126380628.1	WP_205217849.1
OG0000005	WP_172961730.1	WP_205220331.1, WP_205219789.1, WP_275889005.1, WP_240192106.1
OG0000006	WP_126377248.1	WP_205218504.1
OG0000007	WP_126381476.1	WP_240192033.1
OG0000007	WP_126375925.1	WP_205217665.1
OG0000007	WP_126381411.1	WP_205219793.1
OG0000008	WP_126379377.1	WP_205218335.1
OG0000008	WP_126380866.1	WP_205219114.1
OG0000009	WP_126376614.1	WP_205217584.1, WP_240192132.1
OG0000010	WP_126380086.1, WP_172961677.1, WP_172961672.1, WP_126377455.1, WP_126380060.1, WP_232034795.1, WP_126380611.1, WP_126377453.1, WP_172961742.1, WP_126375855.1	WP_205219586.1
OG0000011	WP_126381100.1, WP_126380384.1	WP_205219423.1
OG0000011	WP_126380793.1	WP_205217300.1
OG0000012	WP_232034787.1	WP_205217637.1
OG0000013	WP_232034900.1	WP_240191996.1
OG0000013	WP_126378023.1	WP_205218303.1
OG0000013	WP_126376569.1, WP_126379729.1	WP_205218476.1
OG0000013	WP_126376573.1	WP_205218471.1
OG0000014	WP_126377105.1, WP_126380551.1	WP_205219172.1
OG0000015	WP_126376089.1	WP_205218648.1
OG0000019	WP_126380934.1	WP_205217874.1
OG0000019	WP_126380549.1	WP_205219173.1
OG0000020	WP_126375608.1	WP_205217884.1
OG0000021	WP_126379862.1	WP_205218466.1
OG0000021	WP_126379959.1, WP_126381453.1	WP_205218500.1
OG0000024	WP_126381489.1	WP_205218703.1
OG0000024	WP_126380860.1	WP_205218933.1
OG0000026	WP_126380889.1	WP_240191995.1
OG0000027	WP_126376537.1, WP_126377878.1	WP_240192067.1
OG0000028	WP_126376567.1	WP_205218475.1
OG0000028	WP_126378035.1, WP_126379735.1, WP_126378025.1	WP_205218307.1
OG0000029	WP_126377624.1	WP_205219870.1
OG0000030	WP_126376853.1	WP_205220225.1
OG0000030	WP_232034763.1	WP_205218797.1
OG0000030	WP_126380627.1	WP_205217848.1
OG0000031	WP_126379174.1	WP_205217958.1
OG0000033	WP_232034906.1	WP_205218725.1
OG0000033	WP_126380666.1	WP_205219469.1
OG0000036	WP_126375559.1	WP_205217302.1
OG0000038	WP_232034908.1	WP_205218672.1
OG0000038	WP_126376738.1	WP_205219654.1
OG0000039	WP_126378763.1	WP_205217786.1, WP_205219425.1
OG0000039	WP_126378255.1, WP_126379639.1	WP_205217373.1
OG0000040	WP_172961731.1	WP_205219588.1
OG0000041	WP_172961587.1	WP_205217528.1, WP_205219357.1
OG0000042	WP_126379529.1	WP_240192126.1
OG0000042	WP_126377521.1	WP_205218976.1
OG0000043	WP_172961570.1, WP_126380768.1, WP_126380936.1, WP_126378951.1	WP_205218478.1
OG0000045	WP_126379890.1	WP_205218812.1
OG0000048	WP_126381030.1	WP_205220104.1
OG0000048	WP_232034796.1	WP_205217850.1
OG0000053	WP_126381249.1	WP_205219828.1
OG0000053	WP_126377151.1	WP_205219575.1
OG0000055	WP_126379655.1	WP_205219062.1
OG0000055	WP_126380209.1	WP_205220003.1
OG0000057	WP_172961733.1	WP_205218283.1
OG0000058	WP_126375819.1	WP_205217357.1
OG0000059	WP_232034798.1	WP_205218630.1
OG0000060	WP_126379040.1, WP_232034744.1	WP_205219391.1
OG0000061	WP_126381032.1	WP_205220106.1
OG0000062	WP_126379963.1, WP_126379859.1	WP_205218468.1
OG0000063	WP_126380494.1	WP_205217751.1
OG0000064	WP_126377057.1	WP_205218680.1, WP_205219039.1
OG0000065	WP_126379932.1	WP_205217314.1
OG0000065	WP_126379160.1	WP_205217454.1
OG0000067	WP_126379961.1, WP_126379861.1	WP_205218467.1
OG0000067	WP_126380869.1	WP_275888956.1
OG0000069	WP_126379705.1	WP_240192079.1
OG0000071	WP_126379188.1	WP_205219780.1
OG0000072	WP_126378397.1	WP_205219779.1
OG0000074	WP_126379593.1	WP_205218276.1
OG0000075	WP_126380626.1	WP_205217847.1
OG0000075	WP_126376867.1	WP_205218385.1
OG0000077	WP_126379711.1	WP_205219095.1
OG0000078	WP_172961764.1	WP_205219761.1
OG0000079	WP_232034839.1	WP_205217405.1
OG0000079	WP_172961766.1	WP_205219237.1
OG0000080	WP_126375851.1, WP_126375849.1	WP_205220256.1, WP_205220254.1
OG0000084	WP_172961782.1, WP_126379819.1	WP_205217368.1
OG0000085	WP_172961786.1	WP_205217395.1
