Orthogroup	Desulfocapsa_13_biocide	Acidithiobacillus ferrooxidans YNTRS-40
OG0000000	Utg858432_110	WP_009566311.1
OG0000000	Utg863716_60, Utg857046_66	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1
OG0000000	Utg859750_35	WP_012537338.1
OG0000000	Utg861744_76	WP_012606622.1
OG0000001	Utg863716_50, Utg863716_105, Utg861448_49, Utg860814_100, Utg857152_206, Utg857300_46, Utg859236_118, Utg859432_61, Utg857300_26, Utg857994_39	WP_049756718.1
OG0000002	Utg862138_35	WP_012537438.1
OG0000007	Utg858432_132	WP_009568266.1
OG0000007	Utg862138_39	WP_009566877.1
OG0000007	Utg857076_16	WP_012606613.1
OG0000008	Utg857076_45	WP_012537153.1
OG0000008	Utg857152_123	WP_009566498.1
OG0000008	Utg859388_41, Utg859098_370	WP_012536971.1, WP_009566514.1
OG0000010	Utg857046_180	WP_009561151.1
OG0000012	Utg857046_150	WP_233459585.1
OG0000013	Utg864866_75	WP_049756730.1
OG0000014	Utg859076_41, Utg857994_28	WP_012607383.1, WP_009567373.1, WP_012535790.1
OG0000014	Utg857682_136	WP_009561490.1, WP_012607578.1
OG0000014	Utg861744_121, Utg861744_120	WP_012536921.1
OG0000015	Utg859388_25, Utg862138_18	WP_009564938.1
OG0000017	Utg860006_13, Utg860006_18	WP_012536473.1
OG0000018	Utg859098_213, Utg860006_167, Utg859098_43, Utg860006_169	WP_012536801.1
OG0000019	Utg864866_31	WP_012536513.1
OG0000020	Utg859098_133, Utg866558_48, Utg859098_147	WP_012537033.1
OG0000022	Utg859098_220, Utg863716_101, Utg859236_119, Utg859388_124	WP_009564993.1
OG0000023	Utg859388_168	WP_009567699.1
OG0000024	Utg863716_104	WP_012536221.1
OG0000024	Utg859098_279	WP_012536512.1
OG0000026	Utg857152_94	WP_012536917.1, WP_012537155.1
OG0000027	Utg863716_17, Utg857300_35, Utg857300_34, Utg857046_152, Utg857046_153	WP_012536289.1, WP_012536670.1
OG0000029	Utg859982_26	WP_012537258.1
OG0000030	Utg861744_16, Utg857994_103, Utg857152_237	WP_012536529.1
OG0000031	Utg857490_1, Utg857076_58, Utg857152_167, Utg859388_158	WP_054608952.1
OG0000033	Utg857682_66	WP_012537578.1, WP_012536825.1
OG0000033	Utg860814_171	WP_012536110.1
OG0000034	Utg859388_40, Utg859388_39, Utg859098_369	WP_012536972.1, WP_009566515.1
OG0000037	Utg857994_225, Utg859098_26, Utg857300_65, Utg857490_34, Utg857300_66	WP_225487349.1, WP_012536406.1, WP_225487644.1, WP_012606573.1, WP_009565786.1
OG0000037	Utg858494_23	WP_009567088.1
OG0000038	Utg860006_50, Utg860814_278, Utg860814_277	WP_012537610.1, WP_009566921.1, WP_009566923.1
OG0000041	Utg859098_368, Utg857046_101, Utg857682_137	WP_009564623.1, WP_009565495.1
OG0000042	Utg857152_197, Utg857152_116, Utg859236_105	WP_012536408.1
OG0000046	Utg857994_85, Utg857994_86, Utg860006_158, Utg859098_176, Utg857152_215	WP_012537032.1
OG0000047	Utg858432_158, Utg857046_163, Utg857994_168	WP_257246645.1, WP_225487355.1, WP_252725196.1
OG0000048	Utg857682_54	WP_012536680.1
OG0000049	Utg857152_93	WP_009567000.1, WP_009567335.1
OG0000050	Utg860006_110	WP_012536375.1
OG0000050	Utg859076_1, Utg860006_111	WP_012536374.1
OG0000050	Utg859076_7	WP_012536347.1
OG0000053	Utg859388_13	WP_009565974.1
OG0000053	Utg857046_30	WP_009564595.1
OG0000055	Utg859098_163	WP_012536534.1
OG0000058	Utg860814_210, Utg859098_128, Utg866558_45, Utg859098_142, Utg860814_129	WP_009564125.1
OG0000061	Utg857682_55	WP_012536678.1
OG0000063	Utg859388_77	WP_009560828.1, WP_151528215.1, WP_180830446.1, WP_151528213.1, WP_054608640.1, WP_257257267.1, WP_054608824.1, WP_012537288.1
OG0000064	Utg860006_63	WP_009566490.1
OG0000065	Utg864866_69	WP_012536179.1
OG0000065	Utg859750_21	WP_012536434.1
OG0000069	Utg857682_89, Utg857076_29	WP_009567370.1
OG0000070	Utg859098_224	WP_012535972.1
OG0000070	Utg860006_144	WP_012536036.1
OG0000077	Utg857994_161	WP_012536420.1
OG0000078	Utg860814_279, Utg857152_21	WP_012536784.1
OG0000079	Utg861744_10, Utg859750_81, Utg860006_159	WP_012536378.1, WP_229129778.1, WP_012536377.1
OG0000085	Utg860814_319, Utg860814_167	WP_054609046.1, WP_012537430.1, WP_230456338.1
OG0000086	Utg860006_109	WP_054608841.1
OG0000091	Utg860814_64	WP_012536362.1, WP_012537064.1, WP_225487639.1
OG0000091	Utg859388_68	WP_009561353.1
OG0000093	Utg859750_86	WP_009564668.1
OG0000094	Utg858494_66	WP_012607230.1
OG0000094	Utg857994_186	WP_012536031.1
OG0000095	Utg857152_143	WP_226834132.1
OG0000095	Utg860006_150	WP_012536481.1
OG0000096	Utg858498_18	WP_012536595.1
OG0000097	Utg859982_50, Utg859982_49, Utg861744_24	WP_012607461.1
OG0000101	Utg865370_31, Utg859750_57	WP_009560846.1, WP_012537491.1
OG0000103	Utg857046_198, Utg857152_173	WP_009566205.1, WP_054608900.1, WP_009567505.1
OG0000104	Utg857046_251	WP_054608783.1, WP_012536624.1
OG0000105	Utg859388_70	WP_012536834.1
OG0000106	Utg857076_51, Utg857300_18, Utg857046_214	WP_012536953.1
OG0000112	Utg857152_85, Utg857682_172	WP_009567621.1
OG0000113	Utg860814_145	WP_012536025.1
OG0000115	Utg857152_65	WP_012536267.1
OG0000115	Utg860006_127	WP_012537150.1
OG0000117	Utg857046_88	WP_012536516.1, WP_012536851.1
OG0000126	Utg859388_82	WP_009561865.1
OG0000127	Utg857490_17	WP_009562383.1, WP_012536821.1
OG0000128	Utg863716_100	WP_012537059.1
OG0000128	Utg859098_212	WP_009562675.1
OG0000129	Utg860814_286	WP_012537381.1
OG0000129	Utg857682_35	WP_009563104.1
OG0000130	Utg864866_91, Utg857992_39	WP_012535980.1
OG0000131	Utg857994_138	WP_012536872.1, WP_012536232.1
OG0000132	Utg859098_255	WP_012536482.1
OG0000133	Utg857046_90	WP_012536518.1
OG0000134	Utg864866_54	WP_012536758.1
OG0000134	Utg859098_168	WP_012536689.1, WP_012537087.1
OG0000135	Utg857152_96	WP_012536874.1
OG0000136	Utg858498_14	WP_226833862.1
OG0000141	Utg857682_146	WP_151528219.1, WP_012537095.1, WP_009564717.1, WP_009569278.1, WP_009566566.1, WP_012537108.1, WP_012536550.1
OG0000142	Utg860814_204	WP_009565767.1
OG0000143	Utg859750_71	WP_012535762.1
OG0000144	Utg859388_32	WP_012536261.1
OG0000144	Utg859388_58	WP_012535990.1
OG0000145	Utg860814_102, Utg860814_101	WP_012536065.1
OG0000147	Utg859388_78	WP_012536474.1
OG0000149	Utg857300_12	WP_012536987.1
OG0000150	Utg859982_197, Utg857046_26, Utg857152_38	WP_012537129.1
OG0000151	Utg860814_299, Utg857046_167	WP_012537514.1
OG0000158	Utg859098_391	WP_054609079.1
OG0000158	Utg863716_72	WP_009561172.1
OG0000159	Utg857994_88	WP_009562226.1
OG0000160	Utg863716_47	WP_009562607.1
OG0000162	Utg857046_72	WP_009566069.1
OG0000163	Utg861744_18, Utg857076_25	WP_009567122.1
OG0000164	Utg857300_2	WP_009567465.1
OG0000165	Utg859432_36	WP_012536010.1
OG0000166	Utg858432_139	WP_012536041.1
OG0000166	Utg861744_93	WP_226833941.1
OG0000167	Utg864866_73, Utg859982_154	WP_012536954.1
OG0000169	Utg859982_43	WP_012536327.1
OG0000171	Utg859982_151, Utg859982_152	WP_012536824.1
OG0000172	Utg860006_25	WP_012536912.1, WP_054609094.1
OG0000174	Utg860814_189	WP_012536983.1
OG0000175	Utg857994_220	WP_087455007.1
OG0000176	Utg859982_112	WP_012537694.1
OG0000183	Utg859982_223, Utg862138_16	WP_009566651.1, WP_009561179.1
OG0000184	Utg859236_54	WP_009562054.1
OG0000187	Utg858494_144, Utg858494_131	WP_009566505.1
OG0000188	Utg857152_35	WP_054608791.1, WP_012536043.1, WP_009567117.1
OG0000190	Utg859982_184	WP_180830499.1
OG0000190	Utg864866_78	WP_012536152.1
OG0000191	Utg857152_179	WP_012536198.1
OG0000193	Utg859388_6, Utg861448_64, Utg859388_5, Utg859750_20	WP_012536453.1
OG0000194	Utg861744_61, Utg861744_41	WP_012536581.1
OG0000195	Utg859098_286, Utg860814_283	WP_012536731.1, WP_055448950.1, WP_054608711.1
OG0000196	Utg862138_14	WP_012537302.1
OG0000198	Utg857046_189	WP_012537594.1
OG0000198	Utg859098_241	WP_012537705.1
OG0000199	Utg857152_82, Utg859098_216	WP_012537596.1
OG0000200	Utg861744_45	WP_012537660.1
OG0000209	Utg857046_253	WP_009560794.1
OG0000210	Utg857300_1	WP_012536485.1, WP_009560819.1
OG0000211	Utg859432_43	WP_009560875.1
OG0000212	Utg859982_111	WP_009560877.1
OG0000214	Utg862138_34	WP_009562639.1, WP_012537439.1
OG0000215	Utg859982_83	WP_031572872.1
OG0000215	Utg861744_111	WP_009567346.1
OG0000216	Utg857046_32	WP_012606601.1, WP_009567592.1
OG0000217	Utg859236_44	WP_009567626.1
OG0000218	Utg861448_5, Utg857682_32, Utg857682_33	WP_012536052.1
OG0000219	Utg859098_413, Utg860814_128, Utg857152_18	WP_012536999.1, WP_012536156.1
OG0000222	Utg857076_18	WP_012536488.1
OG0000223	Utg859388_18	WP_012536535.1
OG0000223	Utg857046_78	WP_180830504.1
OG0000224	Utg859982_58, Utg857682_161	WP_012536669.1
OG0000225	Utg859982_121	WP_012537676.1
OG0000225	Utg864866_44	WP_012536768.1
OG0000226	Utg857152_57	WP_012536936.1, WP_012536937.1
OG0000227	Utg857992_19	WP_012536947.1
OG0000228	Utg857994_154	WP_012606556.1
OG0000229	Utg857682_96	WP_233459570.1
OG0000230	Utg859098_371, Utg859098_166	WP_054608848.1
OG0000232	Utg859982_75, Utg859982_74, Utg859982_73	WP_054609073.1
OG0000233	Utg859098_376, Utg857682_51	WP_180830512.1
OG0000234	Utg860006_56	WP_225487654.1
OG0000248	Utg859432_49	WP_012536050.1
OG0000250	Utg859098_87	WP_009562194.1
OG0000252	Utg862138_13	WP_009565424.1
OG0000253	Utg858432_42	WP_012536020.1, WP_009566305.1
OG0000254	Utg859076_2	WP_009567060.1
OG0000255	Utg861744_84	WP_012536293.1
OG0000255	Utg859432_74	WP_009567251.1, WP_009567700.1
OG0000256	Utg862138_36	WP_012537437.1
OG0000257	Utg859236_23	WP_012536012.1
OG0000258	Utg859236_13, Utg860814_310, Utg857994_234	WP_012536034.1
OG0000259	Utg860006_137	WP_012607080.1
OG0000260	Utg860814_156	WP_233459567.1, WP_012536828.1
OG0000260	Utg859432_35	WP_012536397.1
OG0000261	Utg860006_76	WP_012536559.1, WP_157293185.1
OG0000262	Utg859098_276	WP_012536942.1
OG0000263	Utg857682_148	WP_225487436.1
OG0000263	Utg859750_52	WP_012537110.1
OG0000264	Utg857152_109	WP_012537655.1
OG0000265	Utg857152_107	WP_012537657.1
OG0000266	Utg857152_69	WP_012537658.1
OG0000267	Utg857046_62, Utg857046_61	WP_012607294.1, WP_054608871.1, WP_061046412.1
OG0000268	Utg863716_97	WP_041646068.1
OG0000269	Utg858494_54, Utg858494_55	WP_054609063.1
OG0000270	Utg860814_173, Utg864866_30	WP_229129792.1
OG0000283	Utg861744_134	WP_009560879.1
OG0000284	Utg857300_22	WP_009560923.1
OG0000285	Utg859236_43	WP_009567365.1, WP_009561385.1, WP_009565301.1, WP_054608740.1, WP_009565762.1
OG0000289	Utg859388_8, Utg859388_7	WP_009565770.1
OG0000290	Utg860006_88	WP_215905594.1, WP_229129783.1, WP_009566370.1, WP_229129815.1
OG0000292	Utg857490_19	WP_009566482.1
OG0000293	Utg862138_17	WP_009566650.1
OG0000294	Utg859750_51	WP_009566880.1
OG0000294	Utg857682_147	WP_151528220.1, WP_012537092.1, WP_012536342.1, WP_012537537.1, WP_012537109.1, WP_012536551.1
OG0000295	Utg860006_49, Utg857994_140	WP_009566924.1
OG0000296	Utg857152_73	WP_009567461.1
OG0000297	Utg861744_20	WP_009567888.1
OG0000299	Utg862138_30	WP_012536067.1
OG0000300	Utg861744_126	WP_012537695.1, WP_012536306.1
OG0000301	Utg858494_110	WP_012536440.1
