Orthogroup	Species	Acidithiobacillus ferrooxidans YNTRS-40	Orthologs
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_009566311.1	WP_205218903.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_009566311.1	WP_136797951.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_009566311.1	WP_136805244.1
OG0000000	Desulfocapsa_13_biocide	WP_009566311.1	Utg858432_110
OG0000000	Desulfocapsa_06_corrosive	WP_009566311.1	Utg323632_218
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_009566311.1	WP_015405628.1
OG0000000	Desulfotalea psychrophila LSv54	WP_009566311.1	WP_011190064.1
OG0000000	Desulfovibrio vulgaris DP4	WP_009566311.1	WP_011791609.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_009566311.1	WP_126376458.1
OG0000000	Geobacter sulfurreducens PCA	WP_009566311.1	WP_010941477.1
OG0000000	Geobacter sulfurreducens PCA	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1	WP_164930426.1
OG0000000	Desulfocapsa_06_corrosive	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1	Utg323180_238, Utg323316_173
OG0000000	Desulfocapsa_13_biocide	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1	Utg863716_60, Utg857046_66
OG0000000	Shewanella oneidensis MR-1	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1	WP_011074101.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1	WP_136796659.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1	WP_136808356.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_012536296.1	WP_126378998.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_012537338.1	WP_172961667.1
OG0000000	Desulfovibrio vulgaris DP4	WP_012537338.1	WP_011791966.1, WP_011793108.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_012537338.1	WP_136808675.1, WP_136810094.1, WP_136807718.1, WP_136805463.1
OG0000000	Desulfocapsa_13_biocide	WP_012537338.1	Utg859750_35
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_012537338.1	WP_228130058.1
OG0000000	Desulfocapsa_06_corrosive	WP_012537338.1	Utg323180_69
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_012537338.1	WP_136796539.1
OG0000000	Desulfotalea psychrophila LSv54	WP_012537338.1	WP_011188526.1
OG0000000	Geobacter sulfurreducens PCA	WP_012537338.1	WP_010943112.1, WP_232008971.1
OG0000000	Desulfocapsa_06_corrosive	WP_009560941.1, WP_009567366.1	Utg323180_151
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_009560941.1, WP_009567366.1	WP_136806758.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_009560941.1, WP_009567366.1	WP_217907626.1
OG0000000	Desulfovibrio vulgaris DP4	WP_009560941.1, WP_009567366.1	WP_010940215.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_012606622.1	WP_205217973.1
OG0000000	Desulfovibrio vulgaris DP4	WP_012606622.1	WP_011787377.1
OG0000000	Desulfocapsa_13_biocide	WP_012606622.1	Utg861744_76
OG0000000	Shewanella oneidensis MR-1	WP_012606622.1	WP_011074107.1
OG0000001	Desulfocapsa_06_corrosive	WP_049756718.1	Utg323180_225, Utg323180_287, Utg323180_510, Utg323180_136, Utg323300_105, Utg324810_63, Utg325220_101, Utg323316_129, Utg323180_418, Utg323074_106, Utg323180_183
