Orthogroup	Geobacter sulfurreducens PCA	Desulfocapsa_06_corrosive
OG0000000	WP_010941477.1	Utg323632_218
OG0000000	WP_010943217.1	Utg323180_444, Utg323262_151, Utg323180_138
OG0000000	WP_010942684.1	Utg323990_62
OG0000000	WP_010942141.1	Utg323074_126
OG0000000	WP_164930426.1	Utg323180_238, Utg323316_173
OG0000000	WP_010942633.1	Utg323140_46
OG0000000	WP_010943144.1, WP_010941701.1	Utg323152_286, Utg323632_278, Utg323152_278
OG0000000	WP_010941027.1	Utg323140_222, Utg323392_13
OG0000000	WP_010943112.1, WP_232008971.1	Utg323180_69
OG0000000	WP_010943974.1	Utg323262_120
OG0000000	WP_010941040.1, WP_010941138.1	Utg323152_412
OG0000001	WP_010942201.1	Utg323180_225
OG0000001	WP_010942515.1, WP_235044972.1	Utg323180_136
OG0000001	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	Utg323300_105, Utg324810_63
OG0000001	WP_010941620.1	Utg323180_418, Utg323074_106
OG0000001	WP_010943599.1, WP_010942049.1	Utg323180_183
OG0000002	WP_010943324.1, WP_010943450.1, WP_010943451.1	Utg323632_46
OG0000002	WP_010940689.1	Utg323300_181
OG0000004	WP_010941506.1	Utg323316_191, Utg323152_14
OG0000004	WP_010942299.1, WP_081461260.1, WP_235044997.1	Utg323300_14
OG0000005	WP_010941920.1	Utg323300_198
OG0000005	WP_010943211.1, WP_010941570.1	Utg323140_36, Utg323632_133, Utg323262_94, Utg323392_93
OG0000005	WP_235044858.1	Utg323300_274, Utg323392_174
OG0000006	WP_235044977.1, WP_010942572.1	Utg323392_94
OG0000006	WP_010942659.1, WP_010942687.1, WP_010943149.1, WP_010941142.1, WP_010941614.1, WP_010941205.1	Utg323160_106
OG0000006	WP_010943170.1	Utg323392_72
OG0000007	WP_010942419.1	Utg323632_239
OG0000007	WP_010941916.1	Utg323180_86
OG0000007	WP_010942909.1	Utg323632_51
OG0000007	WP_010943050.1	Utg323152_106
OG0000007	WP_010941823.1, WP_010942828.1	Utg323262_116
OG0000007	WP_010941338.1	Utg323316_118
OG0000007	WP_010941994.1	Utg323180_130
OG0000007	WP_010941164.1	Utg323632_81
OG0000008	WP_010941163.1	Utg323632_80
OG0000008	WP_010941060.1	Utg323160_91, Utg323262_89
OG0000008	WP_010943303.1	Utg323300_399
OG0000009	WP_010942536.1	Utg323990_129
OG0000009	WP_010943210.1	Utg323632_134, Utg323140_138, Utg323392_3
OG0000009	WP_010941672.1	Utg323180_612
OG0000009	WP_010942117.1	Utg323152_586
OG0000010	WP_010942493.1	Utg323316_272, Utg323316_267, Utg323316_264
OG0000010	WP_010942158.1	Utg323990_20
OG0000010	WP_235044891.1	Utg323316_270
OG0000010	WP_010941657.1	Utg323074_203
OG0000012	WP_010941139.1	Utg323180_153
OG0000012	WP_010941973.1	Utg323316_174
OG0000012	WP_010943547.1	Utg323160_104
OG0000013	WP_010941970.1, WP_010941778.1	Utg323180_446, Utg323180_450, Utg323140_219, Utg323140_226
OG0000014	WP_010943740.1	Utg323262_128
OG0000014	WP_010941119.1, WP_010943578.1	Utg324810_58
OG0000015	WP_010943443.1	Utg323392_212, Utg323632_27
OG0000015	WP_010943159.1	Utg323140_90
OG0000015	WP_010940939.1, WP_010943414.1	Utg325220_80
OG0000016	WP_010941071.1	Utg323152_301
OG0000016	WP_010942859.1, WP_010942689.1	Utg323300_407, Utg323300_334
OG0000017	WP_010942680.1	Utg323990_184
OG0000017	WP_049786599.1	Utg323990_193
OG0000017	WP_010942420.1, WP_010942421.1	Utg323180_486
OG0000018	WP_010941294.1, WP_010942155.1	Utg323262_9, Utg323990_12
OG0000019	WP_010941763.1	Utg323140_131
OG0000019	WP_010942524.1	Utg323300_146
OG0000019	WP_010943739.1	Utg323262_127
OG0000020	WP_010943745.1	Utg323300_116
OG0000022	WP_010942550.1, WP_010941573.1, WP_010941244.1, WP_010940866.1, WP_010940882.1	Utg323152_194, Utg323180_278, Utg323392_113
OG0000023	WP_010943046.1	Utg323180_594
OG0000023	WP_010941206.1	Utg323392_65, Utg323180_593
OG0000024	WP_010940864.1	Utg323074_45
OG0000024	WP_010941582.1	Utg323152_134
OG0000026	WP_010943583.1	Utg323632_118
OG0000026	WP_010942793.1	Utg323300_169
OG0000026	WP_010943263.1, WP_010941067.1	Utg323300_371
OG0000027	WP_010941441.1	Utg323180_189, Utg323300_117, Utg323300_118, Utg323392_80
OG0000028	WP_010941609.1	Utg323262_65, Utg323990_173, Utg323140_52, Utg323140_220, Utg323180_452
OG0000030	WP_010944016.1	Utg323160_85
OG0000030	WP_010943289.1	Utg323160_112
OG0000031	WP_010940767.1	Utg323262_74
OG0000033	WP_010941969.1	Utg323140_147, Utg323140_146
OG0000035	WP_010943212.1, WP_010941571.1, WP_010942704.1	Utg323300_305, Utg323300_236
OG0000038	WP_010940700.1	Utg323990_153
OG0000038	WP_010943808.1	Utg323180_685
OG0000038	WP_010941445.1, WP_010941452.1	Utg323180_684
OG0000040	WP_010942495.1	Utg323990_200, Utg323990_66
OG0000042	WP_010943811.1	Utg323180_126
OG0000042	WP_010941591.1	Utg323300_393, Utg323262_141
OG0000042	WP_010942434.1	Utg323152_383
OG0000043	WP_010941851.1	Utg323140_196
OG0000043	WP_010942192.1	Utg323990_243, Utg323160_116
OG0000044	WP_235045025.1, WP_010941704.1, WP_010941143.1, WP_235044883.1, WP_010941489.1, WP_010940687.1, WP_010940929.1, WP_010941354.1, WP_235044900.1, WP_010943968.1, WP_010943441.1, WP_010944047.1, WP_010941544.1, WP_010942925.1, WP_010943621.1, WP_010943770.1, WP_235044903.1, WP_010943307.1, WP_010940779.1, WP_010943202.1, WP_010941024.1, WP_010943020.1, WP_010943024.1, WP_010941698.1, WP_235044983.1, WP_010943203.1, WP_010943083.1	Utg323316_69
OG0000044	WP_010943167.1, WP_235044979.1	Utg323300_443
