Orthogroup	Desulfovibrio ferrophilus IS5	Other
OG0000033	WP_232034906.1	WP_217909439.1
OG0000077	WP_126379711.1	WP_205219018.1
OG0000148	WP_126375591.1	WP_136805685.1, WP_136806118.1
