Orthogroup	Desulfocapsa_13_biocide	Desulfotalea psychrophila LSv54
OG0000000	Utg858432_110	WP_011190064.1
OG0000000	Utg857994_144	WP_011189962.1
OG0000000	Utg859098_309	WP_156792258.1
OG0000000	Utg864866_108	WP_011188283.1
OG0000000	Utg864866_50	WP_011187621.1
OG0000000	Utg858432_5	WP_041277753.1
OG0000000	Utg860006_129	WP_041278710.1
OG0000000	Utg859098_426	WP_011187582.1
OG0000000	Utg859750_35	WP_011188526.1
OG0000000	Utg860006_108, Utg857046_247, Utg859982_65	WP_049785130.1, WP_011187784.1
OG0000001	Utg863716_50	WP_011188793.1, WP_011187475.1
OG0000001	Utg861448_49	WP_011189956.1
OG0000001	Utg857300_46	WP_011187505.1
OG0000001	Utg859236_118	WP_011189031.1
OG0000001	Utg859432_61	WP_011187559.1
OG0000001	Utg857994_39	WP_011187493.1
OG0000002	Utg857046_190	WP_041277844.1
OG0000002	Utg862138_35	WP_011188785.1
OG0000002	Utg862138_47	WP_041277737.1
OG0000002	Utg857994_102	WP_011189225.1
OG0000002	Utg857152_238	WP_041277652.1
OG0000003	Utg861744_3	WP_011188222.1
OG0000004	Utg859236_110	WP_162096622.1
OG0000004	Utg858432_88	WP_162096666.1
OG0000005	Utg860814_182, Utg864866_21, Utg864866_22, Utg857152_208, Utg859982_207	WP_011189533.1, WP_011188126.1
OG0000007	Utg858432_132	WP_011189794.1
OG0000007	Utg862138_39	WP_011188868.1
OG0000007	Utg859432_67	WP_011189025.1
OG0000007	Utg857152_200	WP_011187745.1
OG0000008	Utg859098_370	WP_049785046.1
OG0000009	Utg860814_183	WP_011188127.1
OG0000009	Utg864866_20	WP_049785091.1
OG0000011	Utg860814_134	WP_011188428.1, WP_011187691.1
OG0000011	Utg859982_61	WP_011190294.1
OG0000011	Utg859236_66	WP_011188753.1
OG0000012	Utg859388_126	WP_041278033.1
OG0000012	Utg864866_48	WP_041277505.1
OG0000012	Utg858432_54	WP_156792326.1
OG0000012	Utg857046_150	WP_011188284.1
OG0000014	Utg861744_121, Utg861744_120	WP_083818925.1
OG0000015	Utg859388_25, Utg862138_18	WP_041277718.1
OG0000015	Utg864866_65	WP_228130190.1
OG0000016	Utg859098_114	WP_011189892.1
OG0000017	Utg860006_13, Utg860006_18	WP_011188698.1
OG0000018	Utg859098_213	WP_011189821.1
OG0000019	Utg864866_31	WP_011189126.1
OG0000020	Utg857300_36	WP_011189009.1
OG0000021	Utg859098_363	WP_011188449.1
OG0000022	Utg859236_119	WP_011189441.1
OG0000023	Utg859388_168	WP_041277852.1
OG0000024	Utg863716_104	WP_011188931.1
OG0000025	Utg857300_39, Utg860814_248, Utg857046_69, Utg857046_70, Utg860814_224, Utg859098_288, Utg859098_275, Utg864866_19, Utg857046_255, Utg860814_14, Utg857994_30, Utg858432_70	WP_162096631.1
OG0000026	Utg857152_94	WP_041278328.1
OG0000027	Utg857300_35	WP_011189010.1
OG0000027	Utg857300_34	WP_011190227.1
OG0000027	Utg859388_156, Utg863716_16	WP_011187726.1
OG0000028	Utg857076_67	WP_041277631.1
OG0000029	Utg859982_26	WP_011189114.1
OG0000030	Utg857994_103	WP_011189224.1
OG0000030	Utg857152_237	WP_041277653.1
OG0000031	Utg857490_1	WP_041277675.1
OG0000031	Utg857152_167	WP_011188253.1
OG0000032	Utg857300_30	WP_011189014.1
OG0000033	Utg860814_171	WP_011187749.1
OG0000034	Utg859098_369	WP_011188938.1
OG0000035	Utg863716_35	WP_011187249.1
OG0000036	Utg859982_60	WP_011190296.1, WP_083819006.1
OG0000036	Utg859236_64	WP_011188751.1
OG0000038	Utg860006_50	WP_083818947.1
OG0000038	Utg860814_278	WP_011189861.1
OG0000038	Utg860814_277	WP_011189862.1
OG0000040	Utg859098_48, Utg860006_147	WP_041277819.1
OG0000040	Utg857046_175	WP_011187281.1
OG0000041	Utg859098_368	WP_011188937.1
OG0000041	Utg857046_101	WP_011190076.1
OG0000041	Utg857682_137	WP_041277450.1
OG0000042	Utg857152_116	WP_011187375.1
OG0000043	Utg859236_121, Utg860814_118	WP_228130175.1
OG0000043	Utg859750_58	WP_011187331.1
OG0000047	Utg858432_158, Utg857046_163	WP_011190450.1
OG0000048	Utg857682_54	WP_011188265.1
OG0000048	Utg857046_28	WP_228130155.1
OG0000049	Utg857152_93	WP_011187473.1, WP_049785016.1
OG0000050	Utg860006_110	WP_011188967.1
OG0000050	Utg859076_1	WP_011189772.1
OG0000050	Utg860006_111	WP_041277820.1
OG0000050	Utg859076_8	WP_041277480.1
OG0000051	Utg857152_166	WP_011188254.1
OG0000052	Utg859982_225, Utg857076_61	WP_011188194.1, WP_041277630.1, WP_011188193.1
OG0000052	Utg857682_28, Utg857046_241, Utg857994_129, Utg857152_135	WP_041277548.1, WP_041277545.1
OG0000055	Utg859098_163	WP_011189432.1
OG0000057	Utg859098_394, Utg859982_23, Utg859098_431, Utg864866_2	WP_011189027.1
OG0000058	Utg860814_210	WP_011190338.1
OG0000059	Utg859098_365	WP_011189102.1, WP_011189104.1
OG0000060	Utg859388_118, Utg857300_57, Utg866558_9	WP_011187768.1
OG0000060	Utg860006_140, Utg860006_141	WP_011189467.1
OG0000061	Utg857682_55	WP_011188264.1
OG0000061	Utg859076_31	WP_011189049.1
OG0000063	Utg857992_35	WP_041277748.1
OG0000063	Utg859388_77	WP_011190024.1
OG0000064	Utg860006_63	WP_011188922.1
OG0000064	Utg859750_77	WP_011190321.1
OG0000065	Utg859750_21	WP_041277642.1
OG0000069	Utg857076_29	WP_041278071.1
OG0000071	Utg860814_115	WP_011188512.1
OG0000072	Utg860814_114	WP_011188511.1
OG0000075	Utg857152_236	WP_041277654.1
OG0000075	Utg857994_104	WP_265588547.1
OG0000076	Utg859076_57, Utg860814_43, Utg859098_152	WP_011189884.1
OG0000079	Utg861744_10, Utg859750_81	WP_041278114.1
OG0000082	Utg859098_98	WP_011189907.1
OG0000084	Utg859236_68	WP_011188741.1
OG0000085	Utg860814_319, Utg860814_167	WP_011188000.1
OG0000086	Utg860006_109	WP_011188968.1, WP_041277821.1, WP_228130156.1
OG0000087	Utg859982_51	WP_011190071.1
OG0000088	Utg859076_58, Utg859098_154, Utg859098_153	WP_041278034.1
OG0000091	Utg860814_64	WP_011189088.1
OG0000091	Utg859388_68	WP_265588615.1
OG0000092	Utg860814_99	WP_041277704.1
OG0000093	Utg859750_86	WP_011187627.1, WP_041277722.1
OG0000095	Utg857152_143	WP_011187326.1
OG0000095	Utg860006_150	WP_011189875.1
OG0000097	Utg859982_50, Utg859982_49	WP_011190072.1
OG0000098	Utg860814_113	WP_011188510.1
OG0000098	Utg859076_14	WP_011189729.1
OG0000101	Utg859750_57	WP_011187560.1
OG0000102	Utg858432_73	WP_011190131.1
OG0000103	Utg857046_198	WP_041277624.1
OG0000104	Utg857994_15	WP_011189410.1
OG0000105	Utg859388_70	WP_011190029.1
OG0000105	Utg860814_77	WP_041277849.1
OG0000106	Utg857076_51, Utg857300_18	WP_011189715.1
OG0000106	Utg857046_214	WP_011188105.1
OG0000107	Utg857682_17, Utg857682_16	WP_011189658.1
OG0000108	Utg858498_15	WP_011189642.1
OG0000108	Utg860814_242	WP_011188953.1
OG0000110	Utg859076_54, Utg859098_150	WP_011189886.1
OG0000111	Utg859236_65	WP_011188752.1
OG0000111	Utg857682_166	WP_041277690.1
OG0000112	Utg857152_85	WP_011188067.1
OG0000113	Utg857046_73	WP_041277425.1
OG0000114	Utg858494_132	WP_011188364.1
OG0000114	Utg863716_30	WP_011187252.1
OG0000117	Utg857046_88	WP_011188472.1
OG0000117	Utg864866_33	WP_011189124.1
OG0000118	Utg864866_34	WP_011189123.1
OG0000118	Utg857046_89	WP_011188471.1
OG0000121	Utg857994_195	WP_011187278.1
OG0000122	Utg859982_24	WP_228130180.1
OG0000122	Utg860814_103	WP_011188940.1
OG0000123	Utg859098_151	WP_011189885.1
OG0000123	Utg859236_117	WP_011189032.1
OG0000124	Utg860814_41, Utg860814_178	WP_011190234.1, WP_011187713.1, WP_011189499.1, WP_049784968.1, WP_049784989.1, WP_011187740.1, WP_011188230.1, WP_011188228.1, WP_041278040.1, WP_011188206.1, WP_011188205.1, WP_011188517.1, WP_011187537.1, WP_011189140.1, WP_049785065.1, WP_011189139.1, WP_041277858.1, WP_049785064.1
OG0000125	Utg857046_44	WP_011189064.1
OG0000125	Utg859982_62	WP_011190268.1
OG0000126	Utg859388_82	WP_011190020.1
OG0000127	Utg857490_17	WP_011188334.1, WP_011188335.1
OG0000128	Utg863716_100	WP_011190249.1
OG0000128	Utg859098_212	WP_041278021.1
OG0000131	Utg857994_138	WP_011189957.1
OG0000131	Utg859236_14	WP_011187291.1
OG0000132	Utg859098_255	WP_156792284.1
OG0000133	Utg864866_36	WP_049785062.1
OG0000133	Utg857046_90	WP_011188470.1
OG0000134	Utg864866_54	WP_011188144.1
OG0000134	Utg859098_168	WP_011189428.1
OG0000136	Utg859098_181	WP_011189843.1
OG0000136	Utg858498_14	WP_156792292.1
OG0000137	Utg857046_87	WP_011188473.1
OG0000138	Utg859388_169	WP_041277553.1, WP_198408700.1
OG0000142	Utg860814_204	WP_156792321.1
OG0000142	Utg861448_10, Utg861448_11	WP_041277814.1
OG0000143	Utg859750_71	WP_011190324.1
OG0000144	Utg859388_58	WP_011189528.1
OG0000145	Utg860814_101	WP_156792207.1
OG0000147	Utg859388_78	WP_011190023.1
OG0000148	Utg859236_120	WP_011190200.1
OG0000150	Utg859982_197	WP_156792302.1
OG0000150	Utg857152_38	WP_011188038.1
OG0000151	Utg860814_299, Utg857046_167	WP_156792391.1
OG0000152	Utg860814_109	WP_011188507.1
OG0000152	Utg860814_116	WP_011188513.1
OG0000154	Utg865370_5	WP_011188535.1
OG0000155	Utg859098_381	WP_011189442.1
OG0000155	Utg859098_382	WP_011189443.1
OG0000156	Utg859982_64	WP_041278107.1
OG0000160	Utg863716_47	WP_228130154.1
OG0000161	Utg859236_62	WP_265588605.1, WP_265588604.1
OG0000162	Utg857046_72	WP_011187311.1
OG0000163	Utg861744_18	WP_049784999.1
OG0000163	Utg857076_25	WP_011190105.1
OG0000164	Utg857300_2	WP_011187437.1
OG0000165	Utg859432_36	WP_011187672.1
OG0000166	Utg858432_139	WP_041278008.1
OG0000167	Utg864866_73, Utg859982_154	WP_011189983.1
OG0000169	Utg859982_43	WP_041278049.1
OG0000170	Utg857152_75	WP_228130166.1
OG0000170	Utg857152_74	WP_228130165.1
OG0000171	Utg859982_151	WP_049785111.1
OG0000172	Utg860006_25	WP_011188712.1
