Orthogroup	Species	Desulfotalea psychrophila LSv54	Orthologs
OG0000000	Geobacter sulfurreducens PCA	WP_011190064.1	WP_010941477.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_011190064.1	WP_009566311.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011190064.1	WP_011791609.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011190064.1	WP_126376458.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011190064.1	WP_205218903.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011190064.1	WP_136797951.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011190064.1	WP_136805244.1
OG0000000	Desulfocapsa_13_biocide	WP_011190064.1	Utg858432_110
OG0000000	Desulfocapsa_06_corrosive	WP_011190064.1	Utg323632_218
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011190064.1	WP_015405628.1
OG0000000	Geobacter sulfurreducens PCA	WP_011189962.1	WP_010942141.1
OG0000000	Desulfocapsa_13_biocide	WP_011189962.1	Utg857994_144
OG0000000	Desulfocapsa_06_corrosive	WP_011189962.1	Utg323074_126
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011189962.1	WP_015404730.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011189962.1	WP_136797758.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011189962.1	WP_136805435.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011189962.1	WP_205219819.1
OG0000000	Desulfocapsa_06_corrosive	WP_156792258.1	Utg323152_90
OG0000000	Desulfocapsa_13_biocide	WP_156792258.1	Utg859098_309
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_156792258.1	WP_136808161.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_156792258.1	WP_136795330.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_156792258.1	WP_205219336.1, WP_205220180.1
OG0000000	Geobacter sulfurreducens PCA	WP_011187715.1	WP_010941631.1
OG0000000	Desulfocapsa_06_corrosive	WP_011188283.1	Utg323140_46
OG0000000	Desulfocapsa_13_biocide	WP_011188283.1	Utg864866_108
OG0000000	Geobacter sulfurreducens PCA	WP_011188283.1	WP_010942633.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011188283.1	WP_136809937.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011188283.1	WP_136797600.1, WP_136796723.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011187621.1, WP_041277753.1	WP_011791326.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011187621.1	WP_015403526.1
OG0000000	Desulfocapsa_06_corrosive	WP_011187621.1	Utg323140_105
OG0000000	Desulfocapsa_13_biocide	WP_011187621.1	Utg864866_50
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011187621.1	WP_136808232.1
OG0000000	Desulfocapsa_13_biocide	WP_041277753.1	Utg858432_5
OG0000000	Desulfocapsa_06_corrosive	WP_041277753.1	Utg323632_66
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_041277753.1	WP_015405714.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_041277753.1	WP_217909566.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_041277753.1	WP_275942930.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_041277753.1	WP_275888939.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_041278710.1	WP_126379473.1, WP_126380421.1
OG0000000	Desulfovibrio vulgaris DP4	WP_041278710.1	WP_010938712.1, WP_011791434.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_041278710.1	WP_205218170.1
OG0000000	Desulfocapsa_06_corrosive	WP_041278710.1	Utg323990_84
OG0000000	Desulfocapsa_13_biocide	WP_041278710.1	Utg860006_129
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_041278710.1	WP_015404574.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_041278710.1	WP_136806271.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_041278710.1	WP_136795862.1
OG0000000	Geobacter sulfurreducens PCA	WP_011187582.1	WP_010941027.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011187582.1	WP_126380558.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011187582.1	WP_011792079.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011187582.1	WP_136809765.1, WP_167506066.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011187582.1	WP_136795637.1, WP_136796984.1
OG0000000	Desulfocapsa_13_biocide	WP_011187582.1	Utg859098_426
OG0000000	Desulfocapsa_06_corrosive	WP_011187582.1	Utg323392_13
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011187582.1	WP_240192009.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_011188526.1	WP_012537338.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011188526.1	WP_172961667.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011188526.1	WP_011791966.1, WP_011793108.1
OG0000000	Geobacter sulfurreducens PCA	WP_011188526.1	WP_010943112.1, WP_232008971.1
OG0000000	Desulfocapsa_13_biocide	WP_011188526.1	Utg859750_35
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011188526.1	WP_228130058.1
OG0000000	Desulfocapsa_06_corrosive	WP_011188526.1	Utg323180_69
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011188526.1	WP_136807718.1, WP_136805463.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011188526.1	WP_136796539.1
OG0000000	Desulfovibrio vulgaris DP4	WP_049785130.1, WP_011187784.1	WP_011791645.1
OG0000000	Desulfocapsa_13_biocide	WP_049785130.1, WP_011187784.1	Utg860006_108, Utg857046_247, Utg859982_65
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_049785130.1, WP_011187784.1	WP_167495805.1, WP_136799754.1, WP_136799532.1, WP_136796349.1, WP_136796152.1
OG0000000	Desulfocapsa_06_corrosive	WP_049785130.1, WP_011187784.1	Utg323152_529
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_049785130.1, WP_011187784.1	WP_217909594.1, WP_167505720.1, WP_136809225.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_049785130.1, WP_011187784.1	WP_205220096.1
OG0000001	Acidithiobacillus ferrooxidans YNTRS-40	WP_011188793.1, WP_011187475.1, WP_011189956.1, WP_011187505.1, WP_041277893.1, WP_011188215.1, WP_011189761.1, WP_011189031.1, WP_011187559.1, WP_011189221.1, WP_049785109.1, WP_041277878.1, WP_011187493.1, WP_011189550.1	WP_049756718.1
OG0000001	Desulfocapsa_06_corrosive	WP_011188793.1, WP_011187475.1	Utg323180_225
OG0000001	Desulfocapsa_13_biocide	WP_011188793.1, WP_011187475.1	Utg863716_50
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011188793.1, WP_011187475.1	WP_136796374.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011188793.1, WP_011187475.1	WP_126376510.1, WP_172961810.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011188793.1	WP_205218534.1
OG0000001	Shewanella oneidensis MR-1	WP_011187475.1	WP_011073330.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011187475.1	WP_205218203.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011187475.1	WP_167505925.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011189956.1	WP_205220390.1
OG0000001	Desulfocapsa_13_biocide	WP_011189956.1	Utg861448_49
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011189956.1	WP_136805177.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011189956.1	WP_136798931.1
OG0000001	Shewanella oneidensis MR-1	WP_011189956.1	WP_011071093.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011189956.1	WP_126376875.1, WP_126378261.1, WP_172961567.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011189956.1	WP_011791528.1, WP_011791603.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_011189956.1	WP_015403644.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011187505.1	WP_205217623.1
OG0000001	Geobacter sulfurreducens PCA	WP_011187505.1	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1
OG0000001	Shewanella oneidensis MR-1	WP_011187505.1	WP_011072190.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011187505.1	WP_136809287.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011187505.1	WP_136799410.1
OG0000001	Desulfocapsa_06_corrosive	WP_011187505.1	Utg323300_105
OG0000001	Desulfocapsa_13_biocide	WP_011187505.1	Utg857300_46
OG0000001	Desulfovibrio vulgaris DP4	WP_041277893.1, WP_011188215.1	WP_011791763.1
OG0000001	Shewanella oneidensis MR-1	WP_041277893.1, WP_011188215.1	WP_164925657.1, WP_011073617.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_041277893.1, WP_011188215.1	WP_015402591.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_041277893.1, WP_011188215.1	WP_205219167.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_041277893.1, WP_011188215.1	WP_136809108.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011189761.1, WP_011189031.1, WP_011187559.1, WP_011189221.1	WP_136809201.1, WP_136809645.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011189761.1, WP_011189031.1, WP_011187559.1, WP_011189221.1	WP_223294637.1
OG0000001	Desulfocapsa_13_biocide	WP_011189031.1	Utg859236_118
OG0000001	Desulfocapsa_06_corrosive	WP_011189031.1	Utg325220_101
OG0000001	Desulfovibrio ferrophilus IS5	WP_011189031.1	WP_126379817.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011187559.1	WP_172961763.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011187559.1	WP_205219701.1
OG0000001	Desulfocapsa_13_biocide	WP_011187559.1	Utg859432_61
OG0000001	Shewanella oneidensis MR-1	WP_011189221.1	WP_011073204.1
OG0000001	Shewanella oneidensis MR-1	WP_049785109.1	WP_011071723.1
OG0000001	Desulfovibrio vulgaris DP4	WP_049785109.1	WP_011792933.1
OG0000001	Desulfocapsa_06_corrosive	WP_049785109.1	Utg323180_418, Utg323074_106, Utg323180_183
OG0000001	Geobacter sulfurreducens PCA	WP_049785109.1	WP_010941620.1, WP_010943599.1, WP_010942049.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_049785109.1	WP_197723432.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_049785109.1	WP_015402480.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_041277878.1, WP_011187493.1	WP_205217330.1
OG0000001	Desulfovibrio vulgaris DP4	WP_041277878.1	WP_011793088.1
OG0000001	Shewanella oneidensis MR-1	WP_041277878.1	WP_011073385.1
OG0000001	Shewanella oneidensis MR-1	WP_011187493.1	WP_011073536.1, WP_011072697.1
