Orthogroup	Desulfovibrio ferrophilus IS5	Desulfocapsa_13_biocide
OG0000000	WP_126376458.1	Utg858432_110
OG0000000	WP_126379949.1	Utg859236_95
OG0000000	WP_126379473.1, WP_126380421.1	Utg860006_129
OG0000000	WP_126375654.1	Utg859098_179
OG0000000	WP_172961679.1	Utg859098_130, Utg866558_41, Utg859098_137
OG0000000	WP_126380558.1	Utg859098_426
OG0000000	WP_172961667.1	Utg859750_35
OG0000000	WP_126377909.1	Utg857076_7
OG0000001	WP_126376510.1, WP_172961810.1	Utg863716_50
OG0000001	WP_126375555.1	Utg863716_105
OG0000001	WP_126376875.1, WP_126378261.1, WP_172961567.1, WP_126380896.1	Utg861448_49
OG0000001	WP_126377423.1	Utg860814_100
OG0000001	WP_126375573.1	Utg857152_206
OG0000001	WP_126379817.1	Utg859236_118
OG0000001	WP_172961763.1	Utg859432_61
OG0000001	WP_126380957.1	Utg857300_26
OG0000002	WP_126375861.1	Utg861744_15
OG0000002	WP_172961625.1	Utg857994_102
OG0000002	WP_126380628.1	Utg857152_238
OG0000003	WP_126377796.1, WP_126379081.1	Utg861744_3
OG0000004	WP_126379990.1	Utg859098_372
OG0000005	WP_172961730.1	Utg858432_84, Utg863716_116, Utg857076_41, Utg857994_89, Utg859388_141, Utg863716_9, Utg857152_2, Utg859388_48
OG0000006	WP_126375547.1	Utg859982_107
OG0000007	WP_126381476.1	Utg858432_132
OG0000007	WP_126375925.1	Utg862138_39
OG0000007	WP_126375605.1, WP_126379380.1	Utg857152_200
OG0000008	WP_126380866.1	Utg861744_12, Utg857076_45
OG0000008	WP_126376430.1	Utg857152_123
OG0000009	WP_126376614.1	Utg864866_20
OG0000009	WP_126381017.1	Utg860814_199, Utg860814_198
OG0000010	WP_126380086.1	Utg857046_180
OG0000010	WP_172961672.1	Utg857046_174, Utg859236_8
OG0000011	WP_126375556.1, WP_126379898.1, WP_126380793.1	Utg857682_167
OG0000012	WP_126379475.1	Utg864866_48, Utg864866_49
OG0000012	WP_232034787.1	Utg858432_54
OG0000012	WP_126380912.1	Utg857046_150
OG0000013	WP_126376628.1	Utg864866_75, Utg863716_117
OG0000013	WP_232034900.1	Utg860814_26
OG0000013	WP_126378023.1	Utg860814_31
OG0000014	WP_126377105.1	Utg859076_41
OG0000014	WP_126380551.1	Utg857994_28
OG0000015	WP_126376089.1	Utg864866_65
OG0000016	WP_126376801.1, WP_126376256.1	Utg859236_123
OG0000016	WP_126378703.1	Utg857152_131
OG0000017	WP_126378688.1, WP_232034745.1	Utg859388_110, Utg859388_121
OG0000019	WP_126380934.1	Utg864866_31
OG0000019	WP_232034874.1	Utg859076_43
OG0000020	WP_126375608.1	Utg857682_69, Utg859098_133, Utg866558_48, Utg859098_147
OG0000020	WP_126375676.1	Utg857152_214
OG0000023	WP_126379216.1	Utg860814_169
OG0000024	WP_126375630.1	Utg863716_104
OG0000024	WP_126380860.1	Utg859098_279
