Orthogroup	Desulforhopalus vacuolatus DSM 9700	Acidithiobacillus ferrooxidans YNTRS-40
OG0000000	WP_205218903.1	WP_009566311.1
OG0000000	WP_205217973.1	WP_012606622.1
OG0000001	WP_205220029.1, WP_205218534.1, WP_205218203.1, WP_205220038.1, WP_205220390.1, WP_205217623.1, WP_205219167.1, WP_205219701.1, WP_205217330.1, WP_205217806.1	WP_049756718.1
OG0000002	WP_205217333.1	WP_009563459.1
OG0000002	WP_205218052.1, WP_205220147.1	WP_012537438.1
OG0000002	WP_205220205.1	WP_009567471.1
OG0000006	WP_205219109.1	WP_229129724.1, WP_230456343.1
OG0000007	WP_240192033.1	WP_009568266.1
OG0000007	WP_205217665.1	WP_009566877.1
OG0000007	WP_205219899.1	WP_012606613.1
OG0000007	WP_205218938.1	WP_012535788.1
OG0000008	WP_205219114.1	WP_012537153.1
OG0000008	WP_205218972.1	WP_012536928.1
OG0000008	WP_205218627.1	WP_012536971.1, WP_009566514.1
OG0000010	WP_205219586.1	WP_009561151.1, WP_012536238.1, WP_009563479.1
OG0000012	WP_205218774.1	WP_233459585.1
OG0000014	WP_205219172.1	WP_012607383.1, WP_009567373.1, WP_012535790.1
OG0000014	WP_205218288.1	WP_009561490.1, WP_012607578.1
OG0000014	WP_205219411.1	WP_012536921.1
OG0000015	WP_205217767.1	WP_009564938.1
OG0000017	WP_205220326.1, WP_205219770.1	WP_012536473.1
OG0000017	WP_275888990.1	WP_012536124.1
OG0000018	WP_205218117.1, WP_205219840.1	WP_012536801.1
OG0000019	WP_205217874.1	WP_012536513.1
OG0000019	WP_205219173.1	WP_009566809.1
OG0000020	WP_205217884.1	WP_012537033.1
OG0000021	WP_205218098.1	WP_012537526.1
OG0000022	WP_205218149.1, WP_205219460.1	WP_009564993.1
OG0000024	WP_205218933.1	WP_012536512.1
OG0000026	WP_240192012.1	WP_012536917.1, WP_012537155.1
OG0000026	WP_240191995.1	WP_012537308.1, WP_054608741.1
OG0000027	WP_240192067.1	WP_012536289.1, WP_012536670.1
OG0000029	WP_205219870.1	WP_012536184.1
OG0000030	WP_205220225.1, WP_205218797.1, WP_205217848.1	WP_012536529.1
OG0000031	WP_205217958.1	WP_054608952.1
OG0000033	WP_205218725.1	WP_009565875.1
OG0000033	WP_205217574.1	WP_012537578.1, WP_012536825.1
OG0000033	WP_205219469.1	WP_012536110.1
OG0000034	WP_205218628.1	WP_012536972.1, WP_009566515.1
OG0000037	WP_275889028.1	WP_225487349.1, WP_012536406.1, WP_225487644.1, WP_012606573.1
OG0000037	WP_205220283.1	WP_009565786.1
OG0000037	WP_275889032.1	WP_111122549.1
OG0000037	WP_240192185.1	WP_009567088.1
OG0000038	WP_205218672.1, WP_205219654.1, WP_205219655.1	WP_012537610.1, WP_009566921.1, WP_009566923.1
OG0000039	WP_205217786.1, WP_205219425.1	WP_051984662.1, WP_180830451.1
OG0000039	WP_205217373.1	WP_180830449.1, WP_012536908.1, WP_012537038.1
OG0000041	WP_205218629.1, WP_205218050.1, WP_205217528.1, WP_205219357.1, WP_205218333.1	WP_009564623.1, WP_009565495.1
OG0000042	WP_240192126.1, WP_205217331.1	WP_012536408.1
OG0000042	WP_205218976.1	WP_012536431.1
OG0000045	WP_205219978.1	WP_225487636.1
OG0000046	WP_205218032.1	WP_012537032.1
