Orthogroup	Desulfotalea psychrophila LSv54	Desulforhopalus vacuolatus DSM 9700
OG0000000	WP_011190064.1	WP_205218903.1
OG0000000	WP_011189962.1	WP_205219819.1
OG0000000	WP_156792258.1	WP_205219336.1, WP_205220180.1
OG0000000	WP_041277753.1	WP_275888939.1
OG0000000	WP_041278710.1	WP_205218170.1
OG0000000	WP_011187582.1	WP_240192009.1
OG0000000	WP_049785130.1, WP_011187784.1	WP_205220096.1
OG0000001	WP_011188793.1	WP_205218534.1
OG0000001	WP_011187475.1	WP_205218203.1
OG0000001	WP_011189956.1	WP_205220390.1
OG0000001	WP_011187505.1	WP_205217623.1
OG0000001	WP_041277893.1, WP_011188215.1	WP_205219167.1
OG0000001	WP_011187559.1	WP_205219701.1
OG0000001	WP_041277878.1, WP_011187493.1	WP_205217330.1
OG0000001	WP_011189550.1	WP_205217806.1
OG0000002	WP_011188785.1	WP_205218052.1, WP_205220147.1
OG0000002	WP_041277525.1	WP_205220205.1
OG0000002	WP_041277737.1	WP_205219874.1
OG0000002	WP_011188678.1	WP_205217653.1
OG0000002	WP_041277652.1	WP_205217849.1
OG0000004	WP_011189167.1, WP_011189166.1, WP_011189165.1	WP_240192173.1
OG0000005	WP_011189533.1, WP_011188126.1	WP_205217585.1
OG0000007	WP_011189794.1	WP_240192033.1
OG0000007	WP_011188868.1	WP_205217665.1
OG0000008	WP_049785046.1	WP_205218627.1
OG0000009	WP_011188127.1	WP_240192111.1
OG0000009	WP_049785091.1	WP_205217584.1, WP_240192132.1
OG0000010	WP_011190434.1, WP_011187276.1	WP_205219586.1
OG0000011	WP_011188428.1, WP_011187691.1	WP_205219955.1
OG0000011	WP_011188598.1	WP_205219705.1, WP_205219709.1
OG0000011	WP_011190294.1	WP_205220094.1
OG0000012	WP_041278033.1	WP_205218963.1
OG0000012	WP_156792326.1	WP_205217637.1
OG0000013	WP_011188729.1	WP_205218476.1
OG0000013	WP_011188732.1	WP_205218471.1
OG0000014	WP_083818925.1	WP_205219411.1
OG0000015	WP_041277718.1	WP_205217767.1
OG0000015	WP_228130190.1	WP_205218648.1
OG0000017	WP_011188698.1	WP_205220326.1
OG0000017	WP_011188693.1	WP_205218243.1, WP_275888989.1, WP_275888990.1
OG0000018	WP_011189821.1	WP_205218117.1
OG0000019	WP_011189126.1	WP_205217874.1
OG0000021	WP_011187396.1	WP_205218466.1
OG0000021	WP_011188418.1	WP_240191977.1
OG0000021	WP_011187395.1	WP_205218500.1
OG0000021	WP_011188419.1	WP_205218098.1
OG0000022	WP_011189441.1	WP_205218149.1
OG0000022	WP_011187482.1	WP_205219460.1
