Orthogroup	Shewanella oneidensis MR-1	Other
OG0000049	WP_011073980.1, WP_164925751.1, WP_011073209.1	Utg323180_54
OG0000049	WP_011073209.1	WP_015402823.1
OG0000077	WP_011073434.1	WP_205219018.1
OG0000148	WP_011074172.1	WP_136805685.1
OG0000338	WP_011072304.1	WP_136795371.1
OG0000888	WP_011073848.1	Utg860814_318
