Orthogroup	Geobacter sulfurreducens PCA	Other
OG0000033	WP_010943225.1	WP_217909439.1
OG0000049	WP_010941476.1, WP_010941028.1	Utg323180_54
OG0000077	WP_010942316.1	WP_205219018.1
OG0000338	WP_010941156.1	WP_136795371.1
OG0000888	WP_010940920.1, WP_010942624.1	Utg860814_318
