Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa_13_biocide
OG0000000	WP_009566311.1	Utg858432_110
OG0000000	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1	Utg863716_60, Utg857046_66
OG0000000	WP_012537338.1	Utg859750_35
OG0000000	WP_012606622.1	Utg861744_76
OG0000001	WP_049756718.1	Utg863716_50, Utg863716_105, Utg861448_49, Utg860814_100, Utg857152_206, Utg857300_46, Utg859236_118, Utg859432_61, Utg857300_26, Utg857994_39
OG0000002	WP_012537438.1	Utg862138_35
OG0000007	WP_009568266.1	Utg858432_132
OG0000007	WP_009566877.1	Utg862138_39
OG0000007	WP_012606613.1	Utg857076_16
OG0000008	WP_012537153.1	Utg857076_45
OG0000008	WP_009566498.1	Utg857152_123
OG0000008	WP_012536971.1, WP_009566514.1	Utg859388_41, Utg859098_370
OG0000010	WP_009561151.1	Utg857046_180
OG0000012	WP_233459585.1	Utg857046_150
OG0000013	WP_049756730.1	Utg864866_75
OG0000014	WP_012607383.1, WP_009567373.1, WP_012535790.1	Utg859076_41, Utg857994_28
OG0000014	WP_009561490.1, WP_012607578.1	Utg857682_136
OG0000014	WP_012536921.1	Utg861744_121, Utg861744_120
OG0000015	WP_009564938.1	Utg859388_25, Utg862138_18
OG0000017	WP_012536473.1	Utg860006_13, Utg860006_18
OG0000018	WP_012536801.1	Utg859098_213, Utg860006_167, Utg859098_43, Utg860006_169
OG0000019	WP_012536513.1	Utg864866_31
OG0000020	WP_012537033.1	Utg859098_133, Utg866558_48, Utg859098_147
OG0000022	WP_009564993.1	Utg859098_220, Utg863716_101, Utg859236_119, Utg859388_124
OG0000023	WP_009567699.1	Utg859388_168
OG0000024	WP_012536221.1	Utg863716_104
OG0000024	WP_012536512.1	Utg859098_279
OG0000026	WP_012536917.1, WP_012537155.1	Utg857152_94
OG0000027	WP_012536289.1, WP_012536670.1	Utg863716_17, Utg857300_35, Utg857300_34, Utg857046_152, Utg857046_153
OG0000029	WP_012537258.1	Utg859982_26
OG0000030	WP_012536529.1	Utg861744_16, Utg857994_103, Utg857152_237
OG0000031	WP_054608952.1	Utg857490_1, Utg857076_58, Utg857152_167, Utg859388_158
OG0000033	WP_012537578.1, WP_012536825.1	Utg857682_66
OG0000033	WP_012536110.1	Utg860814_171
OG0000034	WP_012536972.1, WP_009566515.1	Utg859388_40, Utg859388_39, Utg859098_369
OG0000037	WP_225487349.1, WP_012536406.1, WP_225487644.1, WP_012606573.1, WP_009565786.1	Utg857994_225, Utg859098_26, Utg857300_65, Utg857490_34, Utg857300_66
OG0000037	WP_009567088.1	Utg858494_23
OG0000038	WP_012537610.1, WP_009566921.1, WP_009566923.1	Utg860006_50, Utg860814_278, Utg860814_277
OG0000041	WP_009564623.1, WP_009565495.1	Utg859098_368, Utg857046_101, Utg857682_137
OG0000042	WP_012536408.1	Utg857152_197, Utg857152_116, Utg859236_105
OG0000046	WP_012537032.1	Utg857994_85, Utg857994_86, Utg860006_158, Utg859098_176, Utg857152_215
OG0000047	WP_257246645.1, WP_225487355.1, WP_252725196.1	Utg858432_158, Utg857046_163, Utg857994_168
OG0000048	WP_012536680.1	Utg857682_54
OG0000049	WP_009567000.1, WP_009567335.1	Utg857152_93
OG0000050	WP_012536375.1	Utg860006_110
OG0000050	WP_012536374.1	Utg859076_1, Utg860006_111
OG0000050	WP_012536347.1	Utg859076_7
OG0000053	WP_009565974.1	Utg859388_13
OG0000053	WP_009564595.1	Utg857046_30
OG0000055	WP_012536534.1	Utg859098_163
OG0000058	WP_009564125.1	Utg860814_210, Utg859098_128, Utg866558_45, Utg859098_142, Utg860814_129
OG0000061	WP_012536678.1	Utg857682_55
OG0000063	WP_009560828.1, WP_151528215.1, WP_180830446.1, WP_151528213.1, WP_054608640.1, WP_257257267.1, WP_054608824.1, WP_012537288.1	Utg859388_77
OG0000064	WP_009566490.1	Utg860006_63
OG0000065	WP_012536179.1	Utg864866_69
OG0000065	WP_012536434.1	Utg859750_21
OG0000069	WP_009567370.1	Utg857682_89, Utg857076_29
OG0000070	WP_012535972.1	Utg859098_224
OG0000070	WP_012536036.1	Utg860006_144
OG0000077	WP_012536420.1	Utg857994_161
OG0000078	WP_012536784.1	Utg860814_279, Utg857152_21
OG0000079	WP_012536378.1, WP_229129778.1, WP_012536377.1	Utg861744_10, Utg859750_81, Utg860006_159
OG0000085	WP_054609046.1, WP_012537430.1, WP_230456338.1	Utg860814_319, Utg860814_167
OG0000086	WP_054608841.1	Utg860006_109
OG0000091	WP_012536362.1, WP_012537064.1, WP_225487639.1	Utg860814_64
OG0000091	WP_009561353.1	Utg859388_68
OG0000093	WP_009564668.1	Utg859750_86
OG0000094	WP_012607230.1	Utg858494_66
OG0000094	WP_012536031.1	Utg857994_186
OG0000095	WP_226834132.1	Utg857152_143
OG0000095	WP_012536481.1	Utg860006_150
OG0000096	WP_012536595.1	Utg858498_18
OG0000097	WP_012607461.1	Utg859982_50, Utg859982_49, Utg861744_24
OG0000101	WP_009560846.1, WP_012537491.1	Utg865370_31, Utg859750_57
OG0000103	WP_009566205.1, WP_054608900.1, WP_009567505.1	Utg857046_198, Utg857152_173
OG0000104	WP_054608783.1, WP_012536624.1	Utg857046_251
OG0000105	WP_012536834.1	Utg859388_70
OG0000106	WP_012536953.1	Utg857076_51, Utg857300_18, Utg857046_214
OG0000112	WP_009567621.1	Utg857152_85, Utg857682_172
OG0000113	WP_012536025.1	Utg860814_145
OG0000115	WP_012536267.1	Utg857152_65
OG0000115	WP_012537150.1	Utg860006_127
OG0000117	WP_012536516.1, WP_012536851.1	Utg857046_88
OG0000126	WP_009561865.1	Utg859388_82
OG0000127	WP_009562383.1, WP_012536821.1	Utg857490_17
OG0000128	WP_012537059.1	Utg863716_100
OG0000128	WP_009562675.1	Utg859098_212
OG0000129	WP_012537381.1	Utg860814_286
OG0000129	WP_009563104.1	Utg857682_35
OG0000130	WP_012535980.1	Utg864866_91, Utg857992_39
OG0000131	WP_012536872.1, WP_012536232.1	Utg857994_138
OG0000132	WP_012536482.1	Utg859098_255
OG0000133	WP_012536518.1	Utg857046_90
OG0000134	WP_012536758.1	Utg864866_54
OG0000134	WP_012536689.1, WP_012537087.1	Utg859098_168
OG0000135	WP_012536874.1	Utg857152_96
OG0000136	WP_226833862.1	Utg858498_14
OG0000141	WP_151528219.1, WP_012537095.1, WP_009564717.1, WP_009569278.1, WP_009566566.1, WP_012537108.1, WP_012536550.1	Utg857682_146
OG0000142	WP_009565767.1	Utg860814_204
OG0000143	WP_012535762.1	Utg859750_71
OG0000144	WP_012536261.1	Utg859388_32
OG0000144	WP_012535990.1	Utg859388_58
OG0000145	WP_012536065.1	Utg860814_102, Utg860814_101
OG0000147	WP_012536474.1	Utg859388_78
OG0000149	WP_012536987.1	Utg857300_12
OG0000150	WP_012537129.1	Utg859982_197, Utg857046_26, Utg857152_38
OG0000151	WP_012537514.1	Utg860814_299, Utg857046_167
OG0000158	WP_054609079.1	Utg859098_391
OG0000158	WP_009561172.1	Utg863716_72
OG0000159	WP_009562226.1	Utg857994_88
OG0000160	WP_009562607.1	Utg863716_47
OG0000162	WP_009566069.1	Utg857046_72
OG0000163	WP_009567122.1	Utg861744_18, Utg857076_25
OG0000164	WP_009567465.1	Utg857300_2
OG0000165	WP_012536010.1	Utg859432_36
OG0000166	WP_012536041.1	Utg858432_139
OG0000166	WP_226833941.1	Utg861744_93
OG0000167	WP_012536954.1	Utg864866_73, Utg859982_154
OG0000169	WP_012536327.1	Utg859982_43
OG0000171	WP_012536824.1	Utg859982_151, Utg859982_152
OG0000172	WP_012536912.1, WP_054609094.1	Utg860006_25
OG0000174	WP_012536983.1	Utg860814_189
OG0000175	WP_087455007.1	Utg857994_220
OG0000176	WP_012537694.1	Utg859982_112
OG0000183	WP_009566651.1, WP_009561179.1	Utg859982_223, Utg862138_16
OG0000184	WP_009562054.1	Utg859236_54
OG0000187	WP_009566505.1	Utg858494_144, Utg858494_131
OG0000188	WP_054608791.1, WP_012536043.1, WP_009567117.1	Utg857152_35
OG0000190	WP_180830499.1	Utg859982_184
OG0000190	WP_012536152.1	Utg864866_78
OG0000191	WP_012536198.1	Utg857152_179
OG0000193	WP_012536453.1	Utg859388_6, Utg861448_64, Utg859388_5, Utg859750_20
OG0000194	WP_012536581.1	Utg861744_61, Utg861744_41
OG0000195	WP_012536731.1, WP_055448950.1, WP_054608711.1	Utg859098_286, Utg860814_283
OG0000196	WP_012537302.1	Utg862138_14
OG0000198	WP_012537594.1	Utg857046_189
OG0000198	WP_012537705.1	Utg859098_241
OG0000199	WP_012537596.1	Utg857152_82, Utg859098_216
OG0000200	WP_012537660.1	Utg861744_45
OG0000209	WP_009560794.1	Utg857046_253
OG0000210	WP_012536485.1, WP_009560819.1	Utg857300_1
OG0000211	WP_009560875.1	Utg859432_43
OG0000212	WP_009560877.1	Utg859982_111
OG0000214	WP_009562639.1, WP_012537439.1	Utg862138_34
OG0000215	WP_031572872.1	Utg859982_83
OG0000215	WP_009567346.1	Utg861744_111
OG0000216	WP_012606601.1, WP_009567592.1	Utg857046_32
OG0000217	WP_009567626.1	Utg859236_44
OG0000218	WP_012536052.1	Utg861448_5, Utg857682_32, Utg857682_33
OG0000219	WP_012536999.1, WP_012536156.1	Utg859098_413, Utg860814_128, Utg857152_18
OG0000222	WP_012536488.1	Utg857076_18
OG0000223	WP_012536535.1	Utg859388_18
OG0000223	WP_180830504.1	Utg857046_78
OG0000224	WP_012536669.1	Utg859982_58, Utg857682_161
OG0000225	WP_012537676.1	Utg859982_121
OG0000225	WP_012536768.1	Utg864866_44
OG0000226	WP_012536936.1, WP_012536937.1	Utg857152_57
