Orthogroup	Desulforhopalus vacuolatus DSM 9700	Desulfocapsa_06_corrosive
OG0000000	WP_205218903.1	Utg323632_218
OG0000000	WP_275888964.1	Utg323180_444
OG0000000	WP_205218029.1	Utg323180_138
OG0000000	WP_205220319.1	Utg323990_62
OG0000000	WP_205219819.1	Utg323074_126
OG0000000	WP_205219336.1, WP_205220180.1	Utg323152_90
OG0000000	WP_275888939.1	Utg323632_66
OG0000000	WP_205218170.1	Utg323990_84
OG0000000	WP_205218473.1	Utg323140_222
OG0000000	WP_240192009.1	Utg323392_13
OG0000001	WP_205220029.1, WP_205218534.1, WP_205218203.1	Utg323180_225
OG0000001	WP_205220038.1	Utg323180_287
OG0000001	WP_205217623.1	Utg323180_510, Utg323180_136, Utg323300_105, Utg324810_63
OG0000002	WP_205218052.1, WP_205220147.1	Utg323632_46
OG0000002	WP_205217653.1	Utg323300_202
OG0000004	WP_240192101.1, WP_205218090.1, WP_205220090.1, WP_205217587.1, WP_205217538.1, WP_240192123.1, WP_205219499.1	Utg323180_453
OG0000004	WP_205217688.1	Utg323180_416
OG0000005	WP_205217585.1	Utg323152_472, Utg323392_2, Utg323140_137
OG0000005	WP_205220331.1	Utg323140_36
OG0000005	WP_240192106.1	Utg323262_94, Utg323392_93
OG0000006	WP_205218839.1	Utg323632_356
OG0000006	WP_205219511.1	Utg323392_94
OG0000006	WP_205218504.1	Utg323180_218, Utg323180_148
OG0000007	WP_240192033.1	Utg323632_239
OG0000007	WP_205217665.1	Utg323632_51
OG0000007	WP_205219793.1	Utg323152_106
OG0000007	WP_205219899.1	Utg323262_116
OG0000008	WP_205218335.1	Utg323632_80
OG0000008	WP_205219114.1	Utg323160_91, Utg323262_89
OG0000009	WP_205217584.1	Utg323140_138, Utg323392_3
OG0000010	WP_205219586.1	Utg323316_272, Utg323316_267, Utg323316_264, Utg323990_20, Utg323316_270, Utg323074_203
OG0000011	WP_205219955.1	Utg323180_549
OG0000012	WP_205218963.1	Utg323392_111
OG0000012	WP_205217637.1	Utg323632_113
OG0000012	WP_205218774.1	Utg323160_104
OG0000013	WP_240191996.1	Utg323180_446
OG0000013	WP_205218303.1	Utg323180_450
OG0000013	WP_205218476.1	Utg323140_219
OG0000013	WP_205218471.1	Utg323140_226
OG0000014	WP_205219172.1	Utg323392_110
OG0000014	WP_205218288.1	Utg323262_128
OG0000014	WP_205219411.1	Utg324810_58
OG0000015	WP_205217767.1	Utg323392_212, Utg323632_27
OG0000015	WP_205218648.1	Utg323140_90
OG0000017	WP_205220326.1	Utg323990_184
OG0000017	WP_205218243.1, WP_275888989.1	Utg323990_194
OG0000017	WP_275889003.1	Utg323180_486
OG0000018	WP_205218117.1	Utg323152_201
OG0000019	WP_205217874.1	Utg323140_131
OG0000019	WP_205218289.1	Utg323262_127
OG0000020	WP_205217884.1	Utg323152_283, Utg323632_271, Utg323152_268
OG0000024	WP_205218703.1	Utg323074_45
OG0000026	WP_205218231.1	Utg323140_43
OG0000026	WP_240192012.1	Utg323300_371
OG0000027	WP_240192067.1	Utg323180_189, Utg323300_117, Utg323300_118, Utg323392_80, Utg323392_79, Utg323180_188
OG0000028	WP_205218835.1	Utg323262_65
OG0000028	WP_205218475.1	Utg323140_220
OG0000028	WP_205218307.1	Utg323180_452
OG0000029	WP_205219870.1	Utg323300_179
