Orthogroup	Geobacter sulfurreducens PCA	Desulfosediminicola flagellatus IMCC35005
OG0000000	WP_010941477.1	WP_136805244.1
OG0000000	WP_010943217.1	WP_136809874.1, WP_136808305.1, WP_136806168.1, WP_136807632.1
OG0000000	WP_010943160.1, WP_010940953.1	WP_167505846.1
OG0000000	WP_010941668.1, WP_010942297.1	WP_136806855.1
OG0000000	WP_010942684.1	WP_136808413.1
OG0000000	WP_010942141.1	WP_136805435.1
OG0000000	WP_164930426.1	WP_136808356.1
OG0000000	WP_010942633.1	WP_136809937.1
OG0000000	WP_010943144.1, WP_010941701.1	WP_136807046.1, WP_136810243.1
OG0000000	WP_010941027.1	WP_136810261.1, WP_136810305.1, WP_136810299.1, WP_136809765.1, WP_167506066.1
OG0000000	WP_010943112.1, WP_232008971.1	WP_136810094.1, WP_136807718.1, WP_136805463.1
OG0000000	WP_010943974.1	WP_275942845.1, WP_136808452.1
OG0000000	WP_010941040.1, WP_010941138.1	WP_136805922.1
OG0000001	WP_010942201.1	WP_136806607.1
OG0000001	WP_010942515.1, WP_235044972.1	WP_136807476.1
OG0000001	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_136809287.1, WP_136810389.1
OG0000002	WP_010943450.1, WP_010943451.1	WP_136805222.1
OG0000002	WP_010940689.1	WP_176371628.1
OG0000002	WP_010942147.1	WP_136808433.1
OG0000002	WP_010943582.1	WP_136806489.1
OG0000002	WP_165443456.1	WP_275942839.1
OG0000002	WP_010943290.1	WP_136808992.1
OG0000003	WP_010943007.1, WP_010941428.1, WP_010941246.1, WP_010942348.1, WP_010943814.1	WP_167506110.1, WP_167505749.1
OG0000004	WP_010941506.1	WP_136810396.1
OG0000004	WP_010942299.1, WP_081461260.1, WP_235044997.1	WP_136805197.1, WP_136807033.1, WP_136806447.1, WP_136808898.1
OG0000005	WP_010941379.1	WP_136805867.1, WP_136806188.1, WP_136810073.1, WP_167505954.1, WP_136805540.1
OG0000005	WP_010943211.1, WP_010941570.1	WP_167505797.1, WP_167505775.1, WP_136808058.1, WP_136809942.1, WP_136807023.1, WP_228723321.1, WP_136810234.1, WP_136807296.1, WP_136805496.1, WP_136806590.1
OG0000005	WP_235044858.1	WP_136810322.1
OG0000006	WP_235044977.1, WP_010942572.1	WP_136805497.1
OG0000007	WP_010942419.1	WP_228723385.1
OG0000007	WP_010941916.1	WP_176371586.1
OG0000007	WP_010942909.1	WP_136805469.1
OG0000007	WP_010943050.1	WP_136809767.1
OG0000007	WP_010941338.1	WP_136809687.1
OG0000007	WP_010941994.1	WP_136806719.1, WP_136806549.1
OG0000007	WP_010941164.1	WP_136809210.1
OG0000008	WP_010941163.1	WP_136809211.1
OG0000008	WP_010941060.1	WP_136805538.1
OG0000008	WP_010943408.1	WP_217909514.1
OG0000008	WP_010943303.1	WP_136806594.1
OG0000008	WP_010943335.1	WP_136806200.1
OG0000009	WP_010942536.1	WP_217909495.1
OG0000009	WP_010943210.1	WP_136810250.1, WP_136806688.1, WP_136809487.1, WP_167505902.1, WP_136807024.1
OG0000009	WP_010941672.1	WP_136807801.1
OG0000009	WP_010943260.1, WP_010942584.1	WP_136805233.1, WP_217909581.1
OG0000009	WP_010942117.1	WP_136806587.1
OG0000010	WP_010942493.1	WP_136809831.1
OG0000010	WP_010942893.1	WP_136808438.1, WP_136808682.1
OG0000010	WP_010942601.1	WP_136807956.1, WP_136809828.1, WP_136805073.1
OG0000010	WP_235044891.1, WP_010941657.1	WP_136810734.1
OG0000012	WP_010941439.1	WP_228723378.1
OG0000013	WP_010941970.1, WP_010941778.1	WP_136806862.1, WP_136806858.1, WP_217909556.1, WP_136810308.1, WP_136810262.1, WP_136810302.1, WP_136810264.1
OG0000014	WP_010943740.1	WP_136808146.1, WP_136808979.1
OG0000014	WP_010942788.1	WP_136809185.1
OG0000014	WP_010941119.1, WP_010943578.1	WP_136808641.1
OG0000014	WP_010940825.1	WP_167505806.1
OG0000014	WP_193360255.1	WP_136810371.1, WP_136810514.1
OG0000015	WP_010943443.1	WP_136806902.1
OG0000015	WP_010943159.1	WP_228723428.1
OG0000015	WP_010940939.1, WP_010943414.1	WP_167506080.1
OG0000015	WP_010941995.1	WP_136810620.1
OG0000016	WP_010941071.1	WP_136807902.1
OG0000016	WP_010941569.1	WP_167505772.1, WP_136809302.1
OG0000016	WP_010942859.1, WP_010942689.1	WP_136807829.1, WP_136807338.1
OG0000017	WP_010942680.1	WP_136808412.1, WP_176371602.1, WP_136808421.1, WP_136807419.1, WP_136809354.1, WP_136808420.1
OG0000017	WP_049786599.1	WP_136808425.1
