Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523
OG0000000	WP_009566311.1	WP_015405628.1
OG0000000	WP_012537338.1	WP_228130058.1
OG0000001	WP_049756718.1	WP_015402638.1, WP_015402457.1, WP_015402486.1, WP_015403644.1, WP_015402385.1, WP_015405261.1, WP_015402811.1, WP_167320702.1, WP_015402591.1, WP_015402480.1
OG0000002	WP_012537438.1	WP_015403655.1
OG0000002	WP_012537671.1	WP_015404618.1
OG0000007	WP_009568266.1	WP_015405611.1
OG0000007	WP_009566877.1	WP_015405734.1
OG0000007	WP_012535788.1	WP_015403055.1
OG0000008	WP_009566498.1	WP_015403510.1
OG0000008	WP_012536971.1, WP_009566514.1	WP_015404768.1
OG0000010	WP_009561151.1	WP_015404239.1
OG0000010	WP_012536238.1	WP_015404682.1
OG0000012	WP_233459585.1	WP_015403471.1
OG0000013	WP_049756730.1	WP_015402979.1
OG0000014	WP_012607383.1, WP_009567373.1, WP_012535790.1	WP_015403048.1
OG0000014	WP_012536921.1	WP_015403432.1, WP_015403237.1, WP_015405413.1, WP_015403639.1
OG0000015	WP_009564938.1	WP_015404994.1, WP_015405754.1
OG0000017	WP_012536473.1	WP_015404508.1
OG0000018	WP_012536801.1	WP_015405040.1, WP_015405587.1, WP_015404684.1
OG0000019	WP_012536513.1	WP_015403161.1
OG0000020	WP_012537033.1	WP_015405231.1, WP_015404437.1, WP_015405244.1
OG0000022	WP_009564993.1	WP_015402646.1, WP_015405396.1
OG0000024	WP_012536221.1	WP_015405350.1
OG0000024	WP_012536512.1	WP_015402645.1, WP_015402478.1, WP_015403732.1
OG0000026	WP_054608867.1	WP_015403738.1
OG0000026	WP_012536917.1, WP_012537155.1	WP_015403942.1
OG0000027	WP_012536289.1, WP_012536670.1	WP_083907219.1
OG0000029	WP_012536184.1	WP_015402451.1, WP_167320727.1, WP_052326975.1, WP_015403405.1
OG0000030	WP_012536529.1	WP_015403340.1, WP_228130041.1
OG0000031	WP_054608952.1	WP_015404265.1, WP_015405368.1, WP_015403311.1
OG0000033	WP_012536110.1	WP_015403598.1
OG0000034	WP_012536972.1, WP_009566515.1	WP_015404767.1, WP_015403456.1
OG0000038	WP_012537610.1, WP_009566921.1, WP_009566923.1	WP_015404535.1, WP_015402313.1, WP_015402314.1
OG0000041	WP_009564623.1, WP_009565495.1	WP_015404769.1, WP_015403613.1, WP_015403057.1
OG0000042	WP_012536408.1	WP_041916557.1, WP_015403963.1, WP_015404842.1
OG0000042	WP_012536431.1	WP_015404992.1
OG0000045	WP_225487636.1	WP_015402866.1, WP_015402879.1
OG0000046	WP_012537032.1	WP_015403467.1, WP_015402438.1, WP_015402900.1, WP_015405008.1, WP_015404864.1, WP_015405205.1
OG0000047	WP_257246645.1, WP_225487355.1, WP_252725196.1	WP_015405593.1, WP_015404707.1
OG0000049	WP_009567000.1, WP_009567335.1	WP_015404873.1, WP_015402823.1, WP_015402942.1
OG0000050	WP_012536374.1	WP_015403568.1
OG0000050	WP_012536347.1	WP_015403562.1
OG0000053	WP_009565974.1	WP_015404739.1
OG0000053	WP_009564595.1	WP_228130071.1
OG0000054	WP_009567105.1, WP_009566737.1, WP_054609109.1, WP_009567310.1	WP_015404045.1
OG0000055	WP_012536534.1	WP_015405217.1
OG0000055	WP_012536590.1	WP_015404642.1
OG0000058	WP_009564125.1	WP_015402352.1, WP_015405249.1, WP_015404440.1, WP_015405240.1, WP_015403671.1
OG0000063	WP_009560828.1, WP_151528215.1, WP_180830446.1, WP_151528213.1, WP_054608640.1, WP_257257267.1, WP_054608824.1, WP_012537288.1	WP_015404799.1
OG0000064	WP_009566490.1	WP_015405262.1, WP_015404547.1
OG0000065	WP_012536179.1	WP_015402775.1, WP_015402615.1
OG0000065	WP_012536434.1	WP_015402731.1
OG0000069	WP_009567370.1	WP_015403151.1, WP_015402608.1, WP_015403747.1, WP_015404352.1
OG0000070	WP_012535972.1	WP_015405051.1
OG0000070	WP_012536036.1	WP_228130013.1
