	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
Number of genes	3166	3496	4445	3876	3127	5395	4612	3088	3340	3062	3377	4210
Number of genes in orthogroups	2433	3206	3888	3445	2711	4846	4181	2660	2877	2679	2827	2982
Number of unassigned genes	733	290	557	431	416	549	431	428	463	383	550	1228
Percentage of genes in orthogroups	76.8	91.7	87.5	88.9	86.7	89.8	90.7	86.1	86.1	87.5	83.7	70.8
Percentage of unassigned genes	23.2	8.3	12.5	11.1	13.3	10.2	9.3	13.9	13.9	12.5	16.3	29.2
Number of orthogroups containing species	1661	2573	2996	2638	2084	3494	3192	2180	2180	2079	2032	2037
Percentage of orthogroups containing species	28.0	43.3	50.5	44.4	35.1	58.9	53.8	36.7	36.7	35.0	34.2	34.3
Number of species-specific orthogroups	152	16	53	15	51	29	18	31	20	42	60	93
Number of genes in species-specific orthogroups	391	53	145	41	199	71	43	66	51	91	143	239
Percentage of genes in species-specific orthogroups	12.3	1.5	3.3	1.1	6.4	1.3	0.9	2.1	1.5	3.0	4.2	5.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	4275	3363	2940	3298	3852	2442	2744	3756	3756	3857	3904	3899
'1	1201	2214	2464	2179	1766	2797	2652	1858	1813	1739	1620	1559
'2	302	244	371	316	217	460	363	255	247	242	275	303
'3	80	64	90	79	56	114	82	39	66	61	66	91
'4	48	22	35	24	15	52	43	12	19	10	32	36
'5	9	12	10	16	9	25	19	6	11	12	12	15
'6	7	5	15	7	4	9	12	3	7	4	11	10
'7	9	4	2	4	2	11	10	2	4	2	1	5
'8	2	2	3	3	2	8	3	0	3	3	2	2
'9	1	0	1	3	0	6	3	1	1	0	4	5
'10	1	1	0	2	3	1	0	0	1	0	3	3
11-15	1	3	3	3	6	7	2	3	5	3	3	4
16-20	0	1	0	1	2	1	2	1	1	1	0	1
21-50	0	1	2	1	2	3	1	0	2	2	3	3
51-100	0	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	72.0	56.7	49.5	55.6	64.9	41.1	46.2	63.3	63.3	65.0	65.8	65.7
