Orthogroup	Desulfocapsa_06_corrosive	Desulfovibrio ferrophilus IS5
OG0000000	Utg323632_218	WP_126376458.1
OG0000000	Utg323262_151	WP_126379949.1
OG0000000	Utg323990_84	WP_126379473.1, WP_126380421.1
OG0000000	Utg323152_233	WP_126375654.1
OG0000000	Utg323152_286, Utg323632_278, Utg323152_278	WP_172961679.1
OG0000000	Utg323140_222	WP_126377754.1
OG0000000	Utg323392_13	WP_126380558.1
OG0000000	Utg323180_69	WP_172961667.1
OG0000000	Utg323262_120	WP_126377909.1
OG0000000	Utg323152_412	WP_126377956.1
OG0000001	Utg323180_225	WP_126376510.1, WP_172961810.1
OG0000001	Utg323180_287	WP_126375555.1
OG0000001	Utg323180_510	WP_126377423.1
OG0000001	Utg323180_136	WP_126375573.1
OG0000001	Utg324810_63	WP_172961793.1, WP_126380918.1, WP_126377950.1
OG0000001	Utg325220_101	WP_126379817.1
OG0000001	Utg323316_129	WP_126380957.1
OG0000001	Utg323180_183	WP_197723432.1
OG0000002	Utg323160_86	WP_126375861.1
OG0000003	Utg323632_206	WP_126379081.1
OG0000004	Utg323316_191, Utg323152_14	WP_126379990.1
OG0000005	Utg323300_198	WP_126379727.1, WP_172961688.1
OG0000005	Utg323140_36, Utg323632_133, Utg323262_94, Utg323392_93, Utg323300_274, Utg323392_174, Utg323316_116	WP_172961730.1
OG0000006	Utg323262_137	WP_126375661.1
OG0000006	Utg323180_218, Utg323180_148	WP_126375547.1, WP_126375895.1, WP_126377248.1
OG0000007	Utg323632_239	WP_126381476.1
OG0000007	Utg323632_51	WP_126375925.1
OG0000007	Utg323152_106	WP_126381411.1
OG0000007	Utg323180_130	WP_126375605.1, WP_126379380.1
OG0000008	Utg323632_80	WP_126379377.1
OG0000008	Utg323160_91, Utg323262_89	WP_126380866.1
OG0000008	Utg323300_399	WP_126376430.1
OG0000009	Utg323140_138, Utg323392_3	WP_126376614.1
OG0000009	Utg323180_612	WP_126381017.1
OG0000009	Utg323180_288	WP_197723449.1
OG0000010	Utg323316_272, Utg323316_267	WP_126380086.1
OG0000010	Utg323316_270	WP_126377453.1, WP_172961742.1
OG0000010	Utg323074_203	WP_126375855.1
OG0000012	Utg323140_106	WP_126379475.1
OG0000012	Utg323632_113	WP_232034787.1
OG0000013	Utg323180_152, Utg323140_78	WP_126376628.1
OG0000013	Utg323180_446	WP_232034900.1
OG0000013	Utg323180_450	WP_126378023.1
OG0000013	Utg323140_219	WP_126376569.1, WP_126379729.1
OG0000013	Utg323140_226	WP_126376573.1
OG0000014	Utg323392_110	WP_126377105.1, WP_126380551.1
OG0000015	Utg323140_90	WP_126376089.1
OG0000015	Utg325220_80	WP_126377238.1
OG0000016	Utg323300_407, Utg323300_334	WP_126378703.1
OG0000019	Utg323140_131	WP_126380934.1
OG0000020	Utg323266_116, Utg323152_283, Utg323632_271, Utg323152_268	WP_126375608.1
OG0000020	Utg323180_155	WP_126375676.1
OG0000023	Utg323180_595	WP_126379216.1
OG0000024	Utg323180_286	WP_126375630.1
OG0000024	Utg323074_45	WP_126381489.1
OG0000024	Utg323152_134	WP_126380860.1
OG0000026	Utg323632_118	WP_126380892.1
OG0000026	Utg323300_169	WP_126379565.1
OG0000027	Utg323180_189, Utg323300_117, Utg323300_118	WP_126376537.1, WP_126377878.1
OG0000028	Utg323990_173, Utg323140_52	WP_126381116.1
OG0000028	Utg323140_220	WP_126376567.1
OG0000028	Utg323180_452	WP_126378035.1, WP_126379735.1, WP_126378025.1
OG0000029	Utg323300_179	WP_126377624.1
OG0000030	Utg323160_85	WP_126375863.1
OG0000030	Utg323160_112	WP_232034763.1
OG0000031	Utg323448_44	WP_126379174.1
OG0000031	Utg323262_74	WP_126376771.1
OG0000031	Utg323180_78, Utg323392_77, Utg323262_179	WP_126380000.1
OG0000033	Utg323140_147, Utg323140_146	WP_126380666.1
OG0000035	Utg323300_305, Utg323300_236	WP_232034774.1, WP_126381133.1, WP_172961635.1, WP_126376101.1
OG0000038	Utg323990_153	WP_232034908.1
OG0000038	Utg323180_685	WP_126376738.1
OG0000039	Utg323316_349	WP_126379639.1
OG0000040	Utg323990_200	WP_172961731.1
OG0000041	Utg323316_196	WP_172961587.1
OG0000042	Utg323180_126	WP_126379529.1
OG0000042	Utg323152_383	WP_126377521.1
OG0000043	Utg323262_134	WP_126380768.1
OG0000043	Utg323140_196	WP_126380936.1
OG0000045	Utg324810_80, Utg323990_79	WP_232034928.1
OG0000045	Utg323300_218	WP_126379890.1
OG0000046	Utg324810_8	WP_126380043.1, WP_126379445.1
