Orthogroup	Desulfocapsa sulfexigens DSM 10523	Desulforhopalus vacuolatus DSM 9700
OG0000000	WP_015405628.1	WP_205218903.1
OG0000000	WP_015404870.1, WP_015402904.1	WP_205218029.1
OG0000000	WP_015403470.1	WP_205219382.1
OG0000000	WP_015404602.1	WP_205220319.1
OG0000000	WP_015404730.1	WP_205219819.1
OG0000000	WP_015405714.1	WP_275888939.1
OG0000000	WP_015404574.1	WP_205218170.1
OG0000000	WP_015404190.1	WP_205218473.1
OG0000001	WP_015402638.1	WP_205220029.1
OG0000001	WP_015402457.1, WP_015402486.1	WP_205220038.1
OG0000001	WP_015403644.1	WP_205220390.1
OG0000001	WP_015402385.1, WP_015405261.1, WP_015402811.1, WP_167320702.1	WP_205217623.1
OG0000001	WP_015402591.1	WP_205219167.1
OG0000002	WP_015403655.1	WP_205218052.1, WP_205220147.1
OG0000002	WP_041916771.1	WP_205217653.1
OG0000004	WP_015403645.1, WP_015403269.1, WP_015403586.1	WP_205220089.1
OG0000004	WP_015402402.1	WP_240192173.1
OG0000005	WP_015404343.1, WP_015403003.1	WP_240192106.1
OG0000006	WP_015403002.1	WP_205219511.1
OG0000007	WP_015405611.1	WP_240192033.1
OG0000007	WP_015405734.1	WP_205217665.1
OG0000007	WP_041916547.1	WP_205219793.1
OG0000007	WP_015403055.1	WP_205218938.1
OG0000008	WP_015403337.1	WP_205219114.1
OG0000009	WP_015405657.1	WP_240192111.1
OG0000010	WP_015404239.1, WP_153304882.1, WP_015404680.1, WP_015404224.1, WP_167320737.1, WP_015404221.1, WP_015404682.1	WP_205219586.1
OG0000011	WP_015403675.1	WP_205219955.1
OG0000012	WP_015405394.1	WP_205218963.1
OG0000012	WP_228130022.1	WP_205217637.1
OG0000013	WP_015404193.1	WP_205218476.1
OG0000013	WP_015404186.1	WP_205218471.1
OG0000014	WP_015403048.1	WP_205219172.1
OG0000014	WP_015403432.1	WP_205219411.1
OG0000015	WP_015404994.1, WP_015405754.1	WP_205217767.1
OG0000015	WP_015403214.1	WP_205218648.1
OG0000018	WP_015405040.1	WP_205218117.1
OG0000018	WP_015404684.1	WP_205219840.1
OG0000019	WP_015403161.1	WP_205217874.1
OG0000020	WP_015405231.1, WP_015404437.1, WP_015405244.1	WP_205217884.1
OG0000023	WP_015402850.1	WP_205217319.1
OG0000024	WP_015402645.1	WP_205218933.1
OG0000026	WP_015403451.1	WP_205218231.1
OG0000026	WP_015403942.1	WP_240192012.1
OG0000027	WP_083907219.1, WP_228130083.1, WP_265588650.1, WP_228130054.1	WP_240192067.1
OG0000028	WP_015404192.1	WP_205218475.1
OG0000029	WP_167320727.1	WP_205219870.1
OG0000030	WP_228130041.1	WP_205218797.1
OG0000031	WP_015404265.1	WP_205217958.1
OG0000033	WP_015403598.1	WP_205219469.1
OG0000038	WP_015404535.1	WP_205218672.1
OG0000038	WP_015402313.1	WP_205219654.1
OG0000038	WP_015402314.1	WP_205219655.1
OG0000039	WP_015405087.1	WP_205217373.1
OG0000040	WP_015404697.1	WP_240192119.1
OG0000040	WP_015403788.1, WP_015404594.1	WP_205219588.1
OG0000041	WP_015404769.1	WP_205218050.1
OG0000041	WP_015403613.1	WP_205217528.1, WP_205219357.1
OG0000042	WP_041916557.1	WP_240192126.1
OG0000042	WP_015403963.1	WP_205217331.1
OG0000042	WP_015404992.1	WP_205218976.1
OG0000043	WP_015402371.1, WP_015402367.1	WP_205218478.1
OG0000044	WP_015404161.1	WP_205219513.1
OG0000045	WP_015402866.1	WP_205219978.1
OG0000045	WP_228130035.1	WP_205218812.1
OG0000046	WP_015402900.1	WP_205218032.1
OG0000047	WP_015404707.1	WP_205219188.1
OG0000050	WP_015403568.1, WP_015403562.1	WP_275888963.1
OG0000053	WP_015404739.1	WP_205219828.1
OG0000053	WP_228130071.1	WP_205219575.1
OG0000054	WP_015404045.1	WP_205217416.1
OG0000055	WP_015405217.1	WP_205219062.1
OG0000055	WP_015404642.1	WP_205218241.1
OG0000057	WP_015403643.1	WP_205218283.1
OG0000058	WP_015402352.1	WP_205217357.1
OG0000058	WP_015405249.1, WP_015404440.1, WP_015405240.1	WP_205219380.1
OG0000059	WP_015403273.1	WP_205218630.1
OG0000060	WP_015403496.1	WP_205219391.1
OG0000060	WP_015404589.1	WP_205218162.1
OG0000061	WP_015402468.1	WP_205218219.1
OG0000063	WP_015405546.1	WP_205218947.1
OG0000063	WP_015404799.1	WP_205217751.1
OG0000064	WP_015405262.1, WP_015404547.1	WP_205218680.1
OG0000064	WP_015402710.1	WP_205219039.1
OG0000065	WP_015402615.1	WP_205217314.1
OG0000065	WP_015402731.1	WP_205217454.1
OG0000067	WP_015404777.1	WP_205218467.1
OG0000069	WP_015403151.1, WP_015402608.1, WP_015403747.1, WP_015404352.1	WP_240192079.1
OG0000070	WP_015404487.1	WP_240192170.1
OG0000071	WP_015405451.1	WP_205219780.1
OG0000072	WP_015405452.1	WP_205219779.1
OG0000073	WP_015405072.1, WP_015402609.1	WP_205218014.1
OG0000074	WP_015402447.1	WP_205217575.1
OG0000077	WP_015404654.1	WP_205219095.1, WP_205219018.1
OG0000078	WP_015404958.1	WP_205219761.1
OG0000079	WP_015402977.1, WP_015405417.1	WP_205217405.1
OG0000085	WP_015403009.1, WP_015404908.1, WP_167320721.1	WP_205217395.1
OG0000086	WP_265588649.1	WP_205217406.1
OG0000087	WP_015404821.1	WP_205217731.1
OG0000091	WP_015402418.1	WP_205218848.1
OG0000091	WP_015404791.1	WP_205217745.1
OG0000092	WP_015403008.1, WP_015402386.1	WP_205218658.1
OG0000093	WP_015402704.1	WP_240191946.1
OG0000094	WP_015404230.1	WP_205218242.1, WP_205219153.1
OG0000094	WP_015404703.1	WP_275888993.1
OG0000095	WP_015403025.1	WP_205218407.1
OG0000095	WP_265588636.1	WP_205218965.1
OG0000097	WP_015404820.1	WP_205217730.1
OG0000097	WP_015403348.1, WP_015403223.1	WP_240191918.1
OG0000098	WP_015405453.1	WP_240192130.1
OG0000101	WP_228130039.1	WP_240192163.1
OG0000101	WP_015403666.1	WP_205219783.1
OG0000102	WP_015405674.1	WP_205217638.1
OG0000103	WP_015402491.1	WP_205218404.1
OG0000104	WP_228130081.1	WP_205219195.1
OG0000105	WP_015404793.1	WP_240191944.1
OG0000105	WP_015402408.1	WP_240192046.1
OG0000106	WP_015404007.1	WP_205218448.1
OG0000107	WP_052326938.1	WP_275889021.1
OG0000108	WP_015405353.1	WP_205220065.1, WP_205220063.1, WP_205220062.1
OG0000108	WP_015402336.1	WP_205217815.1
OG0000109	WP_015404943.1, WP_015405434.1, WP_015405438.1, WP_265588654.1	WP_275889033.1, WP_205220419.1, WP_240192190.1, WP_205217993.1, WP_205217997.1, WP_205218000.1, WP_205218978.1, WP_205219309.1, WP_205218981.1, WP_205220422.1, WP_205218867.1, WP_205220387.1, WP_205220248.1
OG0000112	WP_015403936.1	WP_205218422.1
OG0000113	WP_015404088.1	WP_205219581.1
OG0000114	WP_015404279.1	WP_205217943.1
OG0000114	WP_015402582.1	WP_205217401.1
OG0000115	WP_015403910.1	WP_205217489.1
OG0000115	WP_015404572.1	WP_205219679.1
OG0000116	WP_015402490.1	WP_205217409.1
OG0000117	WP_015403805.1	WP_205219085.1
OG0000117	WP_015403159.1	WP_205217876.1
OG0000118	WP_015403158.1	WP_240191957.1
OG0000118	WP_015403806.1	WP_275888991.1
OG0000119	WP_015402797.1	WP_205220193.1
OG0000121	WP_015404050.1	WP_275888929.1
OG0000122	WP_015403700.1	WP_205220332.1
OG0000126	WP_015404803.1	WP_205219649.1
OG0000126	WP_015402913.1	WP_205218524.1
OG0000127	WP_015404182.1	WP_205219440.1
OG0000127	WP_015404183.1	WP_205219441.1
OG0000128	WP_015402505.1	WP_205219057.1
OG0000128	WP_015405039.1	WP_205218118.1
OG0000129	WP_015402307.1	WP_205218969.1
OG0000131	WP_153304997.1	WP_240192135.1
OG0000132	WP_153305005.1	WP_205218326.1
OG0000133	WP_015403281.1, WP_228130062.1	WP_205217878.1
OG0000133	WP_228130048.1	WP_205219087.1
OG0000134	WP_015402789.1	WP_205218809.1
OG0000134	WP_015405212.1	WP_205219067.1
OG0000136	WP_015405013.1	WP_240191980.1
OG0000136	WP_015405352.1	WP_205220066.1
OG0000137	WP_015403804.1	WP_205219084.1
OG0000142	WP_015404601.1	WP_205219982.1
OG0000142	WP_015405517.1	WP_205218882.1
OG0000143	WP_015402714.1	WP_205219037.1
OG0000144	WP_015404779.1	WP_205217734.1
OG0000145	WP_015404615.1, WP_015402384.1	WP_205218440.1
OG0000147	WP_015404800.1	WP_205217752.1
OG0000150	WP_015404955.1	WP_240192129.1
OG0000151	WP_015404064.1	WP_240192019.1
