Orthogroup	Desulfocapsa_13_biocide	Desulfosediminicola flagellatus IMCC35005
OG0000000	Utg858432_110	WP_136805244.1
OG0000000	Utg860814_23	WP_136809874.1, WP_136808305.1
OG0000000	Utg859236_95	WP_136806168.1
OG0000000	Utg857152_211	WP_136807632.1
OG0000000	Utg860006_151	WP_136808413.1
OG0000000	Utg857994_144	WP_136805435.1
OG0000000	Utg859236_100	WP_136809847.1
OG0000000	Utg859098_309	WP_136808161.1
OG0000000	Utg863716_60, Utg857046_66	WP_136808356.1
OG0000000	Utg864866_108	WP_136809937.1
OG0000000	Utg864866_50	WP_136808232.1
OG0000000	Utg858432_5	WP_217909566.1
OG0000000	Utg860006_129	WP_136806271.1
OG0000000	Utg859098_130	WP_136807046.1
OG0000000	Utg866558_41, Utg859098_137	WP_136810243.1
OG0000000	Utg859098_426	WP_136809765.1
OG0000000	Utg859750_35	WP_136810094.1, WP_136807718.1, WP_136805463.1
OG0000000	Utg857046_247	WP_217909594.1, WP_167505720.1
OG0000000	Utg859982_65	WP_136809225.1
OG0000000	Utg860006_29	WP_136808658.1
OG0000001	Utg863716_50	WP_136806607.1, WP_167505925.1
OG0000001	Utg863716_105	WP_136808786.1
OG0000001	Utg861448_49	WP_136805177.1
OG0000001	Utg857152_206	WP_136807476.1
OG0000001	Utg857300_46	WP_136809287.1
OG0000001	Utg859236_118, Utg859432_61	WP_136809201.1, WP_136809645.1
OG0000001	Utg857300_26	WP_136807061.1
OG0000002	Utg862138_35	WP_136805222.1
OG0000002	Utg860006_9	WP_136808433.1
OG0000002	Utg859076_23	WP_136807752.1
OG0000002	Utg862138_47	WP_136805570.1
OG0000002	Utg857994_111	WP_136808067.1
OG0000003	Utg859236_111	WP_136806109.1
OG0000003	Utg861744_3	WP_136810764.1
OG0000004	Utg859236_110	WP_136810858.1, WP_136808193.1
OG0000004	Utg859098_372	WP_136810396.1
OG0000004	Utg857152_136, Utg857682_26	WP_136805692.1
OG0000004	Utg860814_35, Utg860814_38	WP_176371583.1, WP_136806049.1, WP_136810154.1, WP_267313779.1, WP_136805478.1, WP_167505723.1
OG0000004	Utg858494_71, Utg857994_41	WP_136808745.1
OG0000004	Utg858432_88	WP_167505718.1
OG0000004	Utg860814_202, Utg859236_73	WP_136808192.1
OG0000004	Utg857994_124, Utg859982_119	WP_136805197.1, WP_136807033.1, WP_136806447.1
OG0000005	Utg864866_21, Utg864866_22	WP_136806687.1, WP_136809485.1, WP_136810251.1
OG0000005	Utg857152_208	WP_136806805.1
OG0000005	Utg858432_84	WP_136807023.1
OG0000005	Utg857076_41	WP_228723321.1
OG0000005	Utg857994_89	WP_136807296.1
OG0000005	Utg859388_141	WP_136805496.1
OG0000005	Utg863716_9	WP_136806590.1
OG0000005	Utg857152_2, Utg859388_48	WP_136810322.1
OG0000006	Utg858494_72, Utg863716_8	WP_136810272.1
OG0000006	Utg859388_140	WP_136805497.1
OG0000006	Utg859982_107	WP_136809441.1
OG0000006	Utg863716_120	WP_136806566.1
OG0000006	Utg858494_73	WP_167505808.1
OG0000007	Utg858432_132	WP_228723385.1
OG0000007	Utg859750_38	WP_176371586.1
OG0000007	Utg862138_39	WP_136805469.1
OG0000007	Utg857152_200	WP_136806719.1, WP_136806549.1
OG0000008	Utg861744_12	WP_136805538.1
OG0000008	Utg857152_123	WP_136806594.1
OG0000008	Utg859388_41	WP_136808272.1
OG0000008	Utg859098_370	WP_136806200.1
OG0000009	Utg860006_74	WP_217909495.1
OG0000009	Utg860814_183, Utg858432_86	WP_136810250.1
OG0000009	Utg864866_20	WP_136806688.1
OG0000009	Utg860814_199, Utg860814_198	WP_136807801.1
OG0000010	Utg857046_180	WP_136809831.1
OG0000010	Utg857046_174, Utg859236_8	WP_136808438.1, WP_136808682.1
OG0000011	Utg860814_134	WP_136806782.1, WP_136810628.1
OG0000011	Utg859982_61	WP_228723280.1
OG0000011	Utg857682_167	WP_136809871.1, WP_136809894.1, WP_136810666.1, WP_136810070.1, WP_217909606.1
OG0000012	Utg859388_126	WP_167506099.1
OG0000012	Utg864866_48	WP_167505807.1
OG0000012	Utg858432_54	WP_136805114.1
OG0000012	Utg857046_150	WP_228723378.1
OG0000013	Utg860814_26	WP_136806862.1
OG0000013	Utg860814_31	WP_136806858.1
OG0000014	Utg857682_136	WP_136808146.1, WP_136808979.1
OG0000014	Utg861744_121, Utg861744_120	WP_136808641.1
OG0000015	Utg859388_25, Utg862138_18	WP_136806902.1
OG0000015	Utg864866_65	WP_228723428.1
OG0000016	Utg859098_114	WP_136807902.1
OG0000016	Utg857152_131	WP_136807829.1, WP_136807338.1
OG0000017	Utg860006_18	WP_176371602.1
OG0000017	Utg860006_11	WP_136808425.1
OG0000018	Utg859098_213	WP_136806347.1
OG0000018	Utg860006_167	WP_136808506.1
