Orthogroup	Desulfocapsa_06_corrosive	Desulfovibrio vulgaris DP4
OG0000000	Utg323632_218	WP_011791609.1
OG0000000	Utg323262_151	WP_010938245.1, WP_011792839.1
OG0000000	Utg323262_146	WP_011791385.1
OG0000000	Utg323140_105, Utg323632_66	WP_011791326.1
OG0000000	Utg323990_84	WP_010938712.1, WP_011791434.1
OG0000000	Utg323152_233	WP_043629113.1
OG0000000	Utg323152_286, Utg323632_278, Utg323152_278	WP_010938045.1
OG0000000	Utg323140_222	WP_010940219.1
OG0000000	Utg323392_13	WP_011792079.1
OG0000000	Utg323180_69	WP_011791966.1, WP_011793108.1
OG0000000	Utg323180_151	WP_010940215.1
OG0000000	Utg323152_529	WP_011791645.1
OG0000000	Utg323262_120	WP_011792800.1
OG0000000	Utg323990_174	WP_010937429.1
OG0000000	Utg323152_412	WP_011792072.1
OG0000001	Utg323180_225	WP_010937723.1
OG0000001	Utg323180_510	WP_010939092.1
OG0000001	Utg324810_63	WP_043629533.1, WP_010937422.1, WP_010939946.1
OG0000001	Utg325220_101	WP_223294637.1
OG0000001	Utg323316_129	WP_010939074.1
OG0000001	Utg323180_418, Utg323074_106, Utg323180_183	WP_011792933.1
OG0000002	Utg323316_94	WP_011791473.1
OG0000002	Utg323300_202	WP_181409370.1
OG0000002	Utg323160_86	WP_206215584.1
OG0000003	Utg323632_206	WP_011793047.1
OG0000005	Utg323300_198	WP_011791849.1, WP_011792761.1
OG0000005	Utg323140_36, Utg323632_133, Utg323262_94, Utg323392_93	WP_011791532.1
OG0000006	Utg323262_137	WP_011793189.1
OG0000007	Utg323632_239	WP_011791331.1
OG0000007	Utg323632_51	WP_010939647.1
OG0000007	Utg323180_130	WP_011791362.1, WP_223294679.1
OG0000008	Utg323632_80	WP_010939710.1
OG0000008	Utg323300_399	WP_011793161.1
OG0000008	Utg323392_185	WP_011791419.1
OG0000009	Utg323990_129	WP_011792516.1, WP_011787365.1
OG0000009	Utg323180_612	WP_011791502.1
OG0000010	Utg323990_20	WP_011791455.1, WP_011787338.1
OG0000010	Utg323316_270	WP_011792554.1, WP_011791544.1
OG0000012	Utg323392_111	WP_011791325.1
OG0000012	Utg323140_106	WP_010938711.1
OG0000012	Utg323632_113	WP_011791433.1
OG0000013	Utg323180_446, Utg323180_450	WP_010937456.1
OG0000013	Utg323140_219	WP_010937451.1
OG0000014	Utg323392_110	WP_010939857.1
OG0000015	Utg323140_90	WP_011792453.1
OG0000018	Utg323152_201	WP_011787361.1
OG0000019	Utg323140_131	WP_010938382.1
OG0000020	Utg323180_155	WP_010937483.1
OG0000021	Utg323152_38	WP_011791863.1
OG0000023	Utg323180_595	WP_010939713.1, WP_011792776.1
OG0000024	Utg323180_286	WP_011791375.1
OG0000024	Utg323074_45	WP_010940347.1
OG0000024	Utg323152_134	WP_011792124.1
OG0000026	Utg323300_169	WP_010940054.1
OG0000027	Utg323180_189, Utg323300_117, Utg323300_118	WP_011791819.1, WP_011792816.1, WP_011791657.1
OG0000028	Utg323262_65	WP_011791856.1
OG0000028	Utg323990_173, Utg323140_52	WP_043629613.1
OG0000028	Utg323140_220	WP_010940221.1
OG0000028	Utg323180_452	WP_043629606.1, WP_010940474.1
OG0000029	Utg323300_179	WP_010939259.1
OG0000030	Utg323160_85	WP_011792490.1
OG0000030	Utg323160_112	WP_011792766.1
OG0000031	Utg323448_44	WP_011792678.1
OG0000031	Utg323262_74	WP_010939674.1
OG0000033	Utg323140_147, Utg323140_146	WP_011792568.1
OG0000034	Utg323392_186, Utg323392_187	WP_011791418.1
OG0000035	Utg323300_305, Utg323300_236	WP_011792514.1, WP_181409361.1, WP_011791918.1, WP_010939346.1, WP_011792644.1
