Orthogroup	Shewanella oneidensis MR-1	Desulfovibrio ferrophilus IS5
OG0000000	WP_011074304.1	WP_126379949.1
OG0000000	WP_011073116.1	WP_126381323.1
OG0000000	WP_011072957.1	WP_126377909.1
OG0000001	WP_011074067.1, WP_011073330.1	WP_126376510.1, WP_172961810.1
OG0000001	WP_011071093.1	WP_126376875.1, WP_126378261.1, WP_172961567.1, WP_126380896.1
OG0000001	WP_011070909.1	WP_126377423.1
OG0000001	WP_011071801.1	WP_232034871.1, WP_126377178.1
OG0000001	WP_011072190.1	WP_172961793.1, WP_126380918.1, WP_126377950.1
OG0000001	WP_011074055.1, WP_011071208.1	WP_172961606.1
OG0000001	WP_011073890.1	WP_126380957.1
OG0000001	WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1	WP_172961695.1
OG0000001	WP_011071723.1	WP_197723432.1
OG0000001	WP_011071311.1	WP_126375584.1, WP_172961715.1
OG0000002	WP_011071490.1	WP_126380045.1, WP_126380572.1
OG0000002	WP_011073420.1, WP_011074249.1	WP_197723458.1
OG0000002	WP_011071300.1	WP_126376855.1, WP_126379461.1, WP_126380920.1, WP_126375861.1, WP_126378796.1, WP_172961625.1
OG0000003	WP_274544340.1	WP_126378962.1, WP_269471680.1, WP_126378451.1, WP_126375592.1, WP_232034903.1, WP_126377874.1, WP_126375919.1, WP_172961665.1, WP_126377852.1, WP_126380591.1, WP_172961734.1, WP_126378859.1, WP_126377940.1, WP_232034842.1, WP_126378861.1, WP_126380680.1, WP_172961561.1, WP_126379689.1, WP_126378840.1, WP_126380863.1
OG0000003	WP_011073164.1	WP_126377796.1, WP_126379081.1
OG0000004	WP_011073049.1, WP_011073640.1	WP_172961808.1, WP_172961663.1, WP_126379990.1, WP_126381022.1
OG0000005	WP_011073304.1, WP_011074077.1, WP_011071149.1, WP_164925775.1	WP_172961730.1
OG0000006	WP_011073256.1	WP_172961584.1
OG0000007	WP_011074183.1	WP_126381476.1
OG0000007	WP_164925702.1	WP_126375925.1
OG0000007	WP_011072831.1	WP_126381411.1
OG0000008	WP_011071114.1	WP_126379377.1
OG0000008	WP_011072998.1	WP_126380866.1
OG0000008	WP_011072024.1	WP_126376430.1
OG0000009	WP_164925773.1	WP_126376614.1
OG0000009	WP_011071594.1	WP_197723449.1
OG0000011	WP_011073029.1	WP_126381100.1, WP_126380384.1, WP_126375556.1, WP_126379898.1, WP_126380793.1
OG0000012	WP_011073115.1	WP_126379475.1
OG0000012	WP_011074303.1	WP_126380912.1
OG0000013	WP_011073862.1, WP_011073853.1, WP_011071620.1	WP_126376628.1
OG0000014	WP_011074106.1	WP_126377105.1
OG0000014	WP_011073413.1	WP_126380551.1
OG0000015	WP_011072017.1	WP_126377238.1
OG0000015	WP_011073837.1	WP_172961650.1
OG0000016	WP_007649667.1	WP_126377698.1
OG0000016	WP_164925774.1	WP_126376616.1
OG0000016	WP_011072313.1	WP_126376801.1
OG0000016	WP_011072183.1	WP_126376256.1
OG0000016	WP_011072497.1	WP_126376356.1, WP_172961559.1, WP_126378703.1
OG0000017	WP_011073454.1, WP_011073854.1, WP_011073556.1, WP_011073807.1, WP_011071407.1, WP_011073808.1	WP_126378688.1, WP_232034745.1
OG0000018	WP_011073068.1	WP_232034885.1, WP_126378455.1, WP_126380143.1
OG0000019	WP_011071727.1	WP_126380934.1
OG0000019	WP_011074105.1	WP_232034874.1
OG0000019	WP_011074227.1, WP_011071456.1, WP_007644695.1	WP_126380549.1
OG0000020	WP_011073773.1, WP_011070833.1	WP_126375608.1
OG0000021	WP_011071922.1	WP_126379862.1, WP_126379957.1, WP_126380735.1
OG0000021	WP_011071923.1	WP_126379959.1, WP_126381453.1, WP_126379546.1
OG0000023	WP_011072287.1	WP_172961785.1
OG0000024	WP_011073749.1	WP_126375630.1
OG0000024	WP_011071179.1	WP_126381489.1
OG0000026	WP_011070872.1	WP_126380892.1
OG0000026	WP_164925607.1	WP_126379060.1
OG0000027	WP_011074132.1, WP_011074128.1, WP_011070509.1	WP_126376537.1, WP_126377878.1
OG0000029	WP_011074043.1, WP_011073001.1	WP_126380700.1
OG0000030	WP_011071301.1	WP_126378798.1, WP_126375863.1, WP_126376853.1, WP_232034763.1, WP_126376783.1
OG0000032	WP_011073713.1, WP_011070716.1	WP_126380669.1, WP_126380997.1
OG0000033	WP_011074290.1	WP_126380666.1
OG0000035	WP_011074169.1, WP_011070429.1	WP_232034774.1, WP_126381133.1, WP_172961635.1, WP_126376101.1
OG0000036	WP_011073027.1	WP_126375559.1, WP_126379902.1, WP_126380791.1
OG0000038	WP_011073885.1, WP_011073886.1	WP_232034908.1, WP_126376738.1
OG0000039	WP_011072119.1	WP_126378763.1
