Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfovibrio vulgaris DP4
OG0000000	WP_009566311.1	WP_011791609.1
OG0000000	WP_012537338.1	WP_011791966.1, WP_011793108.1
OG0000000	WP_009560941.1, WP_009567366.1	WP_010940215.1
OG0000000	WP_012606622.1	WP_011787377.1
OG0000001	WP_049756718.1	WP_010937723.1, WP_010938239.1, WP_011791528.1, WP_011791603.1, WP_010939092.1, WP_011792183.1, WP_043629533.1, WP_010937422.1, WP_010939946.1, WP_011791763.1, WP_223294637.1, WP_010939074.1, WP_010940213.1, WP_010938064.1, WP_011792933.1, WP_011793088.1, WP_011792985.1
OG0000002	WP_225487194.1	WP_010939653.1
OG0000002	WP_009567471.1	WP_011793091.1
OG0000007	WP_009568266.1	WP_011791331.1
OG0000007	WP_009566877.1	WP_010939647.1
OG0000007	WP_012535788.1	WP_043629999.1
OG0000008	WP_009566498.1	WP_011793161.1
OG0000008	WP_012536971.1, WP_009566514.1	WP_011791419.1, WP_011791653.1, WP_010937371.1, WP_223294613.1
OG0000010	WP_012536238.1	WP_011791544.1
OG0000010	WP_009563479.1	WP_010937635.1
OG0000012	WP_233459585.1	WP_011787301.1
OG0000014	WP_012607383.1, WP_009567373.1, WP_012535790.1	WP_010939857.1
OG0000015	WP_012535757.1, WP_012537128.1	WP_011791371.1
OG0000018	WP_012536801.1	WP_011793148.1, WP_011787361.1
OG0000019	WP_012536513.1	WP_010938382.1
OG0000022	WP_009564993.1	WP_011791894.1, WP_043629373.1
OG0000024	WP_012536221.1	WP_011791375.1
OG0000024	WP_012536512.1	WP_011792124.1
OG0000026	WP_054608867.1	WP_010940054.1
OG0000026	WP_012537308.1, WP_054608741.1	WP_010938934.1
OG0000027	WP_012536289.1, WP_012536670.1	WP_011791819.1, WP_011792816.1, WP_011791657.1
OG0000029	WP_012537258.1	WP_011792424.1
OG0000029	WP_012536184.1	WP_010940296.1, WP_010939259.1
OG0000030	WP_012536529.1	WP_011792490.1, WP_010938266.1, WP_011792766.1, WP_010937417.1, WP_010937694.1
OG0000031	WP_054608952.1	WP_011792678.1, WP_010939674.1
OG0000033	WP_009565875.1	WP_011792395.1
OG0000033	WP_012536110.1	WP_011792568.1
OG0000034	WP_012536972.1, WP_009566515.1	WP_010937372.1, WP_011791418.1, WP_011791654.1, WP_011792893.1
OG0000037	WP_225487349.1, WP_012536406.1, WP_225487644.1, WP_012606573.1, WP_009565786.1	WP_011787303.1
