Orthogroup	Desulfocapsa_13_biocide	Desulfosediminicola ganghwensis IMCC35004
OG0000000	Utg858432_110	WP_136797951.1
OG0000000	Utg860814_23	WP_228721414.1, WP_136796704.1
OG0000000	Utg859236_95	WP_136798610.1
OG0000000	Utg857152_211	WP_136798351.1
OG0000000	Utg860006_151	WP_217907585.1
OG0000000	Utg857994_144	WP_136797758.1
OG0000000	Utg859236_100	WP_136799830.1
OG0000000	Utg859098_309	WP_136795330.1
OG0000000	Utg863716_60, Utg857046_66	WP_136796659.1
OG0000000	Utg864866_108	WP_136797600.1, WP_136796723.1
OG0000000	Utg858432_5	WP_275942930.1
OG0000000	Utg860006_129	WP_136795862.1
OG0000000	Utg859098_130, Utg866558_41, Utg859098_137	WP_136798339.1, WP_136796441.1
OG0000000	Utg859098_426	WP_136795637.1
OG0000000	Utg859750_35	WP_136796539.1
OG0000000	Utg857046_247	WP_136799754.1, WP_136799532.1
OG0000000	Utg859982_65	WP_136796152.1
OG0000000	Utg857076_7	WP_176360009.1, WP_228721410.1
OG0000000	Utg860006_29	WP_136798421.1
OG0000001	Utg863716_50	WP_136796374.1
OG0000001	Utg861448_49	WP_136798931.1
OG0000001	Utg857152_206	WP_136799195.1
OG0000001	Utg857300_46	WP_136799410.1
OG0000001	Utg857994_39	WP_136796562.1
OG0000002	Utg860006_9	WP_136799957.1
OG0000002	Utg859076_23	WP_136796360.1
OG0000002	Utg862138_47	WP_136798151.1
OG0000002	Utg857994_111	WP_136795245.1
OG0000002	Utg857152_238	WP_136796899.1
OG0000003	Utg859236_111	WP_136795949.1
OG0000004	Utg858432_88	WP_167495840.1
OG0000004	Utg860814_202, Utg859236_73	WP_136798338.1
OG0000004	Utg857994_124, Utg859982_119	WP_136795716.1
OG0000005	Utg857152_208	WP_136797798.1
OG0000005	Utg858432_84, Utg863716_116, Utg857076_41, Utg857994_89, Utg859388_141, Utg863716_9	WP_136799362.1
OG0000006	Utg858494_72, Utg863716_8	WP_136797886.1
OG0000007	Utg858432_132	WP_228721345.1
OG0000007	Utg859750_38	WP_136796943.1
OG0000007	Utg862138_39	WP_136796543.1
OG0000007	Utg857152_200	WP_217907574.1, WP_136796830.1
OG0000008	Utg861744_12	WP_167495786.1
OG0000008	Utg857152_123	WP_136796821.1
OG0000008	Utg859388_41	WP_136798618.1
OG0000008	Utg859098_370	WP_228721405.1
OG0000009	Utg860814_183, Utg858432_86	WP_136799743.1
OG0000009	Utg864866_20	WP_136796828.1
OG0000011	Utg860814_134	WP_136796520.1, WP_136796063.1
OG0000011	Utg857046_16	WP_136798870.1
OG0000011	Utg859982_61	WP_167495681.1
OG0000011	Utg859236_66	WP_136799478.1
OG0000011	Utg857682_167	WP_136796266.1, WP_136799595.1, WP_136798603.1, WP_136798211.1, WP_217907688.1
OG0000012	Utg859388_126	WP_136799858.1
OG0000012	Utg858432_54	WP_228721381.1
OG0000012	Utg857046_150	WP_136796722.1
OG0000014	Utg859076_41	WP_176360024.1
OG0000014	Utg857994_28	WP_136795895.1
OG0000014	Utg857682_136	WP_136795319.1, WP_167495771.1
OG0000014	Utg861744_121, Utg861744_120	WP_136795451.1
OG0000015	Utg859388_25, Utg862138_18	WP_136798539.1
OG0000015	Utg864866_65	WP_228721502.1
OG0000016	Utg857152_131	WP_136799049.1, WP_136797826.1
OG0000017	Utg860006_11	WP_275942934.1
OG0000018	Utg859098_213	WP_136795787.1
OG0000018	Utg860006_167	WP_136798307.1
OG0000019	Utg864866_31	WP_136796978.1
OG0000019	Utg859076_43	WP_228721469.1
OG0000019	Utg857994_27	WP_136795896.1
OG0000019	Utg857682_135	WP_136795318.1, WP_136797551.1
OG0000020	Utg859098_133, Utg866558_48, Utg859098_147	WP_136796993.1
OG0000020	Utg857152_214	WP_136798358.1
OG0000020	Utg857300_36	WP_267314022.1
OG0000021	Utg859098_363	WP_136799193.1
OG0000022	Utg859098_220	WP_136799291.1
OG0000022	Utg859236_119	WP_136795837.1
OG0000022	Utg859388_124	WP_136798804.1, WP_136796834.1
OG0000023	Utg860814_168	WP_136798831.1
OG0000023	Utg860814_169	WP_136798830.1
OG0000023	Utg859388_168	WP_073616346.1
OG0000024	Utg863716_104	WP_136796326.1
OG0000024	Utg859098_279	WP_136798855.1
OG0000025	Utg857046_255	WP_136796934.1
OG0000025	Utg857994_30	WP_136796878.1, WP_136797803.1
OG0000025	Utg858432_70	WP_136796860.1
OG0000026	Utg864866_112	WP_136795497.1
OG0000026	Utg857152_94	WP_136795158.1
OG0000027	Utg857300_35	WP_136795589.1
OG0000027	Utg857300_34	WP_136796842.1
OG0000027	Utg859388_156, Utg863716_16	WP_136797362.1
OG0000028	Utg857076_67	WP_136798974.1
OG0000028	Utg864866_101, Utg860006_30, Utg864866_102	WP_136798422.1
OG0000029	Utg859982_26	WP_136796505.1
OG0000030	Utg857152_237	WP_228721479.1
OG0000031	Utg857490_1	WP_136798099.1
OG0000031	Utg857152_167	WP_153305575.1
OG0000031	Utg859388_158	WP_153305538.1
OG0000032	Utg857046_252	WP_136795138.1
OG0000032	Utg857300_30	WP_136795593.1
OG0000033	Utg857682_66	WP_136795667.1, WP_136796864.1
OG0000033	Utg860814_171	WP_228721439.1
OG0000034	Utg859388_40, Utg859388_39	WP_136798619.1
OG0000034	Utg859098_369	WP_136795709.1
OG0000035	Utg859388_146, Utg863716_35, Utg861448_17, Utg857076_40, Utg857152_33	WP_136796974.1
OG0000036	Utg859982_60	WP_136796149.1
OG0000036	Utg859236_64	WP_136799476.1
OG0000038	Utg860006_50	WP_136796619.1
OG0000038	Utg860814_278	WP_136797873.1
OG0000038	Utg860814_277	WP_136797874.1
OG0000039	Utg860006_93	WP_136797936.1, WP_217907698.1
OG0000039	Utg857046_262, Utg859098_367	WP_136798188.1
OG0000040	Utg857994_193	WP_136796808.1
OG0000040	Utg859098_48, Utg860006_147	WP_136799761.1
OG0000040	Utg857046_175	WP_136799866.1
OG0000041	Utg859098_368	WP_136795710.1
OG0000041	Utg857046_101	WP_167495619.1
OG0000042	Utg857152_197	WP_217907590.1
OG0000042	Utg857152_116	WP_136795372.1
OG0000042	Utg859236_105	WP_136799831.1
OG0000043	Utg859750_58	WP_136795665.1
OG0000046	Utg860006_158	WP_136797836.1
OG0000046	Utg859098_176	WP_136796683.1
OG0000046	Utg857152_215	WP_136798359.1
OG0000047	Utg857994_168	WP_136798300.1
OG0000048	Utg857682_54	WP_136798807.1, WP_136797116.1
OG0000048	Utg857046_28	WP_136795596.1
OG0000049	Utg857152_93	WP_136797013.1, WP_136798429.1, WP_136798433.1, WP_136795482.1, WP_136799871.1
OG0000051	Utg857046_216	WP_136798861.1
OG0000051	Utg857152_166	WP_153305574.1
OG0000051	Utg859388_159, Utg859388_160	WP_267313990.1
OG0000052	Utg859982_225, Utg857076_61	WP_136798976.1
OG0000052	Utg857682_28	WP_136799093.1
OG0000052	Utg857046_241	WP_136799751.1
OG0000052	Utg857994_129	WP_136796158.1
OG0000053	Utg859388_13	WP_136797779.1
OG0000053	Utg859432_19	WP_228721360.1
OG0000053	Utg857046_30	WP_136795598.1
OG0000055	Utg859098_163	WP_136796674.1
OG0000057	Utg859098_394	WP_136798386.1
OG0000057	Utg859982_23, Utg859098_431, Utg864866_2	WP_136799419.1
OG0000058	Utg860814_210	WP_136796804.1
