Orthogroup	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5
OG0000000	WP_011190064.1	WP_126376458.1
OG0000000	WP_041278710.1	WP_126379473.1, WP_126380421.1
OG0000000	WP_011187582.1	WP_126380558.1
OG0000000	WP_011188526.1	WP_172961667.1
OG0000001	WP_011188793.1, WP_011187475.1	WP_126376510.1, WP_172961810.1
OG0000001	WP_011189956.1	WP_126376875.1, WP_126378261.1, WP_172961567.1
OG0000001	WP_011189031.1	WP_126379817.1
OG0000001	WP_011187559.1	WP_172961763.1
OG0000001	WP_049785109.1	WP_197723432.1
OG0000001	WP_011189550.1	WP_172961701.1
OG0000002	WP_011188604.1	WP_126377640.1
OG0000002	WP_011188232.1	WP_126376855.1
OG0000002	WP_011188476.1	WP_126380920.1
OG0000002	WP_011189225.1	WP_172961625.1
OG0000002	WP_041277652.1	WP_126380628.1
OG0000003	WP_011188222.1	WP_126379081.1
OG0000004	WP_011188268.1	WP_126381022.1
OG0000005	WP_011189533.1, WP_011188126.1	WP_126375692.1, WP_172961757.1, WP_126376141.1, WP_126378870.1, WP_126378672.1, WP_126380638.1, WP_126377858.1, WP_126379076.1, WP_126376307.1, WP_126379727.1, WP_172961688.1
OG0000005	WP_011187985.1, WP_011187604.1	WP_172961730.1
OG0000006	WP_011190351.1	WP_126379851.1
OG0000006	WP_156792195.1	WP_126375661.1
OG0000007	WP_011189794.1	WP_126381476.1
OG0000007	WP_011188868.1	WP_126375925.1
OG0000007	WP_011187745.1	WP_126379380.1
OG0000009	WP_049785091.1	WP_126376614.1
OG0000009	WP_156792224.1	WP_126381118.1
OG0000009	WP_011189354.1	WP_126380358.1
OG0000009	WP_011189261.1	WP_197723449.1
OG0000010	WP_011190434.1	WP_126380611.1
OG0000012	WP_041277505.1	WP_126379475.1
OG0000012	WP_156792326.1	WP_232034787.1
OG0000012	WP_011188284.1	WP_126380912.1
OG0000013	WP_011188729.1	WP_126376569.1, WP_126379729.1
OG0000013	WP_011188732.1	WP_126376573.1
OG0000015	WP_228130190.1	WP_126376089.1
OG0000015	WP_011187538.1	WP_126377238.1
OG0000016	WP_049785056.1	WP_126378703.1
OG0000018	WP_011187258.1	WP_126378455.1
OG0000019	WP_011189126.1	WP_126380934.1
OG0000021	WP_011187396.1	WP_126379862.1
OG0000021	WP_011187395.1	WP_126379959.1, WP_126381453.1
OG0000024	WP_011188931.1	WP_126375630.1
OG0000024	WP_011189217.1	WP_126381489.1
OG0000026	WP_041277628.1	WP_126380889.1
OG0000027	WP_011189010.1, WP_011190227.1	WP_126376537.1, WP_126377878.1
OG0000028	WP_162096634.1	WP_126376567.1
OG0000029	WP_011189114.1	WP_172961565.1
OG0000029	WP_265588603.1	WP_126377624.1
OG0000030	WP_011188233.1	WP_126376853.1
OG0000030	WP_011187333.1	WP_232034763.1
OG0000030	WP_011189224.1	WP_126376783.1
OG0000030	WP_041277653.1	WP_126380627.1
OG0000031	WP_041277675.1	WP_126379174.1
OG0000031	WP_011188253.1	WP_126380000.1
OG0000033	WP_041277486.1	WP_232034906.1
OG0000033	WP_011187749.1	WP_126380666.1
OG0000038	WP_083818947.1	WP_232034908.1
OG0000038	WP_011189861.1	WP_126376738.1
OG0000039	WP_011188738.1	WP_126378763.1
OG0000040	WP_011187264.1	WP_172961731.1
OG0000041	WP_011190076.1	WP_172961587.1
