Orthogroup	Desulfosediminicola ganghwensis IMCC35004	Desulfosediminicola flagellatus IMCC35005
OG0000000	WP_136797951.1	WP_136805244.1
OG0000000	WP_228721414.1	WP_136809874.1
OG0000000	WP_136796704.1	WP_136808305.1
OG0000000	WP_136798610.1	WP_136806168.1
OG0000000	WP_136798351.1	WP_136807632.1
OG0000000	WP_136798833.1	WP_136806855.1
OG0000000	WP_217907585.1	WP_136808413.1
OG0000000	WP_136797758.1	WP_136805435.1
OG0000000	WP_136799830.1	WP_136809847.1
OG0000000	WP_136795330.1	WP_136808161.1
OG0000000	WP_136796659.1	WP_136808356.1
OG0000000	WP_136797600.1, WP_136796723.1	WP_136809937.1
OG0000000	WP_275942930.1	WP_217909566.1
OG0000000	WP_136795862.1	WP_136806271.1
OG0000000	WP_136798339.1, WP_136796441.1	WP_136807046.1, WP_136810243.1
OG0000000	WP_136797028.1	WP_136810261.1, WP_136810305.1
OG0000000	WP_136799931.1	WP_136810299.1
OG0000000	WP_136795637.1	WP_136809765.1
OG0000000	WP_136796984.1	WP_167506066.1
OG0000000	WP_136796539.1	WP_136805463.1
OG0000000	WP_217907626.1	WP_136806758.1
OG0000000	WP_136799754.1, WP_136799532.1	WP_217909594.1, WP_167505720.1
OG0000000	WP_136796152.1	WP_136809225.1
OG0000000	WP_136799495.1	WP_275942845.1
OG0000000	WP_136798255.1	WP_136808452.1
OG0000000	WP_136798421.1	WP_136808658.1
OG0000000	WP_136798981.1	WP_136805922.1
OG0000001	WP_136796374.1	WP_136806607.1, WP_167505925.1
OG0000001	WP_136798931.1	WP_136805177.1
OG0000001	WP_136799195.1	WP_136807476.1
OG0000001	WP_136799410.1	WP_136809287.1
OG0000001	WP_136798261.1	WP_136806467.1
OG0000002	WP_136795378.1	WP_176371628.1
OG0000002	WP_136799957.1	WP_136808433.1
OG0000002	WP_136796812.1	WP_136806603.1
OG0000002	WP_136796360.1	WP_136807752.1
OG0000002	WP_136795903.1	WP_136807288.1
OG0000002	WP_136798151.1	WP_136805570.1
OG0000002	WP_136798935.1	WP_136806489.1
OG0000002	WP_136795245.1	WP_136808067.1
OG0000002	WP_275942957.1	WP_275942839.1
OG0000002	WP_136796313.1	WP_136810386.1
