Orthogroup	Desulfosediminicola flagellatus IMCC35005	Desulfocapsa sulfexigens DSM 10523
OG0000000	WP_136805244.1	WP_015405628.1
OG0000000	WP_136807632.1	WP_015404870.1, WP_015402904.1
OG0000000	WP_136806855.1	WP_015403470.1
OG0000000	WP_136808413.1	WP_015404602.1
OG0000000	WP_136805435.1	WP_015404730.1
OG0000000	WP_136809847.1	WP_015403104.1, WP_015404836.1
OG0000000	WP_136808232.1	WP_015403526.1
OG0000000	WP_217909566.1	WP_015405714.1
OG0000000	WP_136806271.1	WP_015404574.1
OG0000000	WP_136807046.1	WP_015405247.1
OG0000000	WP_136810243.1	WP_015404443.1, WP_015405235.1
OG0000000	WP_136810261.1, WP_136810305.1, WP_136810299.1	WP_015404190.1
OG0000000	WP_136810094.1, WP_136807718.1, WP_136805463.1	WP_228130058.1
OG0000000	WP_275942845.1	WP_052326964.1
OG0000000	WP_136808658.1	WP_015405199.1, WP_015404515.1
OG0000000	WP_136805922.1	WP_015404367.1
OG0000001	WP_136806607.1	WP_015402638.1
OG0000001	WP_136808786.1	WP_015402457.1, WP_015402486.1
OG0000001	WP_136805177.1	WP_015403644.1
OG0000001	WP_136807476.1	WP_167320702.1
OG0000001	WP_136809108.1	WP_015402591.1
OG0000002	WP_136805222.1	WP_015403655.1
OG0000002	WP_176371628.1	WP_015404618.1
OG0000002	WP_217909654.1, WP_136806069.1	WP_041916771.1
OG0000002	WP_136808992.1	WP_015403778.1
OG0000003	WP_136806600.1, WP_136805594.1, WP_136807522.1, WP_136807708.1, WP_136805154.1, WP_136805912.1, WP_167505861.1, WP_136809723.1	WP_015403648.1
OG0000004	WP_136810858.1, WP_136808193.1	WP_015402639.1
OG0000004	WP_136810396.1	WP_015404335.1
OG0000004	WP_136809328.1, WP_136805168.1, WP_167505721.1, WP_136809428.1, WP_167506073.1	WP_015402402.1
OG0000004	WP_136805692.1	WP_015405428.1
OG0000004	WP_136810487.1	WP_015403551.1
OG0000004	WP_136807867.1	WP_015403268.1
OG0000004	WP_167505718.1	WP_015405656.1
OG0000004	WP_136808192.1	WP_015405739.1, WP_015402401.1, WP_015402421.1, WP_052326944.1, WP_015403175.1, WP_015402868.1
OG0000004	WP_136805197.1, WP_136807033.1, WP_136806447.1	WP_015402970.1
OG0000004	WP_136808898.1	WP_015403250.1
OG0000005	WP_136807023.1	WP_015405658.1
OG0000005	WP_228723321.1	WP_015404343.1
OG0000005	WP_136805496.1	WP_015403003.1
OG0000005	WP_136810322.1	WP_015402641.1
OG0000005	WP_136809159.1	WP_167320730.1
OG0000006	WP_136805497.1	WP_015403002.1
OG0000006	WP_136806566.1	WP_015403820.1
OG0000006	WP_167505808.1	WP_015404882.1
OG0000006	WP_136807043.1	WP_015405458.1
OG0000007	WP_228723385.1	WP_015405611.1
OG0000007	WP_136805469.1	WP_015405734.1
OG0000007	WP_136809767.1	WP_041916547.1
OG0000007	WP_136809687.1	WP_015404120.1
OG0000007	WP_136806719.1, WP_136806549.1	WP_015403101.1
