Orthogroup	Desulfosediminicola ganghwensis IMCC35004	Desulfocapsa_06_corrosive
OG0000000	WP_136797951.1	Utg323632_218
OG0000000	WP_228721414.1, WP_136796704.1	Utg323180_444
OG0000000	WP_136798610.1	Utg323262_151
OG0000000	WP_136798351.1	Utg323180_138
OG0000000	WP_217907585.1	Utg323990_62
OG0000000	WP_136797758.1	Utg323074_126
OG0000000	WP_136799830.1	Utg323262_146
OG0000000	WP_136795330.1	Utg323152_90
OG0000000	WP_136796659.1	Utg323180_238, Utg323316_173
OG0000000	WP_136797600.1, WP_136796723.1	Utg323140_46
OG0000000	WP_275942930.1	Utg323632_66
OG0000000	WP_136795862.1	Utg323990_84
OG0000000	WP_136798339.1, WP_136796441.1	Utg323152_286, Utg323632_278, Utg323152_278
OG0000000	WP_136797028.1, WP_136799931.1	Utg323140_222
OG0000000	WP_136795637.1	Utg323392_13
OG0000000	WP_136796539.1	Utg323180_69
OG0000000	WP_217907626.1	Utg323180_151
OG0000000	WP_136799754.1, WP_136799532.1	Utg323152_529
OG0000000	WP_176360009.1, WP_228721410.1	Utg323262_120
OG0000000	WP_136798421.1	Utg323990_174
OG0000000	WP_136798981.1	Utg323152_412
OG0000001	WP_136796374.1	Utg323180_225
OG0000001	WP_136799195.1	Utg323180_136
OG0000001	WP_136799410.1	Utg323300_105
OG0000002	WP_136795378.1	Utg323300_181
OG0000002	WP_136796360.1	Utg323316_94
OG0000002	WP_275942949.1, WP_167495633.1	Utg323300_202
OG0000003	WP_136795949.1	Utg325220_107
OG0000004	WP_167495840.1	Utg323632_135
OG0000004	WP_136798338.1	Utg323180_613, Utg323180_419, Utg323262_186
OG0000004	WP_136795716.1	Utg323300_14
OG0000005	WP_136799362.1	Utg323140_36, Utg323632_133, Utg323262_94, Utg323392_93
OG0000005	WP_167495679.1	Utg323316_116
OG0000006	WP_136797886.1	Utg323632_356
OG0000007	WP_228721345.1	Utg323632_239
OG0000007	WP_136796943.1	Utg323180_86
OG0000007	WP_136796543.1	Utg323632_51
OG0000007	WP_136795639.1	Utg323152_106
OG0000007	WP_136795569.1	Utg323316_118
OG0000007	WP_217907574.1, WP_136796830.1	Utg323180_130
OG0000007	WP_136796500.1	Utg323632_81
OG0000008	WP_136796499.1	Utg323632_80
OG0000008	WP_167495786.1	Utg323160_91
OG0000008	WP_136796821.1	Utg323300_399
OG0000008	WP_136798618.1	Utg323392_185
OG0000009	WP_136799743.1	Utg323632_134
OG0000009	WP_136796828.1	Utg323140_138, Utg323392_3
OG0000011	WP_136796520.1, WP_136796063.1	Utg323180_549
OG0000012	WP_136799858.1	Utg323392_111
OG0000012	WP_228721381.1	Utg323632_113
OG0000013	WP_228721392.1, WP_136799928.1	Utg323140_219
OG0000013	WP_136797029.1, WP_136799932.1, WP_136797031.1	Utg323140_226
OG0000014	WP_176360024.1, WP_136795895.1	Utg323392_110
