Orthogroup	Desulfovibrio vulgaris DP4	Desulfocapsa_06_corrosive
OG0000000	WP_011791609.1	Utg323632_218
OG0000000	WP_010938245.1, WP_011792839.1	Utg323262_151
OG0000000	WP_011791385.1	Utg323262_146
OG0000000	WP_011791326.1	Utg323140_105, Utg323632_66
OG0000000	WP_010938712.1, WP_011791434.1	Utg323990_84
OG0000000	WP_043629113.1	Utg323152_233
OG0000000	WP_010938045.1	Utg323152_286, Utg323632_278, Utg323152_278
OG0000000	WP_010940219.1	Utg323140_222
OG0000000	WP_011792079.1	Utg323392_13
OG0000000	WP_011791966.1, WP_011793108.1	Utg323180_69
OG0000000	WP_010940215.1	Utg323180_151
OG0000000	WP_011791645.1	Utg323152_529
OG0000000	WP_011792800.1	Utg323262_120
OG0000000	WP_010937429.1	Utg323990_174
OG0000000	WP_011792072.1	Utg323152_412
OG0000001	WP_010937723.1	Utg323180_225
OG0000001	WP_010939092.1	Utg323180_510
OG0000001	WP_043629533.1, WP_010937422.1, WP_010939946.1	Utg324810_63
OG0000001	WP_223294637.1	Utg325220_101
OG0000001	WP_010939074.1	Utg323316_129
OG0000001	WP_011792933.1	Utg323180_418, Utg323074_106, Utg323180_183
OG0000002	WP_011791473.1	Utg323316_94
OG0000002	WP_181409370.1	Utg323300_202
OG0000002	WP_206215584.1	Utg323160_86
OG0000003	WP_011793047.1	Utg323632_206
OG0000005	WP_011791849.1, WP_011792761.1	Utg323300_198
OG0000005	WP_011791532.1	Utg323140_36, Utg323632_133, Utg323262_94, Utg323392_93
OG0000006	WP_011793189.1	Utg323262_137
OG0000007	WP_011791331.1	Utg323632_239
OG0000007	WP_010939647.1	Utg323632_51
OG0000007	WP_011791362.1, WP_223294679.1	Utg323180_130
OG0000008	WP_010939710.1	Utg323632_80
OG0000008	WP_011793161.1	Utg323300_399
OG0000008	WP_011791419.1	Utg323392_185
OG0000009	WP_011792516.1, WP_011787365.1	Utg323990_129
OG0000009	WP_011791502.1	Utg323180_612
OG0000010	WP_011791455.1, WP_011787338.1	Utg323990_20
OG0000010	WP_011792554.1, WP_011791544.1	Utg323316_270
OG0000012	WP_011791325.1	Utg323392_111
OG0000012	WP_010938711.1	Utg323140_106
OG0000012	WP_011791433.1	Utg323632_113
OG0000013	WP_010937456.1	Utg323180_446, Utg323180_450
OG0000013	WP_010937451.1	Utg323140_219
OG0000014	WP_010939857.1	Utg323392_110
OG0000015	WP_011792453.1	Utg323140_90
OG0000018	WP_011787361.1	Utg323152_201
OG0000019	WP_010938382.1	Utg323140_131
OG0000020	WP_010937483.1	Utg323180_155
OG0000021	WP_011791863.1	Utg323152_38
OG0000023	WP_010939713.1, WP_011792776.1	Utg323180_595
OG0000024	WP_011791375.1	Utg323180_286
OG0000024	WP_010940347.1	Utg323074_45
OG0000024	WP_011792124.1	Utg323152_134
OG0000026	WP_010940054.1	Utg323300_169
OG0000027	WP_011791819.1, WP_011792816.1, WP_011791657.1	Utg323180_189, Utg323300_117, Utg323300_118
OG0000028	WP_011791856.1	Utg323262_65
OG0000028	WP_043629613.1	Utg323990_173, Utg323140_52
OG0000028	WP_010940221.1	Utg323140_220
OG0000028	WP_043629606.1, WP_010940474.1	Utg323180_452
OG0000029	WP_010939259.1	Utg323300_179
OG0000030	WP_011792490.1	Utg323160_85
OG0000030	WP_011792766.1	Utg323160_112
OG0000031	WP_011792678.1	Utg323448_44
OG0000031	WP_010939674.1	Utg323262_74
OG0000033	WP_011792568.1	Utg323140_147, Utg323140_146
OG0000034	WP_011791418.1	Utg323392_186, Utg323392_187
OG0000035	WP_011792514.1, WP_181409361.1, WP_011791918.1, WP_010939346.1, WP_011792644.1	Utg323300_305, Utg323300_236
OG0000038	WP_010938341.1	Utg323990_153
OG0000038	WP_010938662.1	Utg323180_685
OG0000040	WP_010937647.1	Utg323074_178
OG0000040	WP_043629357.1	Utg323990_66
OG0000041	WP_011791420.1	Utg323632_79, Utg323300_84
OG0000042	WP_011792510.1	Utg323180_126
OG0000042	WP_011791387.1	Utg323300_393, Utg323262_141
OG0000042	WP_011792450.1	Utg323152_383
