Orthogroup	Desulfocapsa_13_biocide	Other
OG0000238	Utg857682_139	WP_228723299.1
OG0000238	Utg857682_139	WP_228721413.1
OG0000238	Utg857682_139	WP_205219359.1, WP_205217607.1
OG0000238	Utg857682_139	WP_011190078.1
OG0000888	Utg860814_318	WP_011073848.1
OG0000888	Utg860814_318	WP_136795759.1
OG0000888	Utg860814_318	WP_010940920.1, WP_010942624.1
OG0000888	Utg860814_318	WP_011176621.1
