Orthogroup	Desulfovibrio vulgaris DP4	Desulfocapsa_13_biocide
OG0000000	WP_011791609.1	Utg858432_110
OG0000000	WP_010938245.1, WP_011792839.1	Utg859236_95
OG0000000	WP_011791385.1	Utg859236_100
OG0000000	WP_011791326.1	Utg864866_50, Utg858432_5
OG0000000	WP_010938712.1, WP_011791434.1	Utg860006_129
OG0000000	WP_043629113.1	Utg859098_179
OG0000000	WP_010938045.1	Utg859098_130, Utg866558_41, Utg859098_137
OG0000000	WP_011792079.1	Utg859098_426
OG0000000	WP_011791966.1, WP_011793108.1	Utg859750_35
OG0000000	WP_011791645.1	Utg860006_108, Utg857046_247, Utg859982_65
OG0000000	WP_011787377.1	Utg861744_76
OG0000000	WP_011792800.1	Utg857076_7
OG0000000	WP_010937429.1	Utg860006_29
OG0000001	WP_010937723.1	Utg863716_50
OG0000001	WP_010938239.1, WP_011791528.1, WP_011791603.1	Utg861448_49
OG0000001	WP_010939092.1	Utg860814_100
OG0000001	WP_223294637.1	Utg859236_118, Utg859432_61
OG0000001	WP_010939074.1	Utg857300_26
OG0000002	WP_011791473.1	Utg859076_23
OG0000002	WP_011793015.1	Utg862138_47
OG0000002	WP_206215584.1	Utg861744_15
OG0000002	WP_181409380.1	Utg857994_102
OG0000002	WP_011792919.1	Utg857152_238
OG0000003	WP_011793047.1	Utg861744_3
OG0000005	WP_011791751.1, WP_011791759.1	Utg857152_208
OG0000005	WP_011791532.1	Utg858432_84, Utg863716_116, Utg857076_41, Utg857994_89, Utg859388_141, Utg863716_9
OG0000007	WP_011791331.1	Utg858432_132
OG0000007	WP_010939647.1	Utg862138_39
OG0000007	WP_011791362.1, WP_223294679.1	Utg857152_200
OG0000008	WP_011793161.1	Utg857152_123
OG0000008	WP_011791419.1	Utg859388_41
OG0000008	WP_011791653.1	Utg859098_370
OG0000009	WP_011792516.1, WP_011787365.1	Utg860006_74
OG0000009	WP_011791502.1	Utg860814_199, Utg860814_198
OG0000011	WP_011791648.1	Utg859982_61
OG0000011	WP_010937320.1, WP_010938006.1	Utg857682_167
OG0000012	WP_011791325.1	Utg859388_126
OG0000012	WP_010938711.1	Utg864866_48, Utg864866_49
OG0000012	WP_011791433.1	Utg858432_54
OG0000013	WP_010937456.1	Utg860814_26, Utg860814_31
OG0000014	WP_010939857.1	Utg859076_41, Utg857994_28
OG0000015	WP_011792453.1	Utg864866_65
OG0000016	WP_010938884.1, WP_010939351.1	Utg859236_123
OG0000018	WP_011787361.1	Utg859098_213
OG0000019	WP_010938382.1	Utg864866_31
OG0000020	WP_010937483.1	Utg857152_214
OG0000021	WP_011791863.1	Utg859098_363
OG0000023	WP_010939713.1, WP_011792776.1	Utg860814_169
OG0000024	WP_011791375.1	Utg863716_104
OG0000024	WP_011792124.1	Utg859098_279
OG0000027	WP_011791819.1, WP_011792816.1, WP_011791657.1	Utg863716_17, Utg857300_35, Utg857300_34, Utg857046_152, Utg857046_153
OG0000028	WP_011791856.1	Utg857076_67
OG0000028	WP_043629613.1	Utg864866_101, Utg860006_30, Utg864866_102
