Orthogroup	Shewanella oneidensis MR-1	Desulfovibrio vulgaris DP4
OG0000000	WP_011074304.1	WP_010938245.1, WP_011792839.1
OG0000000	WP_011073116.1	WP_010940154.1
OG0000000	WP_011071819.1	WP_043629547.1
OG0000000	WP_011074107.1	WP_011787377.1
OG0000000	WP_011072957.1	WP_011792800.1
OG0000000	WP_011073458.1	WP_011791917.1
OG0000000	WP_011073114.1, WP_011073484.1	WP_011787340.1
OG0000001	WP_011074067.1	WP_010937723.1
OG0000001	WP_011071093.1	WP_011791528.1, WP_011791603.1
OG0000001	WP_011070909.1	WP_010939092.1
OG0000001	WP_011071801.1	WP_011792183.1
OG0000001	WP_011072190.1	WP_043629533.1, WP_010937422.1, WP_010939946.1
OG0000001	WP_164925657.1, WP_011073617.1	WP_011791763.1
OG0000001	WP_011071842.1, WP_011074055.1, WP_011071208.1, WP_011073204.1	WP_223294637.1
OG0000001	WP_011073890.1	WP_010939074.1
OG0000001	WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1	WP_010940213.1, WP_010938064.1
OG0000001	WP_011071723.1	WP_011792933.1
OG0000001	WP_011073385.1	WP_011793088.1
OG0000001	WP_011071311.1	WP_011792985.1
OG0000002	WP_011070486.1	WP_010939653.1
OG0000002	WP_011074078.1	WP_011793091.1
OG0000002	WP_011071490.1	WP_011791473.1, WP_010937409.1
OG0000002	WP_011071049.1	WP_011793015.1
OG0000002	WP_011071300.1	WP_181409382.1, WP_010938054.1, WP_181409370.1, WP_206215584.1, WP_181409380.1
OG0000003	WP_274544340.1	WP_011792407.1, WP_011791948.1, WP_011792936.1, WP_011792186.1, WP_011792805.1, WP_223294605.1, WP_011791943.1, WP_011792128.1, WP_011791758.1, WP_011793192.1, WP_011792991.1, WP_011791551.1, WP_011791517.1, WP_011791477.1, WP_011793099.1, WP_011792169.1, WP_011792750.1, WP_223294650.1, WP_011792521.1, WP_010939570.1, WP_011792180.1, WP_011792768.1, WP_011791461.1, WP_011792725.1, WP_011792622.1, WP_011793136.1, WP_010937493.1
OG0000003	WP_011073164.1	WP_011793047.1
OG0000004	WP_011073049.1, WP_011073640.1	WP_223294599.1, WP_223294664.1, WP_011791556.1
OG0000005	WP_011072501.1	WP_011791751.1, WP_011791759.1
OG0000005	WP_011073304.1, WP_011074077.1, WP_011071149.1, WP_164925775.1	WP_011791532.1
OG0000006	WP_011073983.1	WP_011792511.1
OG0000006	WP_011071438.1	WP_010937715.1
OG0000006	WP_011073256.1	WP_011792901.1
OG0000007	WP_011074183.1	WP_011791331.1
OG0000007	WP_164925702.1	WP_010939647.1
OG0000008	WP_011071114.1	WP_010939710.1
OG0000008	WP_011072024.1	WP_011793161.1
OG0000008	WP_011073334.1	WP_011791419.1
OG0000008	WP_011074282.1	WP_011791653.1
OG0000009	WP_011072353.1	WP_011791598.1, WP_223294598.1
OG0000010	WP_011073061.1	WP_010937635.1
OG0000011	WP_011073029.1	WP_011791648.1, WP_010937320.1, WP_010938006.1
OG0000012	WP_011073115.1	WP_010938711.1
OG0000014	WP_011074106.1, WP_011073413.1, WP_011074228.1	WP_010939857.1
OG0000015	WP_011071537.1, WP_011071133.1, WP_011071304.1	WP_011792075.1
OG0000016	WP_007649667.1	WP_010940486.1
OG0000016	WP_011072313.1	WP_010938884.1
OG0000016	WP_011072183.1	WP_010939351.1
OG0000018	WP_011073068.1	WP_011791583.1, WP_011792832.1, WP_011793148.1, WP_011787361.1, WP_011793112.1
OG0000019	WP_011071727.1	WP_010938382.1
OG0000021	WP_011071922.1	WP_010937476.1, WP_011791398.1
OG0000021	WP_011071923.1	WP_011791863.1, WP_010937477.1, WP_010939846.1
OG0000022	WP_011071867.1, WP_011071042.1	WP_011791894.1, WP_043629373.1
OG0000024	WP_011073749.1	WP_011791375.1
OG0000024	WP_011071179.1	WP_010940347.1
OG0000027	WP_011074132.1, WP_011074128.1, WP_011070509.1	WP_011791819.1, WP_011792816.1, WP_011791657.1
OG0000030	WP_011071301.1	WP_011792490.1, WP_010938266.1, WP_011792766.1, WP_010937417.1
OG0000032	WP_011073713.1, WP_011070716.1	WP_011791761.1, WP_014524547.1
OG0000033	WP_011074290.1	WP_011792568.1
OG0000034	WP_011073333.1	WP_011791418.1
OG0000034	WP_011074281.1	WP_011791654.1
OG0000035	WP_011074169.1, WP_011070429.1	WP_011792514.1, WP_181409361.1, WP_011791918.1, WP_010939346.1, WP_011792644.1
OG0000036	WP_011073027.1	WP_011793195.1, WP_011791649.1, WP_043629516.1
OG0000037	WP_238560573.1	WP_011787303.1
OG0000038	WP_011073885.1, WP_011073886.1	WP_010939721.1, WP_010938341.1, WP_010938662.1
OG0000039	WP_011072119.1	WP_010940169.1, WP_010940065.1
OG0000040	WP_011071891.1, WP_011073960.1	WP_043629357.1
OG0000042	WP_011071918.1	WP_011792450.1
OG0000043	WP_011073456.1	WP_010938268.1
OG0000045	WP_011070924.1	WP_011792363.1
OG0000047	WP_164925892.1	WP_011793001.1, WP_011787324.1, WP_223294624.1
OG0000048	WP_011072589.1	WP_011792918.1
OG0000052	WP_011074450.1, WP_011071675.1	WP_010939677.1, WP_011791785.1
OG0000053	WP_164925924.1	WP_011792107.1
OG0000053	WP_011073632.1	WP_011787362.1
OG0000053	WP_011071230.1	WP_011792251.1
OG0000054	WP_011073937.1	WP_011792972.1
OG0000055	WP_011073153.1	WP_011791568.1
OG0000056	WP_011072681.1	WP_011791723.1, WP_010937885.1, WP_010937579.1, WP_223294671.1, WP_011792734.1, WP_011791533.1, WP_010937392.1, WP_011793187.1, WP_011793138.1, WP_043629981.1, WP_011791784.1
OG0000058	WP_164925641.1	WP_010938574.1
OG0000060	WP_011073811.1, WP_011070564.1	WP_011792468.1
OG0000061	WP_011071699.1	WP_010939071.1
OG0000062	WP_011071925.1	WP_010939658.1, WP_011791830.1, WP_010937479.1
OG0000063	WP_011072151.1	WP_010937703.1
OG0000064	WP_011070635.1	WP_010938346.1
OG0000065	WP_011071952.1	WP_010938763.1
OG0000065	WP_011071919.1	WP_010938364.1
OG0000066	WP_011070485.1, WP_011072796.1	WP_011791664.1
OG0000067	WP_011071924.1	WP_010939732.1
OG0000068	WP_011073624.1	WP_190275043.1, WP_150100246.1, WP_011792000.1
OG0000069	WP_011072035.1	WP_010938241.1
OG0000070	WP_011074269.1	WP_223294581.1
OG0000074	WP_011072654.1	WP_011791681.1, WP_010939694.1
OG0000075	WP_011071302.1	WP_010938534.1, WP_010937693.1, WP_010937418.1
OG0000076	WP_202950651.1	WP_011792812.1
